phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0033988353387375053,-285303.78125,,0.0021572465617159496,0.9796,,20s
retrain,2,0.0006993729006935609,-294157.28125,,0.0021572465617159496,0.9821,,40s
retrain,3,0.0003528139470086899,-299817.46875,,0.0021572465617159496,0.9840,,1m01s
retrain,4,0.00042522219207021407,-305044.34375,,0.0021572465617159496,0.9842,,1m22s
retrain,5,0.0001184644533554092,-311368.625,,0.0021572465617159496,0.9835,,1m42s
retrain,6,0.0001017394797866776,-318195.53125,,0.0021572465617159496,0.9838,,2m03s
retrain,7,0.00011659560644863329,-325494.90625,,0.0021572465617159496,0.9828,,2m24s
retrain,8,0.006447489097052797,-327279.5,,0.0021572465617159496,0.9762,,2m44s
retrain,9,0.005794007770565804,-325483.4375,,0.0021572465617159496,0.9838,,3m05s
retrain,10,0.0006123670050447496,-327528.28125,,0.0021572465617159496,0.9827,34.65,3m24s
retrain,11,0.00023520399852422998,-330368.21875,,0.0021572465617159496,0.9830,,3m44s
retrain,12,0.00015303011119831354,-333791.875,,0.0021572465617159496,0.9830,,4m04s
retrain,13,0.0001209089401740736,-337774.34375,,0.0021572465617159496,0.9831,,4m25s
retrain,14,0.00010933430806326214,-342400.625,,0.0021572465617159496,0.9827,,4m46s
retrain,15,0.00010739565167265633,-347721.46875,,0.0021572465617159496,0.9830,,5m07s
retrain,16,0.00010592583376370991,-353868.96875,,0.0021572465617159496,0.9833,,5m27s
retrain,17,0.0005024975181794919,-359741.125,,0.0021572465617159496,0.9757,,5m48s
retrain,18,0.01219401522395201,-351629.8125,,0.0021572465617159496,0.9818,,6m09s
retrain,19,0.00097287795614684,-353150.9375,,0.0021572465617159496,0.9814,,6m30s
retrain,20,0.0013884760747236821,-354692.75,,0.0021572465617159496,0.9829,35.36,6m51s
retrain,21,0.00048461351489822844,-356903.3125,,0.0021572465617159496,0.9835,,7m11s
retrain,22,0.0001492544737935532,-360164.25,,0.0021572465617159496,0.9830,,7m32s
retrain,23,0.00012202232832787558,-363980.75,,0.0021572465617159496,0.9833,,7m53s
retrain,24,0.0001117242295993492,-368440.53125,,0.0021572465617159496,0.9829,,8m14s
retrain,25,0.0001088479415057615,-373621.375,,0.0021572465617159496,0.9828,,8m35s
retrain,26,0.00011736242065768844,-379536.625,,0.0021572465617159496,0.9835,,8m56s
retrain,27,0.005516338895777396,-378438.65625,,0.0021572465617159496,0.9770,,9m17s
retrain,28,0.006692204722436145,-374412.34375,,0.0021572465617159496,0.9817,,9m37s
retrain,29,0.0009429969796484025,-375696.40625,,0.0021572465617159496,0.9829,,9m58s
retrain,30,0.00024487100459324817,-378290.1875,,0.0021572465617159496,0.9832,36.15,10m19s
