phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0024585252665099686,-248361.40625,,0.0018293814886630763,0.9820,,21s
retrain,2,0.0008968419587501558,-261727.5625,,0.0018293814886630763,0.9817,,42s
retrain,3,0.0003741526924840097,-271723.125,,0.0018293814886630763,0.9822,,1m03s
retrain,4,0.0012164485141770759,-278584.875,,0.0018293814886630763,0.9815,,1m23s
retrain,5,0.003963065542447536,-278607.0625,,0.0018293814886630763,0.9830,,1m37s
retrain,6,0.00159468237196949,-281523.4375,,0.0018293814886630763,0.9808,,1m48s
retrain,7,0.0013885070494356721,-284587.625,,0.0018293814886630763,0.9816,,1m54s
retrain,8,0.0006561366084371305,-288359.625,,0.0018293814886630763,0.9828,,2m02s
retrain,9,0.00011184052528212002,-293177.3125,,0.0018293814886630763,0.9822,,2m12s
retrain,10,8.023066514579113e-05,-298395.21875,,0.0018293814886630763,0.9824,33.85,2m23s
retrain,11,7.338169988749238e-05,-304033.9375,,0.0018293814886630763,0.9827,,2m34s
retrain,12,7.4600751294444e-05,-310296.34375,,0.0018293814886630763,0.9829,,2m44s
retrain,13,9.221342307622156e-05,-317260.625,,0.0018293814886630763,0.9812,,2m55s
retrain,14,0.010358500186359743,-309715.9375,,0.0018293814886630763,0.9807,,3m06s
retrain,15,0.0012257135402450028,-311241.34375,,0.0018293814886630763,0.9826,,3m16s
retrain,16,0.0002572044650228539,-313912.375,,0.0018293814886630763,0.9831,,3m27s
retrain,17,0.0001236923536314862,-317182.59375,,0.0018293814886630763,0.9837,,3m37s
retrain,18,9.920424869499887e-05,-320920.53125,,0.0018293814886630763,0.9840,,3m48s
retrain,19,8.510545000414519e-05,-325232.46875,,0.0018293814886630763,0.9840,,3m58s
retrain,20,7.737397601692161e-05,-330311.03125,,0.0018293814886630763,0.9839,35.46,4m08s
retrain,21,7.532673811365385e-05,-336272.96875,,0.0018293814886630763,0.9833,,4m19s
retrain,22,8.104971762368223e-05,-343176.28125,,0.0018293814886630763,0.9831,,4m29s
retrain,23,9.631407335521848e-05,-351016.75,,0.0018293814886630763,0.9830,,4m39s
retrain,24,0.011615388764378926,-341298.3125,,0.0018293814886630763,0.9818,,4m50s
retrain,25,0.0011825098599501265,-342505.59375,,0.0018293814886630763,0.9836,,5m01s
retrain,26,0.0002700770403234249,-344935.875,,0.0018293814886630763,0.9835,,5m11s
retrain,27,0.00014874447477292656,-347848.6875,,0.0018293814886630763,0.9831,,5m21s
retrain,28,0.00010870222653999614,-351275.34375,,0.0018293814886630763,0.9835,,5m31s
retrain,29,9.353690015850589e-05,-355357.09375,,0.0018293814886630763,0.9828,,5m41s
retrain,30,8.62871657848397e-05,-360207.5,,0.0018293814886630763,0.9832,36.02,5m51s
