phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.002634754891053308,-290963.46875,,0.0023648642735769614,0.9814,,10s
retrain,2,0.0013733203411810488,-298715.875,,0.0023648642735769614,0.9813,,20s
retrain,3,0.0008423516177533505,-303317.5,,0.0023648642735769614,0.9787,,31s
retrain,4,0.0017566561928736822,-305519.21875,,0.0023648642735769614,0.9833,,41s
retrain,5,0.00035538949421898,-309378.6875,,0.0023648642735769614,0.9828,,52s
retrain,6,0.00014334153344971128,-314510.5625,,0.0023648642735769614,0.9837,,1m02s
retrain,7,8.555856354966333e-05,-320609.875,,0.0023648642735769614,0.9843,,1m12s
retrain,8,8.330489683527655e-05,-327586.125,,0.0023648642735769614,0.9841,,1m22s
retrain,9,9.062914313447739e-05,-335482.5625,,0.0023648642735769614,0.9840,,1m32s
retrain,10,0.006925664321616447,-335561.125,,0.0023648642735769614,0.9816,32.87,1m43s
retrain,11,0.0039635334414410564,-335218.28125,,0.0023648642735769614,0.9809,,1m53s
retrain,12,0.0006985899313042562,-337371.96875,,0.0023648642735769614,0.9822,,2m03s
retrain,13,0.0002336838085495401,-340527.6875,,0.0023648642735769614,0.9824,,2m13s
retrain,14,0.00014038593120446118,-344372.625,,0.0023648642735769614,0.9830,,2m24s
retrain,15,0.00011759777796881584,-348862.375,,0.0023648642735769614,0.9822,,2m34s
retrain,16,0.00011108651033816084,-354067.25,,0.0023648642735769614,0.9823,,2m44s
retrain,17,0.00010522615553345531,-360113.0,,0.0023648642735769614,0.9828,,2m55s
retrain,18,0.010082881632666492,-354377.125,,0.0023648642735769614,0.9800,,3m05s
retrain,19,0.0014969702189283757,-355415.59375,,0.0023648642735769614,0.9830,,3m15s
retrain,20,0.00028156125035796623,-358252.4375,,0.0023648642735769614,0.9835,31.13,3m25s
retrain,21,0.00015838978087025075,-361671.375,,0.0023648642735769614,0.9837,,3m36s
retrain,22,0.0001279565512095966,-365586.21875,,0.0023648642735769614,0.9835,,3m46s
retrain,23,0.00011291492569531935,-370265.875,,0.0023648642735769614,0.9832,,3m57s
retrain,24,0.0001148194887782059,-375719.875,,0.0023648642735769614,0.9837,,4m07s
retrain,25,0.00010891718289543254,-382096.125,,0.0023648642735769614,0.9837,,4m18s
retrain,26,0.00048871201746515,-387917.0,,0.0023648642735769614,0.9790,,4m28s
retrain,27,0.010707334044366143,-378426.84375,,0.0023648642735769614,0.9819,,4m38s
retrain,28,0.001447255498803376,-379937.6875,,0.0023648642735769614,0.9832,,4m49s
retrain,29,0.0003026092914942031,-382934.125,,0.0023648642735769614,0.9838,,4m59s
retrain,30,0.00016199283439103358,-386590.5,,0.0023648642735769614,0.9843,31.55,5m09s
