phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0032017893370008097,-280148.4375,,0.0028785485762843053,0.9826,,10s
retrain,2,0.0013500953053424988,-291534.25,,0.0028785485762843053,0.9795,,21s
retrain,3,0.0013248752918773486,-298564.71875,,0.0028785485762843053,0.9818,,31s
retrain,4,0.0002446580686887804,-305921.75,,0.0028785485762843053,0.9833,,41s
retrain,5,0.0001334980516160916,-313626.25,,0.0028785485762843053,0.9833,,52s
retrain,6,0.00012947808417569225,-321952.9375,,0.0028785485762843053,0.9834,,1m03s
retrain,7,0.0001716127727064304,-331017.28125,,0.0028785485762843053,0.9826,,1m13s
retrain,8,0.005408904860135711,-334603.0,,0.0028785485762843053,0.9754,,1m24s
retrain,9,0.006010746939107776,-333334.78125,,0.0028785485762843053,0.9822,,1m34s
retrain,10,0.0008177659016141357,-336501.28125,,0.0028785485762843053,0.9835,31.61,1m40s
retrain,11,0.0002275520544926015,-340794.28125,,0.0028785485762843053,0.9838,,1m47s
retrain,12,0.0001601312268350739,-345881.90625,,0.0028785485762843053,0.9836,,1m58s
retrain,13,0.00014142846723019223,-351777.65625,,0.0028785485762843053,0.9835,,2m09s
retrain,14,0.0001359861287016732,-358645.75,,0.0028785485762843053,0.9836,,2m19s
retrain,15,0.00015230939806303164,-366566.5,,0.0028785485762843053,0.9832,,2m29s
retrain,16,0.008219665266685964,-363812.0,,0.0028785485762843053,0.9812,,2m40s
retrain,17,0.0027803971150579553,-364500.625,,0.0028785485762843053,0.9826,,2m50s
retrain,18,0.0005547095355655377,-367918.8125,,0.0028785485762843053,0.9832,,3m01s
retrain,19,0.00020575019941121962,-372393.40625,,0.0028785485762843053,0.9830,,3m11s
retrain,20,0.00016583285720359224,-377554.5625,,0.0028785485762843053,0.9829,31.52,3m22s
retrain,21,0.00015125200809755672,-383670.96875,,0.0028785485762843053,0.9830,,3m32s
retrain,22,0.0001522902047339206,-390753.65625,,0.0028785485762843053,0.9829,,3m43s
retrain,23,0.008075699947215617,-385996.53125,,0.0028785485762843053,0.9805,,3m53s
retrain,24,0.0038575411710616513,-386148.53125,,0.0028785485762843053,0.9819,,4m04s
retrain,25,0.001197741295141168,-388559.0625,,0.0028785485762843053,0.9824,,4m14s
retrain,26,0.0002917209853282354,-392737.59375,,0.0028785485762843053,0.9830,,4m24s
retrain,27,0.0001709519504530666,-397791.09375,,0.0028785485762843053,0.9827,,4m35s
retrain,28,0.00014855071936617606,-403688.96875,,0.0028785485762843053,0.9828,,4m45s
retrain,29,0.00014852117276459466,-410748.75,,0.0028785485762843053,0.9833,,4m55s
retrain,30,0.00016294559423307267,-418873.46875,,0.0028785485762843053,0.9829,32.40,5m05s
