phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.003137854727970747,-287556.8125,,0.0017632680513394274,0.9822,,10s
retrain,2,0.0009986283500969875,-298530.375,,0.0017632680513394274,0.9831,,21s
retrain,3,0.0002306032920993554,-305688.65625,,0.0017632680513394274,0.9831,,32s
retrain,4,0.00012977272442658432,-312841.375,,0.0017632680513394274,0.9837,,42s
retrain,5,9.803439489429972e-05,-320187.78125,,0.0017632680513394274,0.9838,,53s
retrain,6,9.218945862230611e-05,-327769.46875,,0.0017632680513394274,0.9829,,1m04s
retrain,7,0.007126268392326892,-326603.46875,,0.0017632680513394274,0.9775,,1m14s
retrain,8,0.002959923481316461,-325555.28125,,0.0017632680513394274,0.9815,,1m25s
retrain,9,0.0004166078459704295,-327750.78125,,0.0017632680513394274,0.9836,,1m35s
retrain,10,0.00016740566819207743,-330710.4375,,0.0017632680513394274,0.9837,32.61,1m45s
retrain,11,0.00011756024377730985,-334182.96875,,0.0017632680513394274,0.9837,,1m56s
retrain,12,9.717488035773082e-05,-338301.8125,,0.0017632680513394274,0.9833,,2m06s
retrain,13,8.755282134952721e-05,-343257.8125,,0.0017632680513394274,0.9836,,2m16s
