phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.001838547588690805,-193296.265625,,0.0010289497891136491,0.9829,,11s
retrain,2,0.0006251669147658201,-196869.8125,,0.0010289497891136491,0.9842,,23s
retrain,3,0.002550721449404955,-199240.890625,,0.0010289497891136491,0.9799,,33s
retrain,4,0.0017224239676472885,-201498.09375,,0.0010289497891136491,0.9822,,43s
retrain,5,0.0005625933949098301,-204165.484375,,0.0010289497891136491,0.9831,,54s
retrain,6,0.00022407579089776846,-206927.0,,0.0010289497891136491,0.9834,,1m05s
retrain,7,6.364264650474069e-05,-209822.875,,0.0010289497891136491,0.9837,,1m16s
retrain,8,4.847145615009746e-05,-212778.328125,,0.0010289497891136491,0.9838,,1m26s
retrain,9,4.101096442852092e-05,-215821.390625,,0.0010289497891136491,0.9837,,1m37s
retrain,10,3.47918363904076e-05,-218954.078125,,0.0010289497891136491,0.9838,37.24,1m47s
retrain,11,3.1270356710107684e-05,-222187.015625,,0.0010289497891136491,0.9838,,1m58s
retrain,12,2.7878463236872147e-05,-225560.3125,,0.0010289497891136491,0.9839,,2m08s
retrain,13,2.5480281622731127e-05,-229069.4375,,0.0010289497891136491,0.9835,,2m19s
retrain,14,2.527510360596352e-05,-232732.9375,,0.0010289497891136491,0.9837,,2m30s
retrain,15,0.011042682595512695,-232509.609375,,0.0010289497891136491,0.9813,,2m40s
retrain,16,0.0009512545753406205,-234426.828125,,0.0010289497891136491,0.9823,,2m51s
retrain,17,0.00013654196592591082,-236759.40625,,0.0010289497891136491,0.9829,,3m02s
retrain,18,7.973788995780827e-05,-239161.96875,,0.0010289497891136491,0.9826,,3m13s
retrain,19,6.297478284347259e-05,-241620.0,,0.0010289497891136491,0.9830,,3m23s
retrain,20,5.25619842640784e-05,-244137.109375,,0.0010289497891136491,0.9830,38.13,3m33s
retrain,21,4.4490091159726336e-05,-246729.0625,,0.0010289497891136491,0.9831,,3m45s
retrain,22,3.878054860785293e-05,-249407.671875,,0.0010289497891136491,0.9832,,3m55s
retrain,23,3.3901523793368447e-05,-252210.53125,,0.0010289497891136491,0.9830,,4m05s
retrain,24,2.9856351125393606e-05,-255183.59375,,0.0010289497891136491,0.9835,,4m16s
retrain,25,2.7471103344578295e-05,-258309.828125,,0.0010289497891136491,0.9832,,4m32s
retrain,26,2.5971121873832697e-05,-261658.46875,,0.0010289497891136491,0.9832,,4m53s
retrain,27,0.004700182659312031,-262730.71875,,0.0010289497891136491,0.9744,,5m14s
retrain,28,0.006570560530903943,-262525.1875,,0.0010289497891136491,0.9821,,5m35s
retrain,29,0.0005619982801571799,-264308.0625,,0.0010289497891136491,0.9829,,5m57s
retrain,30,0.00017653041722272367,-266299.625,,0.0010289497891136491,0.9829,32.87,6m18s
