phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0023160501798964108,-184050.375,,0.0006341558613891267,0.9825,,21s
retrain,2,0.0003545482384016699,-188838.296875,,0.0006341558613891267,0.9829,,42s
retrain,3,0.00010317310942627956,-193355.078125,,0.0006341558613891267,0.9833,,1m03s
retrain,4,6.366866872970907e-05,-197858.75,,0.0006341558613891267,0.9830,,1m25s
retrain,5,5.1191138051945016e-05,-202334.03125,,0.0006341558613891267,0.9835,,1m46s
retrain,6,4.2328754011153555e-05,-206810.015625,,0.0006341558613891267,0.9833,,2m07s
retrain,7,3.385171568224905e-05,-211297.28125,,0.0006341558613891267,0.9835,,2m28s
retrain,8,3.0064715400415783e-05,-215801.546875,,0.0006341558613891267,0.9837,,2m50s
retrain,9,2.70852603049813e-05,-220389.375,,0.0006341558613891267,0.9837,,3m11s
retrain,10,2.396067331574159e-05,-225028.125,,0.0006341558613891267,0.9833,24.32,3m32s
retrain,11,0.006223694872802177,-227398.609375,,0.0006341558613891267,0.9773,,3m54s
retrain,12,0.005452326964053403,-229381.921875,,0.0006341558613891267,0.9825,,4m16s
retrain,13,0.0008802435428913062,-232401.171875,,0.0006341558613891267,0.9844,,4m37s
retrain,14,0.00015356467706684876,-235601.390625,,0.0006341558613891267,0.9838,,4m55s
retrain,15,8.28197556125815e-05,-238839.796875,,0.0006341558613891267,0.9840,,5m16s
retrain,16,6.181932234370227e-05,-242083.953125,,0.0006341558613891267,0.9839,,5m37s
retrain,17,4.974980271557191e-05,-245343.515625,,0.0006341558613891267,0.9841,,5m58s
retrain,18,4.198301586341889e-05,-248634.140625,,0.0006341558613891267,0.9840,,6m19s
retrain,19,3.539432653948703e-05,-251979.578125,,0.0006341558613891267,0.9839,,6m41s
retrain,20,3.0647166306638e-05,-255394.84375,,0.0006341558613891267,0.9840,36.80,7m02s
retrain,21,2.6792406359648642e-05,-258934.875,,0.0006341558613891267,0.9843,,7m23s
