phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0028640442437899765,-280014.375,,0.0012009677999156889,0.9803,,21s
retrain,2,0.0015583470503198137,-285614.96875,,0.0012009677999156889,0.9837,,42s
retrain,3,0.00032802618543986077,-290193.4375,,0.0012009677999156889,0.9828,,1m03s
retrain,4,0.00012078132480140388,-294848.5,,0.0012009677999156889,0.9831,,1m24s
retrain,5,8.283270400376447e-05,-299450.125,,0.0012009677999156889,0.9828,,1m45s
retrain,6,8.083757846034133e-05,-304239.90625,,0.0012009677999156889,0.9834,,2m07s
retrain,7,6.8176189159567e-05,-309447.84375,,0.0012009677999156889,0.9827,,2m28s
retrain,8,6.891290474838267e-05,-315170.84375,,0.0012009677999156889,0.9835,,2m49s
retrain,9,0.001300854731077076,-319536.4375,,0.0012009677999156889,0.9737,,3m11s
retrain,10,0.00912049224129878,-313204.375,,0.0012009677999156889,0.9825,36.98,3m32s
retrain,11,0.0005399537314214588,-314155.125,,0.0012009677999156889,0.9815,,3m54s
retrain,12,0.0006532742276307544,-315019.125,,0.0012009677999156889,0.9826,,4m15s
retrain,13,0.00013864566279274488,-317014.25,,0.0012009677999156889,0.9830,,4m36s
retrain,14,9.470800105385327e-05,-319391.5,,0.0012009677999156889,0.9829,,4m58s
retrain,15,8.055795656885796e-05,-322138.78125,,0.0012009677999156889,0.9828,,5m19s
retrain,16,7.192778970468983e-05,-325363.28125,,0.0012009677999156889,0.9824,,5m40s
retrain,17,6.51036033872515e-05,-329198.46875,,0.0012009677999156889,0.9826,,6m01s
retrain,18,6.416344901469225e-05,-333649.1875,,0.0012009677999156889,0.9825,,6m23s
retrain,19,6.887776529862701e-05,-338799.59375,,0.0012009677999156889,0.9820,,6m44s
retrain,20,0.010716327336568307,-329580.15625,,0.0012009677999156889,0.9807,36.70,7m05s
retrain,21,0.0011470734939328395,-329777.90625,,0.0012009677999156889,0.9825,,7m27s
retrain,22,0.00024230487939785235,-331063.71875,,0.0012009677999156889,0.9827,,7m48s
retrain,23,0.00011958052861155011,-332800.1875,,0.0012009677999156889,0.9828,,8m07s
retrain,24,9.429472004606699e-05,-334877.84375,,0.0012009677999156889,0.9830,,8m28s
retrain,25,8.142521187546663e-05,-337349.0,,0.0012009677999156889,0.9831,,8m49s
retrain,26,7.083212295692646e-05,-340325.75,,0.0012009677999156889,0.9834,,9m10s
retrain,27,6.330218541309781e-05,-343960.78125,,0.0012009677999156889,0.9831,,9m32s
retrain,28,6.0021658159287954e-05,-348352.71875,,0.0012009677999156889,0.9831,,9m53s
retrain,29,6.111423311546484e-05,-353648.84375,,0.0012009677999156889,0.9829,,10m14s
retrain,30,0.002108248459558672,-356757.53125,,0.0012009677999156889,0.9749,38.72,10m36s
