phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0025607063176770074,-286251.375,,0.0022122289627443496,0.9806,,19s
retrain,2,0.0014251493111310993,-292351.4375,,0.0022122289627443496,0.9819,,40s
retrain,3,0.0004083560189891917,-297723.09375,,0.0022122289627443496,0.9833,,1m01s
retrain,4,0.001799921083539569,-301081.34375,,0.0022122289627443496,0.9814,,1m22s
retrain,5,0.003785734458719768,-301153.34375,,0.0022122289627443496,0.9805,,1m43s
retrain,6,0.0008585822310958368,-303783.875,,0.0022122289627443496,0.9832,,2m04s
retrain,7,0.0005554781172909619,-306983.1875,,0.0022122289627443496,0.9841,,2m25s
retrain,8,0.00012675546763833457,-311469.46875,,0.0022122289627443496,0.9838,,2m46s
retrain,9,8.800284249785666e-05,-316798.53125,,0.0022122289627443496,0.9838,,3m07s
retrain,10,8.316365909801486e-05,-322996.375,,0.0022122289627443496,0.9835,33.43,3m28s
retrain,11,8.407607126864604e-05,-330301.625,,0.0022122289627443496,0.9837,,3m49s
retrain,12,0.0044960313621413665,-331194.46875,,0.0022122289627443496,0.9794,,4m10s
retrain,13,0.003973998377324703,-329605.34375,,0.0022122289627443496,0.9796,,4m31s
retrain,14,0.0012958320547671368,-330946.125,,0.0022122289627443496,0.9834,,4m52s
retrain,15,0.00036315497610194143,-333684.78125,,0.0022122289627443496,0.9836,,5m13s
retrain,16,0.00012057336791864752,-337298.59375,,0.0022122289627443496,0.9835,,5m34s
retrain,17,9.773257938019621e-05,-341639.96875,,0.0022122289627443496,0.9837,,5m55s
retrain,18,9.685032553873801e-05,-346724.875,,0.0022122289627443496,0.9837,,6m16s
retrain,19,0.00011764864390521931,-352849.5,,0.0022122289627443496,0.9820,,6m37s
retrain,20,0.009706682118633762,-345398.5625,,0.0022122289627443496,0.9800,31.17,6m58s
retrain,21,0.0014069526957600222,-346271.65625,,0.0022122289627443496,0.9830,,7m18s
retrain,22,0.0003721756921033375,-348627.15625,,0.0022122289627443496,0.9842,,7m39s
retrain,23,0.00013979667859481803,-351817.03125,,0.0022122289627443496,0.9841,,8m00s
retrain,24,0.00010658876079736122,-355669.71875,,0.0022122289627443496,0.9839,,8m21s
retrain,25,9.86681449013607e-05,-360367.9375,,0.0022122289627443496,0.9832,,8m42s
retrain,26,9.595611669647041e-05,-366085.46875,,0.0022122289627443496,0.9839,,9m03s
retrain,27,0.00010469310399979198,-373074.6875,,0.0022122289627443496,0.9831,,9m23s
retrain,28,0.00012447911076208886,-381352.8125,,0.0022122289627443496,0.9834,,9m44s
retrain,29,0.0074361743444198505,-377544.6875,,0.0022122289627443496,0.9793,,10m05s
retrain,30,0.006834680277101385,-373714.15625,,0.0022122289627443496,0.9821,32.75,10m27s
