phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0021232716738479214,-224918.34375,,0.001666460592604795,0.9819,,20s
retrain,2,0.0006646249396255978,-230051.0,,0.001666460592604795,0.9826,,41s
retrain,3,0.00017860651423276674,-234923.421875,,0.001666460592604795,0.9835,,1m02s
retrain,4,8.662596575256126e-05,-239929.953125,,0.001666460592604795,0.9829,,1m23s
retrain,5,6.148008664507264e-05,-245114.96875,,0.001666460592604795,0.9834,,1m43s
retrain,6,5.3512931807199494e-05,-250450.453125,,0.001666460592604795,0.9834,,2m04s
retrain,7,4.970313769760348e-05,-255955.109375,,0.001666460592604795,0.9839,,2m25s
retrain,8,5.540097602643073e-05,-261611.53125,,0.001666460592604795,0.9827,,2m45s
retrain,9,0.010811713294373962,-262203.71875,,0.001666460592604795,0.9797,,3m06s
retrain,10,0.0011666060990615126,-264936.1875,,0.001666460592604795,0.9826,9.14,3m27s
retrain,11,0.00024048480372099827,-268127.0,,0.001666460592604795,0.9827,,3m48s
retrain,12,0.00011272494211540713,-271500.03125,,0.001666460592604795,0.9828,,4m09s
retrain,13,8.960594499561315e-05,-274960.53125,,0.001666460592604795,0.9830,,4m29s
retrain,14,7.428906682956343e-05,-278549.71875,,0.001666460592604795,0.9831,,4m50s
retrain,15,6.538464166515041e-05,-282316.375,,0.001666460592604795,0.9830,,5m11s
retrain,16,5.901122309539157e-05,-286310.6875,,0.001666460592604795,0.9829,,5m32s
retrain,17,5.3189801977714525e-05,-290606.65625,,0.001666460592604795,0.9831,,5m53s
retrain,18,5.239004236694503e-05,-295256.3125,,0.001666460592604795,0.9835,,6m11s
retrain,19,5.627192523970734e-05,-300280.0625,,0.001666460592604795,0.9827,,6m32s
retrain,20,0.010719739609747194,-298447.84375,,0.001666460592604795,0.9797,13.59,6m53s
retrain,21,0.002563058423815528,-299929.3125,,0.001666460592604795,0.9827,,7m14s
retrain,22,0.0004467468726332299,-302304.8125,,0.001666460592604795,0.9828,,7m35s
retrain,23,0.00014032887708259902,-304923.125,,0.001666460592604795,0.9825,,7m56s
retrain,24,9.128856507401603e-05,-307704.78125,,0.001666460592604795,0.9831,,8m16s
retrain,25,7.249490737303859e-05,-310670.6875,,0.001666460592604795,0.9830,,8m37s
retrain,26,6.325629374089961e-05,-313902.125,,0.001666460592604795,0.9836,,8m58s
retrain,27,5.7809066005332474e-05,-317444.59375,,0.001666460592604795,0.9831,,9m19s
retrain,28,5.553305605717469e-05,-321350.5625,,0.001666460592604795,0.9830,,9m40s
retrain,29,6.019636327352297e-05,-325764.34375,,0.001666460592604795,0.9832,,10m01s
retrain,30,0.011169112851430449,-320988.875,,0.001666460592604795,0.9824,16.14,10m22s
