phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0012428406279057526,-532847.3125,,0.0013061468549802155,0.9924,,14s
retrain,2,0.0008981976062773053,-554734.625,,0.0013061468549802155,0.9933,,29s
retrain,3,0.0008977030888753082,-571306.375,,0.0013061468549802155,0.9929,,38s
retrain,4,0.000419940083311,-586464.5,,0.0013061468549802155,0.9937,,51s
retrain,5,0.0003896680419406342,-601875.375,,0.0013061468549802155,0.9932,,1m05s
retrain,6,0.002101527977660468,-606616.375,,0.0013061468549802155,0.9926,,1m20s
retrain,7,0.001441743372165729,-611870.125,,0.0013061468549802155,0.9927,,1m34s
retrain,8,0.0004663638021096631,-620671.4375,,0.0013061468549802155,0.9932,,1m49s
retrain,9,4.277203653097482e-05,-633859.0625,,0.0013061468549802155,0.9938,,2m03s
retrain,10,2.7498193978135532e-05,-649474.1875,,0.0013061468549802155,0.9937,33.40,2m18s
retrain,11,2.4330768183654073e-05,-667560.6875,,0.0013061468549802155,0.9937,,2m32s
retrain,12,2.511793364313538e-05,-687871.1875,,0.0013061468549802155,0.9934,,2m47s
retrain,13,0.0018096687075719578,-692308.1875,,0.0013061468549802155,0.9907,,3m00s
retrain,14,0.0034996217582321455,-687437.4375,,0.0013061468549802155,0.9940,,3m15s
retrain,15,0.0002981971009064485,-695998.75,,0.0013061468549802155,0.9941,,3m29s
retrain,16,0.0006971995419433369,-703819.9375,,0.0013061468549802155,0.9938,,3m43s
retrain,17,0.0001775844328738458,-714708.0625,,0.0013061468549802155,0.9937,,3m58s
retrain,18,4.7773093526969506e-05,-728345.0,,0.0013061468549802155,0.9940,,4m12s
retrain,19,3.347617971721775e-05,-743787.25,,0.0013061468549802155,0.9940,,4m26s
retrain,20,3.4368662688666515e-05,-760796.625,,0.0013061468549802155,0.9943,37.99,4m41s
retrain,21,0.003840755541336921,-750778.625,,0.0013061468549802155,0.9909,,4m55s
retrain,22,0.0024707834828615887,-748509.125,,0.0013061468549802155,0.9933,,5m17s
retrain,23,0.0007447423359320964,-753668.125,,0.0013061468549802155,0.9938,,5m44s
retrain,24,0.00037699187437489554,-762287.625,,0.0013061468549802155,0.9941,,6m11s
retrain,25,0.0002767623691272699,-772999.75,,0.0013061468549802155,0.9941,,6m38s
retrain,26,7.958418649322993e-05,-785612.0625,,0.0013061468549802155,0.9943,,7m04s
retrain,27,3.570020706662641e-05,-799766.5625,,0.0013061468549802155,0.9940,,7m30s
retrain,28,3.5400448131379864e-05,-815154.625,,0.0013061468549802155,0.9940,,7m58s
retrain,29,4.119571566391945e-05,-831213.0,,0.0013061468549802155,0.9934,,8m25s
retrain,30,0.003250383648387409,-814868.25,,0.0013061468549802155,0.9921,38.99,8m53s
