phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.00127904626156275,-515697.0,,0.0005767337803268632,0.9927,,27s
retrain,2,0.0002203195008239921,-535690.5,,0.0005767337803268632,0.9929,,54s
retrain,3,5.5951262372612596e-05,-556034.3125,,0.0005767337803268632,0.9927,,1m22s
retrain,4,0.002060789752629353,-552947.375,,0.0005767337803268632,0.9922,,1m49s
retrain,5,0.001091889336458371,-555638.375,,0.0005767337803268632,0.9917,,2m16s
retrain,6,0.00016894951677440606,-561914.1875,,0.0005767337803268632,0.9932,,2m43s
retrain,7,2.1960948793472804e-05,-569965.375,,0.0005767337803268632,0.9932,,3m10s
retrain,8,1.3569707316044817e-05,-579264.875,,0.0005767337803268632,0.9933,,3m38s
retrain,9,1.1274188613657544e-05,-590361.5625,,0.0005767337803268632,0.9932,,4m05s
retrain,10,1.057461620344687e-05,-603511.25,,0.0005767337803268632,0.9935,26.03,4m32s
retrain,11,1.0401727734602181e-05,-618835.6875,,0.0005767337803268632,0.9933,,4m59s
retrain,12,1.0374804052905043e-05,-636537.9375,,0.0005767337803268632,0.9932,,5m26s
retrain,13,0.0021111093081704287,-641453.3125,,0.0005767337803268632,0.9876,,5m53s
retrain,14,0.003942354823201216,-631655.3125,,0.0005767337803268632,0.9930,,6m20s
retrain,15,0.0002964715257483476,-635934.25,,0.0005767337803268632,0.9940,,6m47s
retrain,16,4.46124670620217e-05,-642340.6875,,0.0005767337803268632,0.9935,,7m12s
retrain,17,2.8685030445600052e-05,-649878.5625,,0.0005767337803268632,0.9937,,7m39s
retrain,18,2.1573094983781025e-05,-658788.125,,0.0005767337803268632,0.9935,,8m06s
retrain,19,1.8446010271933724e-05,-669227.875,,0.0005767337803268632,0.9933,,8m33s
retrain,20,1.5669571419857675e-05,-681427.6875,,0.0005767337803268632,0.9932,28.18,9m01s
retrain,21,1.4923969050520706e-05,-695472.6875,,0.0005767337803268632,0.9936,,9m28s
retrain,22,1.4305096227822862e-05,-711431.875,,0.0005767337803268632,0.9937,,9m55s
retrain,23,1.7515679691784197e-05,-728883.875,,0.0005767337803268632,0.9937,,10m22s
retrain,24,0.005015999754987676,-710264.8125,,0.0005767337803268632,0.9927,,10m49s
retrain,25,0.001977021068094958,-707780.0,,0.0005767337803268632,0.9918,,11m16s
retrain,26,0.00035834506555111145,-711148.875,,0.0005767337803268632,0.9931,,11m43s
retrain,27,6.172344835328355e-05,-717657.75,,0.0005767337803268632,0.9930,,12m10s
retrain,28,2.7993868474610886e-05,-725429.1875,,0.0005767337803268632,0.9930,,12m37s
retrain,29,2.043846049785619e-05,-734320.375,,0.0005767337803268632,0.9931,,13m04s
retrain,30,1.742620973254058e-05,-744545.8125,,0.0005767337803268632,0.9931,29.79,13m31s
