phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0018306296165749396,-534743.875,,0.0007767429780253437,0.9918,,15s
retrain,2,0.0008214327995005079,-544247.6875,,0.0007767429780253437,0.9922,,29s
retrain,3,0.00030783306830241297,-553417.75,,0.0007767429780253437,0.9932,,44s
retrain,4,3.309692773009374e-05,-565669.3125,,0.0007767429780253437,0.9932,,58s
retrain,5,1.7232089129030708e-05,-580563.0,,0.0007767429780253437,0.9934,,1m12s
retrain,6,1.4541101963050096e-05,-598745.8125,,0.0007767429780253437,0.9930,,1m27s
retrain,7,1.509783674304496e-05,-621190.25,,0.0007767429780253437,0.9932,,1m41s
retrain,8,1.685778931311385e-05,-649073.8125,,0.0007767429780253437,0.9928,,1m55s
retrain,9,0.0037183628120386857,-654366.9375,,0.0007767429780253437,0.9903,,2m10s
retrain,10,0.0024197668349457673,-652251.4375,,0.0007767429780253437,0.9929,22.62,2m24s
retrain,11,0.00019756794365712266,-660046.125,,0.0007767429780253437,0.9930,,2m39s
retrain,12,4.9731900016104194e-05,-670380.9375,,0.0007767429780253437,0.9934,,2m53s
retrain,13,3.2434754169116786e-05,-683378.4375,,0.0007767429780253437,0.9933,,3m08s
retrain,14,2.6316625442571723e-05,-699782.0625,,0.0007767429780253437,0.9937,,3m22s
retrain,15,2.4122408570641102e-05,-720671.4375,,0.0007767429780253437,0.9935,,3m36s
retrain,16,2.5565337506388156e-05,-747455.4375,,0.0007767429780253437,0.9937,,3m51s
retrain,17,0.0045380340948509915,-732993.0,,0.0007767429780253437,0.9920,,4m01s
retrain,18,0.002149044611008139,-733921.0625,,0.0007767429780253437,0.9923,,4m13s
retrain,19,0.0005489857557922429,-740602.125,,0.0007767429780253437,0.9939,,4m27s
retrain,20,0.00012192475905461228,-752451.5625,,0.0007767429780253437,0.9942,25.00,4m42s
retrain,21,4.119837348025612e-05,-767578.0625,,0.0007767429780253437,0.9940,,4m56s
retrain,22,3.098163145368744e-05,-786429.625,,0.0007767429780253437,0.9940,,5m10s
retrain,23,2.7864302929629047e-05,-810123.75,,0.0007767429780253437,0.9942,,5m25s
retrain,24,3.154739481766834e-05,-839713.0,,0.0007767429780253437,0.9936,,5m39s
retrain,25,0.002714506238377665,-822794.375,,0.0007767429780253437,0.9917,,5m53s
retrain,26,0.003930885183883947,-810600.125,,0.0007767429780253437,0.9926,,6m08s
retrain,27,0.001012481672016535,-816023.9375,,0.0007767429780253437,0.9929,,6m22s
retrain,28,0.00015482072267089582,-828912.8125,,0.0007767429780253437,0.9931,,6m37s
retrain,29,5.78164867734813e-05,-844994.4375,,0.0007767429780253437,0.9936,,6m51s
retrain,30,3.5381838380878134e-05,-864310.75,,0.0007767429780253437,0.9937,27.07,7m05s
