phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0011889880619923435,-530381.5,,0.0010730904760755178,0.9918,,9s
retrain,2,0.00031281774698754816,-544640.375,,0.0010730904760755178,0.9927,,23s
retrain,3,0.0016234160677616578,-550532.1875,,0.0010730904760755178,0.9926,,38s
retrain,4,0.0005862334020796121,-557447.5625,,0.0010730904760755178,0.9926,,53s
retrain,5,0.0001803672155244688,-566666.0,,0.0010730904760755178,0.9927,,1m07s
retrain,6,0.0012690693967437256,-573407.3125,,0.0010730904760755178,0.9911,,1m22s
retrain,7,0.0011405196205386346,-577381.4375,,0.0010730904760755178,0.9934,,1m36s
retrain,8,6.930955141985274e-05,-586894.0,,0.0010730904760755178,0.9939,,1m51s
retrain,9,2.195608039775531e-05,-598505.4375,,0.0010730904760755178,0.9937,,2m06s
retrain,10,1.6384685719269023e-05,-612507.5625,,0.0010730904760755178,0.9936,3.80,2m21s
retrain,11,1.591225878980822e-05,-629367.625,,0.0010730904760755178,0.9934,,2m35s
retrain,12,1.644195227822062e-05,-649485.3125,,0.0010730904760755178,0.9934,,2m50s
retrain,13,1.666887366507884e-05,-673207.3125,,0.0010730904760755178,0.9937,,3m04s
retrain,14,0.0025745199377263665,-680860.8125,,0.0010730904760755178,0.9888,,3m19s
retrain,15,0.004076951506677627,-674408.625,,0.0010730904760755178,0.9924,,3m34s
retrain,16,0.0005119291243132466,-681745.25,,0.0010730904760755178,0.9931,,3m48s
retrain,17,0.0013855578424789806,-686661.1875,,0.0010730904760755178,0.9924,,4m02s
retrain,18,0.0002766833710326258,-695361.6875,,0.0010730904760755178,0.9942,,4m16s
retrain,19,4.318923609953345e-05,-707961.25,,0.0010730904760755178,0.9938,,4m31s
retrain,20,2.9739143215980827e-05,-723238.5,,0.0010730904760755178,0.9943,10.44,4m45s
retrain,21,2.7591394159026094e-05,-741599.625,,0.0010730904760755178,0.9939,,5m00s
retrain,22,2.762170869420212e-05,-763382.4375,,0.0010730904760755178,0.9939,,5m14s
retrain,23,4.191980365009537e-05,-787893.3125,,0.0010730904760755178,0.9933,,5m24s
retrain,24,0.005241680659061725,-763697.0,,0.0010730904760755178,0.9939,,5m36s
retrain,25,0.0005843341004925605,-771698.4375,,0.0010730904760755178,0.9925,,5m50s
retrain,26,0.0005282149579485121,-780817.5625,,0.0010730904760755178,0.9933,,6m05s
retrain,27,0.00015455979937833034,-794071.5625,,0.0010730904760755178,0.9933,,6m20s
retrain,28,6.827468757789271e-05,-811029.3125,,0.0010730904760755178,0.9933,,6m35s
retrain,29,3.6718151486638815e-05,-831406.75,,0.0010730904760755178,0.9930,,6m49s
retrain,30,3.8314042065030664e-05,-854883.6875,,0.0010730904760755178,0.9931,15.16,7m04s
