phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0016624663918283961,-559917.875,,0.001405321662325667,0.9932,,14s
retrain,2,0.0012100126971830226,-580831.5,,0.001405321662325667,0.9920,,29s
retrain,3,0.0007844858810633619,-594222.1875,,0.001405321662325667,0.9928,,43s
retrain,4,0.00017510613197132443,-610158.6875,,0.001405321662325667,0.9930,,58s
retrain,5,0.0001465077203659651,-627056.0625,,0.001405321662325667,0.9925,,1m12s
retrain,6,0.0004851005972734735,-640664.1875,,0.001405321662325667,0.9922,,1m26s
retrain,7,0.0018791779453229537,-647316.0,,0.001405321662325667,0.9920,,1m41s
retrain,8,0.0010786115410849257,-655223.8125,,0.001405321662325667,0.9926,,1m55s
retrain,9,0.000282128190951092,-669352.5,,0.001405321662325667,0.9938,,2m09s
retrain,10,3.5152552569373556e-05,-688113.6875,,0.001405321662325667,0.9935,27.81,2m24s
retrain,11,2.6192122746594274e-05,-711049.625,,0.001405321662325667,0.9937,,2m38s
retrain,12,3.250826312948144e-05,-738291.1875,,0.001405321662325667,0.9935,,2m51s
retrain,13,0.003907583345106112,-732584.4375,,0.001405321662325667,0.9918,,2m59s
retrain,14,0.0017651633875454232,-737035.8125,,0.001405321662325667,0.9933,,3m16s
retrain,15,0.0003466191336208188,-750035.1875,,0.001405321662325667,0.9933,,3m38s
retrain,16,7.474285872516096e-05,-766997.5,,0.001405321662325667,0.9932,,4m00s
retrain,17,4.294411674964067e-05,-787375.9375,,0.001405321662325667,0.9936,,4m22s
retrain,18,4.1221789846773995e-05,-811280.25,,0.001405321662325667,0.9935,,4m45s
retrain,19,5.143651772074615e-05,-838306.5625,,0.001405321662325667,0.9934,,5m07s
retrain,20,0.0050702900646487255,-807268.6875,,0.001405321662325667,0.9923,29.69,5m30s
retrain,21,0.0007699094854101228,-818702.9375,,0.001405321662325667,0.9927,,5m52s
retrain,22,0.00011785883331394871,-835855.0625,,0.001405321662325667,0.9933,,6m14s
retrain,23,6.1011832780059196e-05,-855501.0,,0.001405321662325667,0.9934,,6m36s
retrain,24,5.403464338669437e-05,-877821.8125,,0.001405321662325667,0.9932,,6m58s
retrain,25,7.029180627456905e-05,-901690.5,,0.001405321662325667,0.9931,,7m21s
retrain,26,0.0056917395071461215,-860129.5,,0.001405321662325667,0.9928,,7m43s
retrain,27,0.0007028590196559284,-872925.9375,,0.001405321662325667,0.9937,,8m05s
retrain,28,0.0001329185358454803,-888786.9375,,0.001405321662325667,0.9940,,8m28s
retrain,29,7.706720092476947e-05,-906509.6875,,0.001405321662325667,0.9934,,8m50s
retrain,30,5.460057908991681e-05,-925947.5625,,0.001405321662325667,0.9933,33.64,9m12s
