phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0013133520680031325,-522929.125,,0.0013664936399450235,0.9924,,21s
retrain,2,0.0006218279679491995,-535117.3125,,0.0013664936399450235,0.9922,,44s
retrain,3,0.0008105291881334779,-542410.5,,0.0013664936399450235,0.9917,,1m06s
retrain,4,0.0010056849904717183,-549172.9375,,0.0013664936399450235,0.9921,,1m28s
retrain,5,0.0008019456659967242,-555733.5,,0.0013664936399450235,0.9923,,1m50s
retrain,6,0.0002156642338649514,-564420.375,,0.0013664936399450235,0.9927,,2m12s
retrain,7,9.98613526985461e-05,-574902.0,,0.0013664936399450235,0.9926,,2m34s
retrain,8,0.002578318558589611,-577227.5,,0.0013664936399450235,0.9918,,2m57s
retrain,9,0.00048480727744692255,-585056.0,,0.0013664936399450235,0.9928,,3m18s
retrain,10,0.0001673988880703102,-595096.5625,,0.0013664936399450235,0.9929,9.95,3m40s
retrain,11,2.435795748260716e-05,-607581.0,,0.0013664936399450235,0.9931,,4m03s
retrain,12,1.6581630395194226e-05,-622403.1875,,0.0013664936399450235,0.9933,,4m25s
retrain,13,1.5978398228920318e-05,-639761.125,,0.0013664936399450235,0.9935,,4m48s
retrain,14,0.00012144713394706438,-659325.4375,,0.0013664936399450235,0.9931,,5m10s
retrain,15,0.0052851367691655465,-648796.8125,,0.0013664936399450235,0.9926,,5m32s
retrain,16,0.00037641390417350823,-656873.4375,,0.0013664936399450235,0.9924,,5m54s
retrain,17,9.514592419454857e-05,-667327.0625,,0.0013664936399450235,0.9935,,6m16s
retrain,18,3.7394789791202735e-05,-680011.625,,0.0013664936399450235,0.9926,,6m38s
retrain,19,2.717222219677448e-05,-694889.75,,0.0013664936399450235,0.9927,,7m01s
retrain,20,2.5808829818500573e-05,-712223.6875,,0.0013664936399450235,0.9927,16.49,7m23s
retrain,21,3.1529414101351e-05,-731997.8125,,0.0013664936399450235,0.9923,,7m45s
retrain,22,3.482950807713981e-05,-754130.0625,,0.0013664936399450235,0.9926,,8m07s
retrain,23,0.005485044456450851,-733828.75,,0.0013664936399450235,0.9934,,8m30s
retrain,24,0.0011806247036205604,-738760.5,,0.0013664936399450235,0.9924,,8m52s
retrain,25,0.0004408277006560335,-747556.0625,,0.0013664936399450235,0.9933,,9m14s
retrain,26,0.00012142038629729844,-758866.25,,0.0013664936399450235,0.9933,,9m36s
retrain,27,4.805085709849664e-05,-772925.875,,0.0013664936399450235,0.9931,,9m58s
retrain,28,3.765032728376051e-05,-789280.4375,,0.0013664936399450235,0.9933,,10m20s
retrain,29,0.00026839370007340524,-807578.5625,,0.0013664936399450235,0.9933,,10m42s
retrain,30,0.005104254049726296,-787127.75,,0.0013664936399450235,0.9914,34.45,11m04s
