phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0016153788103655036,-562132.125,,0.0016019713395537725,0.9919,,22s
retrain,2,0.0004580935867690338,-578414.625,,0.0016019713395537725,0.9928,,45s
retrain,3,5.417971685856173e-05,-600304.3125,,0.0016019713395537725,0.9933,,1m08s
retrain,4,2.452739375233553e-05,-627098.125,,0.0016019713395537725,0.9934,,1m30s
retrain,5,0.00021976841692979482,-657730.0,,0.0016019713395537725,0.9927,,1m52s
retrain,6,0.004240902759115367,-654171.1875,,0.0016019713395537725,0.9933,,2m14s
retrain,7,0.0003509647336073006,-667524.4375,,0.0016019713395537725,0.9937,,2m37s
retrain,8,0.00021370209407875032,-683786.125,,0.0016019713395537725,0.9938,,2m59s
retrain,9,5.519350611032981e-05,-704495.6875,,0.0016019713395537725,0.9937,,3m21s
retrain,10,3.303750555833176e-05,-729340.4375,,0.0016019713395537725,0.9938,13.15,3m44s
retrain,11,4.8184334839728154e-05,-757434.6875,,0.0016019713395537725,0.9937,,4m06s
retrain,12,0.005606434051708978,-738588.3125,,0.0016019713395537725,0.9914,,4m29s
retrain,13,0.0010408263952934552,-747780.4375,,0.0016019713395537725,0.9922,,4m51s
retrain,14,0.00019484750717031906,-761990.5,,0.0016019713395537725,0.9936,,5m14s
retrain,15,5.951161575503647e-05,-780061.625,,0.0016019713395537725,0.9932,,5m36s
retrain,16,5.5018511271555326e-05,-801210.625,,0.0016019713395537725,0.9934,,5m59s
retrain,17,5.385978029923232e-05,-825897.625,,0.0016019713395537725,0.9938,,6m21s
retrain,18,6.166029647162456e-05,-853431.375,,0.0016019713395537725,0.9930,,6m43s
retrain,19,0.005875032597390479,-828388.3125,,0.0016019713395537725,0.9932,,7m05s
retrain,20,0.0007130450196670911,-841577.5625,,0.0016019713395537725,0.9932,33.29,7m27s
retrain,21,0.000513578776709134,-854701.6875,,0.0016019713395537725,0.9928,,7m49s
retrain,22,0.00010377729518040724,-873891.875,,0.0016019713395537725,0.9937,,8m11s
retrain,23,0.00013116075627955676,-894711.875,,0.0016019713395537725,0.9933,,8m33s
retrain,24,0.003337107498986491,-871117.4375,,0.0016019713395537725,0.9931,,8m55s
retrain,25,0.001171448574437333,-879785.8125,,0.0016019713395537725,0.9925,,9m18s
retrain,26,0.0011140406805464106,-888581.75,,0.0016019713395537725,0.9936,,9m40s
retrain,27,0.00034791865509638833,-905232.4375,,0.0016019713395537725,0.9932,,10m02s
retrain,28,7.978296101039935e-05,-925669.5625,,0.0016019713395537725,0.9932,,10m25s
retrain,29,5.8905777766631216e-05,-947692.125,,0.0016019713395537725,0.9931,,10m47s
retrain,30,6.813459329750913e-05,-970184.8125,,0.0016019713395537725,0.9925,36.16,11m09s
