phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0014569135245977123,-523597.96875,,0.003268230934634242,0.9934,,23s
retrain,2,0.0010654996913313274,-548399.25,,0.003268230934634242,0.9927,,45s
retrain,3,0.0010738945709178552,-567392.4375,,0.003268230934634242,0.9924,,1m08s
retrain,4,0.00047711645819144906,-588735.0,,0.003268230934634242,0.9927,,1m31s
retrain,5,0.000130901811617332,-612700.5625,,0.003268230934634242,0.9928,,1m53s
retrain,6,0.0020661104078179052,-629388.75,,0.003268230934634242,0.9920,,2m16s
retrain,7,0.0008826022913012518,-646182.0,,0.003268230934634242,0.9932,,2m39s
retrain,8,0.0006042803417528073,-666630.5,,0.003268230934634242,0.9929,,3m02s
retrain,9,9.684044845792717e-05,-692329.625,,0.003268230934634242,0.9929,,3m25s
retrain,10,5.930500073021297e-05,-723379.4375,,0.003268230934634242,0.9932,15.73,3m48s
retrain,11,0.0029306154105201133,-738764.375,,0.003268230934634242,0.9921,,4m10s
retrain,12,0.0023832710564737985,-749372.125,,0.003268230934634242,0.9936,,4m33s
retrain,13,0.0007717008301037519,-768619.75,,0.003268230934634242,0.9931,,4m56s
retrain,14,0.0002273807506149751,-794966.5,,0.003268230934634242,0.9922,,5m19s
retrain,15,0.001815457036200678,-805541.375,,0.003268230934634242,0.9902,,5m41s
retrain,16,0.0023468497720430604,-816172.25,,0.003268230934634242,0.9926,,6m04s
retrain,17,0.0011238701039076357,-834175.0625,,0.003268230934634242,0.9929,,6m27s
retrain,18,0.0011030194020500252,-852482.1875,,0.003268230934634242,0.9929,,6m49s
retrain,19,0.0014587603048217715,-868302.375,,0.003268230934634242,0.9930,,7m12s
retrain,20,0.0008072586432681419,-889618.6875,,0.003268230934634242,0.9925,33.55,7m35s
retrain,21,0.0014160210908555502,-902062.1875,,0.003268230934634242,0.9914,,7m58s
retrain,22,0.0031286559780147704,-906340.5625,,0.003268230934634242,0.9918,,8m21s
retrain,23,0.000810731317595734,-928307.5,,0.003268230934634242,0.9915,,8m38s
retrain,24,0.0007325598661904224,-950542.9375,,0.003268230934634242,0.9930,,8m46s
retrain,25,0.00028506034202097606,-978343.0625,,0.003268230934634242,0.9927,,9m06s
retrain,26,0.0014916187137636978,-981340.1875,,0.003268230934634242,0.9918,,9m29s
retrain,27,0.004661096103330298,-972342.0625,,0.003268230934634242,0.9933,,9m52s
retrain,28,0.0011459884660299092,-990103.3125,,0.003268230934634242,0.9928,,10m14s
retrain,29,0.0005859399730426957,-1009470.75,,0.003268230934634242,0.9929,,10m37s
retrain,30,0.00020641008258486787,-1028686.625,,0.003268230934634242,0.9929,41.75,11m00s
