phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0012724033572885673,-333034.75,,0.0010289497891136491,0.9922,,27s
retrain,2,0.00028658440950412114,-338964.1875,,0.0010289497891136491,0.9933,,54s
retrain,3,2.47490719451226e-05,-345213.96875,,0.0010289497891136491,0.9929,,1m22s
retrain,4,1.1274966503733216e-05,-351487.15625,,0.0010289497891136491,0.9935,,1m49s
retrain,5,7.0631226341485365e-06,-357881.75,,0.0010289497891136491,0.9935,,2m16s
retrain,6,5.82626900500145e-06,-364543.25,,0.0010289497891136491,0.9936,,2m44s
retrain,7,4.991926430240786e-06,-371505.90625,,0.0010289497891136491,0.9935,,3m11s
retrain,8,4.537871377789315e-06,-378769.96875,,0.0010289497891136491,0.9935,,3m39s
retrain,9,4.661092315901054e-06,-386339.25,,0.0010289497891136491,0.9936,,4m06s
retrain,10,5.398229189623767e-06,-394139.09375,,0.0010289497891136491,0.9930,48.07,4m33s
retrain,11,0.0029456223208217127,-399046.40625,,0.0010289497891136491,0.9904,,5m00s
retrain,12,0.0035954480494925518,-401645.0625,,0.0010289497891136491,0.9927,,5m28s
retrain,13,0.0006220202976481232,-406191.53125,,0.0010289497891136491,0.9933,,5m53s
retrain,14,5.834560469217346e-05,-411134.03125,,0.0010289497891136491,0.9934,,6m20s
retrain,15,2.400752542027173e-05,-416224.78125,,0.0010289497891136491,0.9933,,6m47s
retrain,16,1.693639769952521e-05,-421419.34375,,0.0010289497891136491,0.9935,,7m15s
retrain,17,1.300436780037065e-05,-426741.28125,,0.0010289497891136491,0.9935,,7m42s
retrain,18,1.0329618569350412e-05,-432222.78125,,0.0010289497891136491,0.9935,,8m10s
retrain,19,8.725562575637014e-06,-437908.34375,,0.0010289497891136491,0.9935,,8m37s
retrain,20,7.35000828149263e-06,-443871.59375,,0.0010289497891136491,0.9937,47.56,9m04s
retrain,21,6.494878752393637e-06,-450126.96875,,0.0010289497891136491,0.9937,,9m32s
retrain,22,6.1066941387214985e-06,-456718.78125,,0.0010289497891136491,0.9936,,9m59s
retrain,23,6.091295061855817e-06,-463709.59375,,0.0010289497891136491,0.9938,,10m26s
retrain,24,6.360274664753736e-06,-471093.09375,,0.0010289497891136491,0.9937,,10m53s
retrain,25,0.0028613821504916057,-473880.75,,0.0010289497891136491,0.9882,,11m21s
retrain,26,0.00398564687656423,-475320.8125,,0.0010289497891136491,0.9931,,11m48s
retrain,27,0.0002378680508870578,-479884.3125,,0.0010289497891136491,0.9929,,12m16s
retrain,28,6.282249260948447e-05,-484717.21875,,0.0010289497891136491,0.9931,,12m43s
retrain,29,2.7833137529645078e-05,-489717.1875,,0.0010289497891136491,0.9933,,13m11s
retrain,30,1.8674576381696777e-05,-494867.5625,,0.0010289497891136491,0.9934,47.27,13m38s
