phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0014363504677145102,-539954.5,,0.0017066139422971622,0.9922,,27s
retrain,2,0.0001792667843365507,-562236.9375,,0.0017066139422971622,0.9933,,55s
retrain,3,2.9948221405932903e-05,-588881.875,,0.0017066139422971622,0.9930,,1m22s
retrain,4,2.4707000874991535e-05,-619890.0,,0.0017066139422971622,0.9931,,1m50s
retrain,5,0.0009647181864960809,-651482.5,,0.0017066139422971622,0.9907,,2m17s
retrain,6,0.003949691066954983,-648317.5625,,0.0017066139422971622,0.9914,,2m43s
retrain,7,0.000929630820235737,-658020.625,,0.0017066139422971622,0.9930,,3m09s
retrain,8,0.00015286737115335807,-672675.6875,,0.0017066139422971622,0.9937,,3m36s
retrain,9,4.839596354170984e-05,-691319.75,,0.0017066139422971622,0.9939,,4m04s
retrain,10,3.546197446563989e-05,-714103.0625,,0.0017066139422971622,0.9939,26.30,4m31s
retrain,11,5.0768698527675345e-05,-741286.625,,0.0017066139422971622,0.9935,,4m58s
retrain,12,0.0038075409774053696,-737906.0625,,0.0017066139422971622,0.9922,,5m26s
retrain,13,0.0023466031475778437,-740371.625,,0.0017066139422971622,0.9931,,5m53s
retrain,14,0.0006647869702758423,-752039.875,,0.0017066139422971622,0.9937,,6m21s
retrain,15,9.680973528083996e-05,-769445.0625,,0.0017066139422971622,0.9942,,6m48s
retrain,16,5.7957128591563864e-05,-791010.3125,,0.0017066139422971622,0.9940,,7m15s
retrain,17,5.5188652669009266e-05,-817342.4375,,0.0017066139422971622,0.9940,,7m42s
retrain,18,7.298605805614595e-05,-848443.6875,,0.0017066139422971622,0.9934,,8m09s
retrain,19,0.00602662544301323,-821214.375,,0.0017066139422971622,0.9934,,8m37s
retrain,20,0.0007937615650201527,-833902.375,,0.0017066139422971622,0.9937,27.29,9m04s
retrain,21,0.0001236750226341731,-853845.75,,0.0017066139422971622,0.9939,,9m32s
retrain,22,8.422625652262164e-05,-876891.5,,0.0017066139422971622,0.9938,,9m59s
retrain,23,0.002355608104930434,-873718.5625,,0.0017066139422971622,0.9918,,10m26s
retrain,24,0.002632909063086845,-872228.75,,0.0017066139422971622,0.9937,,10m54s
retrain,25,0.0005587484394432977,-887066.25,,0.0017066139422971622,0.9937,,11m21s
retrain,26,0.00014007403785350713,-908055.4375,,0.0017066139422971622,0.9944,,11m48s
retrain,27,8.607931923446207e-05,-932446.25,,0.0017066139422971622,0.9942,,12m15s
retrain,28,0.0005379424846088417,-948819.875,,0.0017066139422971622,0.9916,,12m43s
retrain,29,0.005909213045654663,-915983.3125,,0.0017066139422971622,0.9931,,13m10s
retrain,30,0.0008474890792567749,-929630.75,,0.0017066139422971622,0.9933,31.61,13m35s
