phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0014595737890501748,-531333.4375,,0.0018749915905304536,0.9921,,27s
retrain,2,0.0010773642016945512,-539723.8125,,0.0018749915905304536,0.9926,,54s
retrain,3,0.0006528352159788482,-547628.5,,0.0018749915905304536,0.9934,,1m21s
retrain,4,0.00014648082024192868,-557852.25,,0.0018749915905304536,0.9934,,1m48s
retrain,5,0.0007761186443807067,-566809.125,,0.0018749915905304536,0.9924,,2m16s
retrain,6,0.0019192355574276006,-568715.9375,,0.0018749915905304536,0.9929,,2m43s
retrain,7,9.859752648071663e-05,-577322.625,,0.0018749915905304536,0.9927,,3m10s
retrain,8,3.0547927823408826e-05,-587521.1875,,0.0018749915905304536,0.9927,,3m37s
retrain,9,2.2162441673754074e-05,-599169.6875,,0.0018749915905304536,0.9928,,4m04s
retrain,10,2.1596368871936042e-05,-612247.125,,0.0018749915905304536,0.9932,19.76,4m29s
retrain,11,2.4563213598563985e-05,-626519.375,,0.0018749915905304536,0.9932,,4m56s
retrain,12,2.622734438164116e-05,-641872.125,,0.0018749915905304536,0.9928,,5m23s
retrain,13,0.005120944317466273,-632862.375,,0.0018749915905304536,0.9925,,5m50s
retrain,14,0.000811160311535059,-636985.875,,0.0018749915905304536,0.9934,,6m17s
retrain,15,0.0006149660556688711,-641882.125,,0.0018749915905304536,0.9925,,6m44s
retrain,16,0.0009442161811229501,-646151.8125,,0.0018749915905304536,0.9934,,7m11s
retrain,17,0.00011981537053507054,-653491.75,,0.0018749915905304536,0.9937,,7m38s
retrain,18,3.802062997444106e-05,-662175.0,,0.0018749915905304536,0.9937,,8m05s
retrain,19,2.99902969831237e-05,-672094.0,,0.0018749915905304536,0.9935,,8m32s
retrain,20,2.6654065848197205e-05,-683127.25,,0.0018749915905304536,0.9938,26.97,8m59s
retrain,21,3.1634807467465486e-05,-695025.125,,0.0018749915905304536,0.9936,,9m26s
retrain,22,0.006107705897603986,-682778.0625,,0.0018749915905304536,0.9928,,9m53s
retrain,23,0.0009205968204963332,-686505.0,,0.0018749915905304536,0.9936,,10m20s
retrain,24,0.0008519906062196241,-689617.625,,0.0018749915905304536,0.9939,,10m47s
retrain,25,0.0007263730538827076,-694268.375,,0.0018749915905304536,0.9929,,11m15s
retrain,26,0.0010431779552449976,-697972.375,,0.0018749915905304536,0.9932,,11m42s
retrain,27,0.00017688286970308885,-705093.0625,,0.0018749915905304536,0.9935,,12m09s
retrain,28,4.459501770543284e-05,-713786.1875,,0.0018749915905304536,0.9935,,12m36s
retrain,29,3.345735806457621e-05,-723516.75,,0.0018749915905304536,0.9934,,13m03s
retrain,30,3.149579855007687e-05,-734234.875,,0.0018749915905304536,0.9938,45.55,13m30s
