phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0012394819791973835,-556855.5625,,0.0013251886923713579,0.9931,,27s
retrain,2,0.000507695509531671,-576388.9375,,0.0013251886923713579,0.9929,,54s
retrain,3,0.0017134694390414855,-584801.125,,0.0013251886923713579,0.9922,,1m19s
retrain,4,0.0006434637609822554,-594083.625,,0.0013251886923713579,0.9923,,1m46s
retrain,5,0.0006928895684757663,-601738.25,,0.0013251886923713579,0.9927,,2m13s
retrain,6,6.882185117515291e-05,-614881.75,,0.0013251886923713579,0.9927,,2m40s
retrain,7,2.79496096946635e-05,-631001.9375,,0.0013251886923713579,0.9928,,3m07s
retrain,8,2.1973368181064264e-05,-650341.5625,,0.0013251886923713579,0.9930,,3m35s
retrain,9,2.6051340918729694e-05,-672932.625,,0.0013251886923713579,0.9931,,4m02s
retrain,10,0.004713849935989917,-665136.5,,0.0013251886923713579,0.9922,31.22,4m29s
retrain,11,0.001093784516879047,-670425.75,,0.0013251886923713579,0.9935,,4m56s
retrain,12,0.00014211914871096573,-680840.25,,0.0013251886923713579,0.9937,,5m23s
retrain,13,4.8235806841845866e-05,-693711.25,,0.0013251886923713579,0.9934,,5m50s
retrain,14,3.312649967726126e-05,-709086.8125,,0.0013251886923713579,0.9935,,6m17s
retrain,15,3.2430949149693336e-05,-727100.0,,0.0013251886923713579,0.9935,,6m44s
retrain,16,3.701305665066078e-05,-747768.1875,,0.0013251886923713579,0.9931,,7m11s
retrain,17,0.003914747874878109,-735665.375,,0.0013251886923713579,0.9923,,7m38s
retrain,18,0.002210196205294536,-736363.5625,,0.0013251886923713579,0.9926,,8m05s
retrain,19,0.0005874347961963698,-743833.8125,,0.0013251886923713579,0.9929,,8m32s
retrain,20,0.00019884526093810563,-754704.1875,,0.0013251886923713579,0.9929,32.30,9m00s
retrain,21,5.771128075563562e-05,-768452.625,,0.0013251886923713579,0.9926,,9m27s
retrain,22,4.425870107334049e-05,-784434.9375,,0.0013251886923713579,0.9932,,9m54s
retrain,23,4.631678303764299e-05,-802605.3125,,0.0013251886923713579,0.9929,,10m20s
retrain,24,0.003915735719063862,-780837.0,,0.0013251886923713579,0.9920,,10m48s
retrain,25,0.0019257901149860117,-781324.4375,,0.0013251886923713579,0.9937,,11m15s
retrain,26,0.00044912005484996675,-789570.875,,0.0013251886923713579,0.9937,,11m42s
retrain,27,7.840563608090937e-05,-802040.1875,,0.0013251886923713579,0.9939,,12m07s
retrain,28,4.828476566472091e-05,-816207.0625,,0.0013251886923713579,0.9941,,12m34s
retrain,29,4.52641961081099e-05,-832327.1875,,0.0013251886923713579,0.9940,,12m57s
retrain,30,4.8523716555549376e-05,-850278.6875,,0.0013251886923713579,0.9940,35.45,13m17s
