phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.001999821365131841,-214284.40625,,0.004709342990753528,,,5s
retrain,2,0.0007331251959626873,-280654.1875,,0.004709342990753528,,,10s
retrain,3,0.0004039757538858491,-305525.1875,,0.004709342990753528,,,15s
retrain,4,0.00645453920631165,-309207.90625,,0.004709342990753528,,,21s
retrain,5,0.0013755922930315137,-314477.46875,,0.004709342990753528,,,26s
retrain,6,0.001303451930017521,-319884.96875,,0.004709342990753528,,,31s
retrain,7,0.0014423001241016511,-325040.125,,0.004709342990753528,,,36s
retrain,8,0.00025013633589066254,-333279.71875,,0.004709342990753528,,,42s
retrain,9,0.00018807997705516755,-343718.46875,,0.004709342990753528,,,47s
retrain,10,0.00018795746745696912,-356777.34375,,0.004709342990753528,,,52s
retrain,11,0.007736152690086358,-357193.59375,,0.004709342990753528,,,57s
retrain,12,0.002622686428312833,-360904.28125,,0.004709342990753528,,,1m02s
retrain,13,0.0009189817512737742,-367521.03125,,0.004709342990753528,,,1m08s
retrain,14,0.0003537252594600432,-376613.78125,,0.004709342990753528,,,1m13s
retrain,15,0.00043685854710638524,-387064.125,,0.004709342990753528,,,1m18s
retrain,16,0.00032862464105710385,-401088.5,,0.004709342990753528,,,1m23s
retrain,17,0.0023090548595588187,-412955.0625,,0.004709342990753528,,,1m28s
retrain,18,0.009919394224882127,-408530.125,,0.004709342990753528,,,1m34s
retrain,19,0.0014288851829711347,-415704.3125,,0.004709342990753528,,,1m39s
retrain,20,0.0005029732637281995,-426612.875,,0.004709342990753528,0.9832,91.48,1m44s
retrain,21,0.0003983590575090299,-440736.75,,0.004709342990753528,,,1m50s
retrain,22,0.0004735127094667405,-458772.125,,0.004709342990753528,,,1m55s
retrain,23,0.009018881497283776,-451699.59375,,0.004709342990753528,,,2m00s
retrain,24,0.0028255128018092363,-458498.3125,,0.004709342990753528,,,2m05s
retrain,25,0.0011147804835500816,-470043.5625,,0.004709342990753528,,,2m10s
retrain,26,0.0008295911272832503,-485500.3125,,0.004709342990753528,,,2m15s
retrain,27,0.0006265310461089636,-506937.9375,,0.004709342990753528,,,2m21s
