phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.003113227353830977,-222259.921875,,0.00964043095008709,,,5s
retrain,2,0.001271759364484266,-289970.96875,,0.00964043095008709,,,10s
retrain,3,0.0007388872955731737,-315676.46875,,0.00964043095008709,,,15s
retrain,4,0.004276015710349505,-326628.125,,0.00964043095008709,,,21s
retrain,5,0.0017012590764439665,-337895.34375,,0.00964043095008709,,,26s
retrain,6,0.0007030929393532764,-352387.90625,,0.00964043095008709,,,31s
retrain,7,0.0025812682769843377,-364388.78125,,0.00964043095008709,,,37s
retrain,8,0.0030323829780798403,-375890.5,,0.00964043095008709,,,42s
retrain,9,0.0016424895657847324,-390840.65625,,0.00964043095008709,,,47s
retrain,10,0.0033266166455112396,-402638.125,,0.00964043095008709,,,53s
retrain,11,0.0009845129341818392,-421349.59375,,0.00964043095008709,,,58s
retrain,12,0.003722818738113468,-435490.6875,,0.00964043095008709,,,1m04s
retrain,13,0.004907904938763629,-446387.21875,,0.00964043095008709,,,1m09s
retrain,14,0.0020550789966247976,-464391.84375,,0.00964043095008709,,,1m14s
retrain,15,0.0017099420611436167,-489736.75,,0.00964043095008709,,,1m19s
retrain,16,0.005040437264771511,-508854.90625,,0.00964043095008709,,,1m25s
retrain,17,0.005393920966548224,-529237.8125,,0.00964043095008709,,,1m30s
retrain,18,0.004234466658625752,-557690.5,,0.00964043095008709,,,1m35s
retrain,19,0.004385533117083833,-593057.8125,,0.00964043095008709,,,1m41s
retrain,20,0.006279187423052887,-631228.1875,,0.00964043095008709,0.9830,68.58,1m46s
retrain,21,0.006958282048938175,-681650.9375,,0.00964043095008709,,,1m52s
retrain,22,0.00868632650549213,-732140.5625,,0.00964043095008709,,,1m57s
retrain,23,0.007805267945677042,-787352.125,,0.00964043095008709,,,2m03s
retrain,24,0.007150606338928143,-822882.5625,,0.00964043095008709,,,2m08s
retrain,25,0.008987309131895502,-835001.5625,,0.00964043095008709,,,2m13s
retrain,26,0.0055817118130624295,-846876.625,,0.00964043095008709,,,2m19s
retrain,27,0.006244775547304501,-844135.3125,,0.00964043095008709,,,2m24s
retrain,28,0.005950822992064059,-859850.3125,,0.00964043095008709,,,2m29s
retrain,29,0.0043628605542083585,-860056.625,,0.00964043095008709,,,2m34s
retrain,30,0.006037078017989794,-844526.6875,,0.00964043095008709,,,2m39s
retrain,31,0.002953372927661985,-870378.9375,,0.00964043095008709,,,2m45s
retrain,32,0.002544338409214591,-867300.9375,,0.00964043095008709,,,2m50s
retrain,33,0.006447751669709881,-840450.875,,0.00964043095008709,,,2m56s
retrain,34,0.0036345108326990157,-869735.625,,0.00964043095008709,,,3m01s
retrain,35,0.0018296874674968422,-873688.8125,,0.00964043095008709,,,3m06s
retrain,36,0.003046528570509205,-851580.0625,,0.00964043095008709,,,3m11s
retrain,37,0.005086996974889189,-856647.0625,,0.00964043095008709,,,3m17s
retrain,38,0.001712955914484337,-876095.625,,0.00964043095008709,,,3m22s
retrain,39,0.0006722570107939342,-878835.3125,,0.00964043095008709,,,3m28s
retrain,40,0.0019274044269307828,-841198.1875,,0.00964043095008709,0.9778,60.15,3m33s
