phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.001968742890745246,-236285.40625,,0.00910226966940628,,,5s
retrain,2,0.003343129933734114,-297613.8125,,0.00910226966940628,,,10s
retrain,3,0.001595369267615024,-315427.125,,0.00910226966940628,,,15s
retrain,4,0.0004918501288630068,-330046.75,,0.00910226966940628,,,21s
retrain,5,0.0022965375130297614,-342035.25,,0.00910226966940628,,,26s
retrain,6,0.004100338292932914,-350093.625,,0.00910226966940628,,,31s
retrain,7,0.0020293593225893954,-359326.28125,,0.00910226966940628,,,36s
retrain,8,0.0009794588790546792,-372229.03125,,0.00910226966940628,,,42s
retrain,9,0.001094149667470871,-388130.59375,,0.00910226966940628,,,47s
retrain,10,0.005583726954304924,-394615.1875,,0.00910226966940628,,,53s
retrain,11,0.0013850595265394077,-407764.125,,0.00910226966940628,,,58s
retrain,12,0.0006577572210536649,-426659.53125,,0.00910226966940628,,,1m03s
retrain,13,0.000840867511377049,-451880.46875,,0.00910226966940628,,,1m08s
retrain,14,0.009130307696076732,-454022.6875,,0.00910226966940628,,,1m14s
retrain,15,0.0026878068680875004,-469388.875,,0.00910226966940628,,,1m19s
retrain,16,0.0014466768017659586,-492376.0625,,0.00910226966940628,,,1m24s
retrain,17,0.0023991972733599445,-518804.96875,,0.00910226966940628,,,1m30s
retrain,18,0.008800523490893344,-531138.9375,,0.00910226966940628,,,1m35s
retrain,19,0.005670867662659536,-551774.0625,,0.00910226966940628,,,1m40s
retrain,20,0.0027380789084049564,-585874.25,,0.00910226966940628,0.9813,74.46,1m46s
retrain,21,0.006350025388784706,-617121.1875,,0.00910226966940628,,,1m51s
retrain,22,0.006937392059961954,-657414.625,,0.00910226966940628,,,1m57s
retrain,23,0.0063683007190003995,-716905.5625,,0.00910226966940628,,,2m02s
retrain,24,0.0073563934469595554,-789752.5625,,0.00910226966940628,,,2m07s
retrain,25,0.00968386863010625,-833760.0625,,0.00910226966940628,,,2m12s
retrain,26,0.0068161484993373355,-878070.4375,,0.00910226966940628,,,2m17s
retrain,27,0.006196616917662322,-879301.375,,0.00910226966940628,,,2m22s
retrain,28,0.007359131421831747,-879326.8125,,0.00910226966940628,,,2m28s
retrain,29,0.003431276745783786,-897818.0,,0.00910226966940628,,,2m33s
retrain,30,0.004161820967278133,-884626.5625,,0.00910226966940628,,,2m38s
retrain,31,0.004074925762228667,-882103.5625,,0.00910226966940628,,,2m43s
retrain,32,0.002095789806327472,-902879.875,,0.00910226966940628,,,2m48s
retrain,33,0.001863292180482919,-901595.6875,,0.00910226966940628,,,2m54s
retrain,34,0.006202400801361849,-847876.125,,0.00910226966940628,,,2m59s
retrain,35,0.004778409197352206,-901398.6875,,0.00910226966940628,,,3m04s
retrain,36,0.0009161119423651447,-907414.625,,0.00910226966940628,,,3m09s
retrain,37,0.0008600318129640072,-907091.4375,,0.00910226966940628,,,3m15s
retrain,38,0.0014820410472651323,-881282.25,,0.00910226966940628,,,3m20s
retrain,39,0.012321004623857637,-870935.8125,,0.00910226966940628,,,3m25s
retrain,40,0.0009037625363484646,-907255.625,,0.00910226966940628,0.9835,59.06,3m31s
