phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.003068407679735295,-237850.015625,,0.005766144235922074,,,5s
retrain,2,0.001754286673750418,-294008.375,,0.005766144235922074,,,10s
retrain,3,0.0005748584526008927,-309119.0625,,0.005766144235922074,,,16s
retrain,4,0.00027600172529443324,-321814.9375,,0.005766144235922074,,,21s
retrain,5,0.00025817786027716163,-336915.5625,,0.005766144235922074,,,26s
retrain,6,0.008187125001110447,-337015.6875,,0.005766144235922074,,,32s
retrain,7,0.0012990864939521997,-342711.1875,,0.005766144235922074,,,37s
retrain,8,0.00045371005950146356,-350835.4375,,0.005766144235922074,,,42s
retrain,9,0.0002528060933885475,-361309.09375,,0.005766144235922074,,,48s
retrain,10,0.00026844428590654085,-374457.15625,,0.005766144235922074,,,53s
retrain,11,0.004670987303143677,-380546.375,,0.005766144235922074,,,59s
retrain,12,0.00461080589525712,-383447.03125,,0.005766144235922074,,,1m04s
retrain,13,0.0016105485258934397,-390003.40625,,0.005766144235922074,,,1m09s
retrain,14,0.000938158604176715,-398812.34375,,0.005766144235922074,,,1m15s
retrain,15,0.000767055056290701,-409638.1875,,0.005766144235922074,,,1m20s
retrain,16,0.0020489690927167734,-420389.15625,,0.005766144235922074,,,1m25s
retrain,17,0.0064309394632698965,-420344.21875,,0.005766144235922074,,,1m31s
retrain,18,0.001117239395296201,-429743.90625,,0.005766144235922074,,,1m36s
retrain,19,0.0007150714605969066,-442318.03125,,0.005766144235922074,,,1m42s
retrain,20,0.0009143208919946725,-458063.78125,,0.005766144235922074,0.9823,100.05,1m47s
retrain,21,0.007525055152441685,-454993.34375,,0.005766144235922074,,,1m53s
retrain,22,0.0018057131097341578,-464916.75,,0.005766144235922074,,,1m58s
retrain,23,0.0007802843493254234,-480101.875,,0.005766144235922074,,,2m03s
retrain,24,0.001056502619626311,-498048.46875,,0.005766144235922074,,,2m08s
retrain,25,0.007250885888530562,-496966.53125,,0.005766144235922074,,,2m14s
retrain,26,0.0026096571604255587,-508632.03125,,0.005766144235922074,,,2m19s
retrain,27,0.00111791601718481,-527058.4375,,0.005766144235922074,,,2m25s
retrain,28,0.0013460251993577307,-549493.625,,0.005766144235922074,,,2m30s
retrain,29,0.006672867635606478,-552511.3125,,0.005766144235922074,,,2m35s
retrain,30,0.005180631318688392,-563430.625,,0.005766144235922074,,,2m41s
retrain,31,0.0026405933826075248,-582861.1875,,0.005766144235922074,,,2m46s
retrain,32,0.001487238054520761,-612800.3125,,0.005766144235922074,,,2m51s
retrain,33,0.002253611276842033,-643512.125,,0.005766144235922074,,,2m56s
retrain,34,0.008320481168106198,-645747.875,,0.005766144235922074,,,3m02s
retrain,35,0.005305701897929733,-667858.125,,0.005766144235922074,,,3m07s
retrain,36,0.0021839327771837514,-706552.5,,0.005766144235922074,,,3m12s
retrain,37,0.003959722681653996,-721746.1875,,0.005766144235922074,,,3m18s
retrain,38,0.006571524688027178,-726767.0,,0.005766144235922074,,,3m23s
retrain,39,0.0044254877836753925,-750369.125,,0.005766144235922074,,,3m28s
retrain,40,0.003725236721771459,-772092.125,,0.005766144235922074,0.9815,63.88,3m34s
