phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0022748425139211275,-212927.609375,,0.007216117696718232,,,5s
retrain,2,0.001617232611849128,-280228.40625,,0.007216117696718232,,,10s
retrain,3,0.0008544074012820298,-306030.9375,,0.007216117696718232,,,15s
retrain,4,0.000935089356645282,-325376.21875,,0.007216117696718232,,,21s
retrain,5,0.005559049653727562,-331718.75,,0.007216117696718232,,,26s
retrain,6,0.0005854430797315824,-342916.78125,,0.007216117696718232,,,31s
retrain,7,0.0002902114647751053,-357356.3125,,0.007216117696718232,,,36s
retrain,8,0.0013460764345887583,-372060.71875,,0.007216117696718232,,,41s
retrain,9,0.00735311100386704,-372772.0625,,0.007216117696718232,,,47s
retrain,10,0.0011312443762474384,-382845.375,,0.007216117696718232,,,52s
retrain,11,0.000582331297119769,-395752.65625,,0.007216117696718232,,,57s
retrain,12,0.0005240919554062809,-412256.09375,,0.007216117696718232,,,1m02s
retrain,13,0.0019220443448827913,-428263.625,,0.007216117696718232,,,1m07s
retrain,14,0.007898063271989424,-428994.40625,,0.007216117696718232,,,1m13s
retrain,15,0.0033886372971503684,-438491.78125,,0.007216117696718232,,,1m18s
retrain,16,0.001040280437671269,-453928.125,,0.007216117696718232,,,1m23s
retrain,17,0.0008541442304461573,-473416.75,,0.007216117696718232,,,1m28s
retrain,18,0.0046859508336987345,-480984.875,,0.007216117696718232,,,1m34s
retrain,19,0.004979152553870032,-488920.75,,0.007216117696718232,,,1m39s
retrain,20,0.0030196489081097144,-503469.0,,0.007216117696718232,0.9821,87.80,1m44s
retrain,21,0.0018560637996221582,-522537.8125,,0.007216117696718232,,,1m50s
retrain,22,0.0025410653196275236,-541633.0625,,0.007216117696718232,,,1m55s
retrain,23,0.007603848896082491,-543173.5,,0.007216117696718232,,,2m00s
retrain,24,0.0038125273521989584,-558824.9375,,0.007216117696718232,,,2m06s
retrain,25,0.0026749496700552602,-578836.0625,,0.007216117696718232,,,2m11s
retrain,26,0.005483963042745988,-587232.6875,,0.007216117696718232,,,2m16s
retrain,27,0.004627383823444446,-601826.5625,,0.007216117696718232,,,2m21s
retrain,28,0.004169854371839514,-618341.8125,,0.007216117696718232,,,2m27s
retrain,29,0.006316622966279586,-627142.1875,,0.007216117696718232,,,2m32s
retrain,30,0.004911032485030591,-653108.8125,,0.007216117696718232,,,2m38s
retrain,31,0.004653334783390165,-703651.0625,,0.007216117696718232,,,2m43s
retrain,32,0.00830706432275474,-765003.3125,,0.007216117696718232,,,2m48s
retrain,33,0.007709768977450827,-853517.75,,0.007216117696718232,,,2m53s
retrain,34,0.005982243077084422,-901433.5625,,0.007216117696718232,,,2m58s
retrain,35,0.004917223278308908,-914818.1875,,0.007216117696718232,,,3m04s
retrain,36,0.0037830575193588934,-913175.0,,0.007216117696718232,,,3m09s
retrain,37,0.004454814702489724,-915688.1875,,0.007216117696718232,,,3m14s
retrain,38,0.0019309392517587792,-936479.5625,,0.007216117696718232,,,3m20s
retrain,39,0.002049546077195555,-928421.0,,0.007216117696718232,,,3m25s
retrain,40,0.005372854113951326,-881947.9375,,0.007216117696718232,0.9792,52.83,3m31s
