phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.002385430629566933,-226300.203125,,0.008480465487938637,,,5s
retrain,2,0.00258870539534837,-290507.40625,,0.008480465487938637,,,10s
retrain,3,0.0011325165084272158,-311755.125,,0.008480465487938637,,,16s
retrain,4,0.00026807030481480374,-329288.15625,,0.008480465487938637,,,21s
retrain,5,0.0015733792370456893,-344644.375,,0.008480465487938637,,,26s
retrain,6,0.005035851775113649,-350971.59375,,0.008480465487938637,,,31s
retrain,7,0.0029597845787880943,-358626.5,,0.008480465487938637,,,37s
retrain,8,0.0006095029221498407,-370775.21875,,0.008480465487938637,,,42s
retrain,9,0.0005640550320075515,-385659.125,,0.008480465487938637,,,47s
retrain,10,0.0004231607122269149,-405689.4375,,0.008480465487938637,,,53s
retrain,11,0.005749819169177984,-417448.15625,,0.008480465487938637,,,58s
retrain,12,0.006627451302452634,-422929.40625,,0.008480465487938637,,,1m04s
retrain,13,0.0016456422189405808,-436476.8125,,0.008480465487938637,,,1m09s
retrain,14,0.0010763356158897902,-454728.40625,,0.008480465487938637,,,1m14s
retrain,15,0.0014067945586207012,-477302.6875,,0.008480465487938637,,,1m19s
retrain,16,0.006496081956289709,-486889.3125,,0.008480465487938637,,,1m25s
retrain,17,0.005305261058453471,-500491.25,,0.008480465487938637,,,1m30s
retrain,18,0.0020605247687237958,-523942.46875,,0.008480465487938637,,,1m35s
retrain,19,0.004158415465988219,-543994.875,,0.008480465487938637,,,1m40s
retrain,20,0.004082400211133063,-568664.0,,0.008480465487938637,0.9792,75.05,1m46s
retrain,21,0.004993758456595242,-598078.375,,0.008480465487938637,,,1m51s
retrain,22,0.007063129578965406,-627054.6875,,0.008480465487938637,,,1m57s
retrain,23,0.005539687106882532,-677457.0625,,0.008480465487938637,,,2m02s
retrain,24,0.007228391146846116,-733744.1875,,0.008480465487938637,,,2m07s
retrain,25,0.006791416447050869,-809614.5625,,0.008480465487938637,,,2m13s
retrain,26,0.00868444854815801,-847011.75,,0.008480465487938637,,,2m18s
retrain,27,0.006137361829603712,-870957.0,,0.008480465487938637,,,2m23s
retrain,28,0.005721977281694611,-878127.8125,,0.008480465487938637,,,2m28s
retrain,29,0.005029736653901637,-881554.625,,0.008480465487938637,,,2m34s
retrain,30,0.004425398928423723,-889005.0625,,0.008480465487938637,,,2m39s
retrain,31,0.004245177352800966,-900897.625,,0.008480465487938637,,,2m44s
retrain,32,0.002135442032183831,-896838.3125,,0.008480465487938637,,,2m49s
retrain,33,0.002494248025973017,-888566.0,,0.008480465487938637,,,2m55s
retrain,34,0.009169423407378295,-871214.25,,0.008480465487938637,,,3m00s
retrain,35,0.0020075309562652063,-906413.1875,,0.008480465487938637,,,3m05s
retrain,36,0.0009009824564292406,-909190.6875,,0.008480465487938637,,,3m10s
retrain,37,0.0008126827308442444,-909981.8125,,0.008480465487938637,,,3m16s
retrain,38,0.00146122585668539,-887109.6875,,0.008480465487938637,,,3m21s
retrain,39,0.011280066988586138,-877514.5,,0.008480465487938637,,,3m26s
retrain,40,0.0010123636802192777,-909223.25,,0.008480465487938637,0.9824,55.71,3m32s
