phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.002536093534680549,-216832.46875,,0.0044376464843244035,,,5s
retrain,2,0.0006780098607297987,-281060.84375,,0.0044376464843244035,,,10s
retrain,3,0.0020368296647192132,-298740.53125,,0.0044376464843244035,,,16s
retrain,4,0.0018840172595373588,-306347.625,,0.0044376464843244035,,,21s
retrain,5,0.0010520714415858188,-313740.4375,,0.0044376464843244035,,,26s
retrain,6,0.002300601338738731,-319155.875,,0.0044376464843244035,,,31s
retrain,7,0.00302065383217996,-323008.71875,,0.0044376464843244035,,,36s
retrain,8,0.0012037076545704621,-328714.9375,,0.0044376464843244035,,,42s
retrain,9,0.0002130509283170492,-337381.84375,,0.0044376464843244035,,,47s
retrain,10,0.00014379147948639,-348449.03125,,0.0044376464843244035,,,52s
retrain,11,0.0001629911929941348,-362313.09375,,0.0044376464843244035,,,57s
retrain,12,0.0005648393834999297,-378077.46875,,0.0044376464843244035,,,1m03s
retrain,13,0.008991006736597047,-371824.03125,,0.0044376464843244035,,,1m08s
retrain,14,0.0017454578734546278,-377033.6875,,0.0044376464843244035,,,1m13s
retrain,15,0.0003990953880439823,-385018.46875,,0.0044376464843244035,,,1m18s
retrain,16,0.0002555233865995736,-395549.3125,,0.0044376464843244035,,,1m24s
retrain,17,0.00044405357626577216,-407575.1875,,0.0044376464843244035,,,1m29s
retrain,18,0.010008629224356264,-400925.0,,0.0044376464843244035,,,1m35s
retrain,19,0.001677145816622457,-406221.09375,,0.0044376464843244035,,,1m40s
retrain,20,0.0009459915234299842,-413639.1875,,0.0044376464843244035,0.9829,96.25,1m46s
retrain,21,0.0003904410796104154,-424130.53125,,0.0044376464843244035,,,1m51s
retrain,22,0.0003227422282798216,-438240.53125,,0.0044376464843244035,,,1m56s
retrain,23,0.00038861567885614933,-456806.4375,,0.0044376464843244035,,,2m01s
retrain,24,0.009720296915558478,-447054.8125,,0.0044376464843244035,,,2m07s
retrain,25,0.002502461616555229,-453783.6875,,0.0044376464843244035,,,2m12s
retrain,26,0.0010069168084145834,-464147.46875,,0.0044376464843244035,,,2m17s
retrain,27,0.000734415900373521,-478509.75,,0.0044376464843244035,,,2m23s
retrain,28,0.00359157470415812,-483143.40625,,0.0044376464843244035,,,2m28s
retrain,29,0.002522675369385009,-492556.59375,,0.0044376464843244035,,,2m33s
retrain,30,0.0014576129635543718,-507159.96875,,0.0044376464843244035,,,2m38s
retrain,31,0.0030063405812562755,-516461.40625,,0.0044376464843244035,,,2m43s
retrain,32,0.005906773612229153,-519930.625,,0.0044376464843244035,,,2m49s
retrain,33,0.0022521134415330987,-532557.6875,,0.0044376464843244035,,,2m54s
retrain,34,0.0011457714785356075,-551445.8125,,0.0044376464843244035,,,2m59s
retrain,35,0.0007938688569663403,-581084.9375,,0.0044376464843244035,,,3m04s
retrain,36,0.00448193874754943,-589067.75,,0.0044376464843244035,,,3m10s
retrain,37,0.005695129424783712,-598599.3125,,0.0044376464843244035,,,3m15s
retrain,38,0.0021573870073538274,-628129.125,,0.0044376464843244035,,,3m20s
retrain,39,0.0023289399510870376,-659709.6875,,0.0044376464843244035,,,3m26s
retrain,40,0.005729356384789571,-670323.625,,0.0044376464843244035,0.9817,61.93,3m31s
