phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0025499927876808217,-222318.453125,,0.0034646115110451804,,,5s
retrain,2,0.0011220240213956761,-281686.0,,0.0034646115110451804,,,10s
retrain,3,0.0017460829075998238,-296546.4375,,0.0034646115110451804,,,15s
retrain,4,0.0003943142655819732,-305467.375,,0.0034646115110451804,,,21s
retrain,5,0.0037325521417718847,-308244.46875,,0.0034646115110451804,,,26s
retrain,6,0.0014676254798832815,-312489.8125,,0.0034646115110451804,,,32s
retrain,7,0.0008098417776045002,-317459.4375,,0.0034646115110451804,,,37s
retrain,8,0.00019817818073982683,-324638.875,,0.0034646115110451804,,,42s
retrain,9,0.00011728257808305595,-333648.0,,0.0034646115110451804,,,48s
retrain,10,0.00012249070059187943,-344695.9375,,0.0034646115110451804,,,53s
retrain,11,0.00017624939226079732,-357897.78125,,0.0034646115110451804,,,58s
retrain,12,0.010729608782671858,-351494.125,,0.0034646115110451804,,,1m04s
retrain,13,0.0015502368209029858,-354507.03125,,0.0034646115110451804,,,1m09s
retrain,14,0.0003658647580402127,-359812.46875,,0.0034646115110451804,,,1m14s
retrain,15,0.0002029277248851334,-366564.34375,,0.0034646115110451804,,,1m19s
retrain,16,0.000180554960759279,-374887.6875,,0.0034646115110451804,,,1m25s
retrain,17,0.00018547752815065906,-385195.21875,,0.0034646115110451804,,,1m30s
retrain,18,0.0036064930297570147,-390691.0,,0.0034646115110451804,,,1m35s
retrain,19,0.008536734045545261,-385608.1875,,0.0034646115110451804,,,1m41s
retrain,20,0.0010627986219401162,-389774.96875,,0.0034646115110451804,0.9838,106.62,1m46s
retrain,21,0.00034267202812091757,-395835.53125,,0.0034646115110451804,,,1m52s
retrain,22,0.00023954134063872818,-403594.8125,,0.0034646115110451804,,,1m57s
retrain,23,0.00022611622387776152,-413431.34375,,0.0034646115110451804,,,2m02s
retrain,24,0.0002584567434387282,-425897.28125,,0.0034646115110451804,,,2m07s
retrain,25,0.005105126698646927,-428044.90625,,0.0034646115110451804,,,2m13s
retrain,26,0.005491220876807347,-426438.75,,0.0034646115110451804,,,2m18s
retrain,27,0.0015518455671068901,-431522.09375,,0.0034646115110451804,,,2m23s
retrain,28,0.0005901235819949458,-439461.28125,,0.0034646115110451804,,,2m29s
retrain,29,0.0002813945120704981,-450574.375,,0.0034646115110451804,,,2m34s
retrain,30,0.00028994818552552414,-464677.0,,0.0034646115110451804,,,2m40s
retrain,31,0.0004102909629000351,-482205.28125,,0.0034646115110451804,,,2m45s
retrain,32,0.01007814104903179,-468396.40625,,0.0034646115110451804,,,2m50s
retrain,33,0.0026676285767306884,-474098.90625,,0.0034646115110451804,,,2m56s
retrain,34,0.000766806488034005,-483986.34375,,0.0034646115110451804,,,3m01s
retrain,35,0.00040292845725392303,-497183.125,,0.0034646115110451804,,,3m06s
retrain,36,0.0003834431615813325,-514286.125,,0.0034646115110451804,,,3m12s
retrain,37,0.005571140025905333,-511317.8125,,0.0034646115110451804,,,3m17s
retrain,38,0.006060280419824024,-511453.375,,0.0034646115110451804,,,3m22s
retrain,39,0.0013728978186069677,-522240.875,,0.0034646115110451804,,,3m28s
retrain,40,0.0004917313573571543,-538623.9375,,0.0034646115110451804,0.9834,74.45,3m34s
