phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0022782561339826013,-226272.6875,,0.005436463500174125,,,5s
retrain,2,0.0018411542375319793,-286292.71875,,0.005436463500174125,,,10s
retrain,3,0.0013813541971399294,-304263.71875,,0.005436463500174125,,,16s
retrain,4,0.0018796031884228189,-312180.6875,,0.005436463500174125,,,21s
retrain,5,0.001859875549946446,-319696.40625,,0.005436463500174125,,,26s
retrain,6,0.0013603175092527333,-327545.53125,,0.005436463500174125,,,32s
retrain,7,0.0030838481119445835,-331810.34375,,0.005436463500174125,,,37s
retrain,8,0.0005913694631153097,-339827.0625,,0.005436463500174125,,,42s
retrain,9,0.0002043166616310676,-350554.5,,0.005436463500174125,,,48s
retrain,10,0.00019212685145127278,-364111.0625,,0.005436463500174125,,,53s
retrain,11,0.0064323033500423964,-367086.34375,,0.005436463500174125,,,58s
retrain,12,0.002856590878784967,-371425.40625,,0.005436463500174125,,,1m04s
retrain,13,0.0008581693549718087,-379199.53125,,0.005436463500174125,,,1m09s
retrain,14,0.00033408639238914476,-389843.78125,,0.005436463500174125,,,1m14s
retrain,15,0.00044101641077237826,-403497.0,,0.005436463500174125,,,1m20s
retrain,16,0.0068744679911605395,-401587.71875,,0.005436463500174125,,,1m25s
retrain,17,0.0017965912887593731,-408835.75,,0.005436463500174125,,,1m30s
retrain,18,0.0005266555679729209,-420348.28125,,0.005436463500174125,,,1m36s
retrain,19,0.0004235177048482001,-435744.3125,,0.005436463500174125,,,1m41s
retrain,20,0.0033542925668647514,-442421.4375,,0.005436463500174125,0.9808,89.89,1m47s
retrain,21,0.004579903716345628,-445696.96875,,0.005436463500174125,,,1m52s
retrain,22,0.0011556939058781912,-458325.78125,,0.005436463500174125,,,1m57s
retrain,23,0.0006128387075771268,-475992.8125,,0.005436463500174125,,,2m03s
retrain,24,0.0014735635270054141,-495958.71875,,0.005436463500174125,,,2m08s
retrain,25,0.0082812152549314,-492844.03125,,0.005436463500174125,,,2m13s
retrain,26,0.0028591222995892167,-504315.34375,,0.005436463500174125,,,2m18s
retrain,27,0.0012833798827370628,-522482.65625,,0.005436463500174125,,,2m23s
retrain,28,0.0008878007215758165,-547750.375,,0.005436463500174125,,,2m29s
retrain,29,0.002575940121322249,-570121.875,,0.005436463500174125,,,2m34s
retrain,30,0.008656726068196197,-573046.0,,0.005436463500174125,,,2m39s
retrain,31,0.0034127469356171787,-596705.8125,,0.005436463500174125,,,2m44s
retrain,32,0.0016973854802548886,-639785.5625,,0.005436463500174125,,,2m50s
retrain,33,0.0029120682453659054,-697774.5,,0.005436463500174125,,,2m55s
retrain,34,0.008087150113470852,-725948.8125,,0.005436463500174125,,,3m00s
retrain,35,0.004494571550547456,-813664.0,,0.005436463500174125,,,3m05s
retrain,36,0.004113716424256563,-852287.0625,,0.005436463500174125,,,3m10s
retrain,37,0.0038663523389957846,-891381.4375,,0.005436463500174125,,,3m16s
retrain,38,0.0018716438972391188,-910879.875,,0.005436463500174125,,,3m21s
retrain,39,0.0025794347174465655,-875874.3125,,0.005436463500174125,,,3m26s
retrain,40,0.004747875028258811,-902798.5,,0.005436463500174125,0.9827,53.95,3m32s
