phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0022081756018451416,-231578.328125,,0.003619824155310538,,,5s
retrain,2,0.0014726602259683811,-286156.8125,,0.003619824155310538,,,10s
retrain,3,0.0012103757118641322,-298301.53125,,0.003619824155310538,,,15s
retrain,4,0.0008615674341873577,-305360.34375,,0.003619824155310538,,,21s
retrain,5,0.0005038577674208986,-313734.09375,,0.003619824155310538,,,26s
retrain,6,0.002039439817656724,-320053.5,,0.003619824155310538,,,31s
retrain,7,0.005319686963393663,-319386.65625,,0.003619824155310538,,,36s
retrain,8,0.0008296235487660549,-323545.25,,0.003619824155310538,,,41s
retrain,9,0.00018037709257138582,-329546.0625,,0.003619824155310538,,,47s
retrain,10,0.00013748888922661233,-336984.28125,,0.003619824155310538,,,52s
retrain,11,0.00013404805948472737,-346150.375,,0.003619824155310538,,,57s
retrain,12,0.00014688561530783772,-357570.25,,0.003619824155310538,,,1m02s
retrain,13,0.005576836709491909,-361631.34375,,0.003619824155310538,,,1m08s
retrain,14,0.005864617204580766,-360540.40625,,0.003619824155310538,,,1m13s
retrain,15,0.0006774531926494092,-365134.78125,,0.003619824155310538,,,1m18s
retrain,16,0.0002490945960317428,-371478.15625,,0.003619824155310538,,,1m23s
retrain,17,0.00020114472034814146,-379338.25,,0.003619824155310538,,,1m29s
retrain,18,0.00020655396183913885,-389092.09375,,0.003619824155310538,,,1m34s
retrain,19,0.00021789751395311516,-401438.8125,,0.003619824155310538,,,1m39s
retrain,20,0.003769395027635619,-406466.84375,,0.003619824155310538,0.9777,106.37,1m45s
retrain,21,0.007671720636403188,-402874.875,,0.003619824155310538,,,1m50s
retrain,22,0.0015563746170839294,-407236.0625,,0.003619824155310538,,,1m55s
retrain,23,0.0012561777498961116,-411996.375,,0.003619824155310538,,,2m00s
retrain,24,0.00045060228840447964,-419923.9375,,0.003619824155310538,,,2m06s
retrain,25,0.0002695507395876727,-430483.875,,0.003619824155310538,,,2m11s
retrain,26,0.00024140263453203563,-444237.96875,,0.003619824155310538,,,2m16s
retrain,27,0.001249290452156371,-458249.1875,,0.003619824155310538,,,2m21s
retrain,28,0.009546864691345643,-446469.84375,,0.003619824155310538,,,2m27s
retrain,29,0.001563453777662168,-452565.78125,,0.003619824155310538,,,2m32s
retrain,30,0.00046219993880949916,-462335.46875,,0.003619824155310538,,,2m37s
retrain,31,0.00030920734039197365,-475158.03125,,0.003619824155310538,,,2m42s
retrain,32,0.00034447316018631683,-491574.46875,,0.003619824155310538,,,2m47s
retrain,33,0.005420735966949724,-489882.40625,,0.003619824155310538,,,2m53s
retrain,34,0.00696075295470655,-489332.28125,,0.003619824155310538,,,2m58s
retrain,35,0.0009474031484297788,-500156.03125,,0.003619824155310538,,,3m04s
retrain,36,0.0004527653938586203,-514946.65625,,0.003619824155310538,,,3m09s
retrain,37,0.00042801417489730134,-534001.25,,0.003619824155310538,,,3m14s
retrain,38,0.0010257156939827837,-554460.125,,0.003619824155310538,,,3m19s
retrain,39,0.012160161759067948,-537250.0625,,0.003619824155310538,,,3m24s
retrain,40,0.0019099788252846337,-550126.875,,0.003619824155310538,0.9820,69.76,3m30s
