phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.002089633735321695,-219574.515625,,0.0031156947886909645,,,5s
retrain,2,0.0015292541571776382,-277417.1875,,0.0031156947886909645,,,10s
retrain,3,0.00040394559712925306,-295216.6875,,0.0031156947886909645,,,16s
retrain,4,0.0025449699318696125,-302901.84375,,0.0031156947886909645,,,21s
retrain,5,0.001822374901753695,-307742.59375,,0.0031156947886909645,,,26s
retrain,6,0.000978601610272502,-312636.40625,,0.0031156947886909645,,,32s
retrain,7,0.00022315478430294508,-319726.65625,,0.0031156947886909645,,,37s
retrain,8,0.00011178909524460323,-328733.40625,,0.0031156947886909645,,,42s
retrain,9,0.00011518335834067935,-339504.4375,,0.0031156947886909645,,,48s
retrain,10,0.00791311772597061,-337197.9375,,0.0031156947886909645,,,53s
retrain,11,0.0019383199132746085,-338874.6875,,0.0031156947886909645,,,58s
retrain,12,0.000654920643622366,-342600.375,,0.0031156947886909645,,,1m03s
retrain,13,0.000280584560057226,-347746.28125,,0.0031156947886909645,,,1m09s
retrain,14,0.00015022201457662353,-354383.03125,,0.0031156947886909645,,,1m14s
retrain,15,0.00013888453425024637,-362524.03125,,0.0031156947886909645,,,1m19s
retrain,16,0.005850424194708466,-363107.25,,0.0031156947886909645,,,1m25s
retrain,17,0.003225113827036694,-363788.78125,,0.0031156947886909645,,,1m30s
retrain,18,0.0003957219904870726,-368815.90625,,0.0031156947886909645,,,1m35s
retrain,19,0.0001904861176890942,-375496.46875,,0.0031156947886909645,,,1m41s
retrain,20,0.00016791617842100095,-383826.28125,,0.0031156947886909645,0.9823,103.42,1m46s
retrain,21,0.0001752832416445017,-394264.84375,,0.0031156947886909645,,,1m51s
retrain,22,0.0012887972162027533,-402956.0,,0.0031156947886909645,,,1m57s
retrain,23,0.010496454434065768,-394025.3125,,0.0031156947886909645,,,2m02s
retrain,24,0.0010060371415767197,-398015.3125,,0.0031156947886909645,,,2m07s
retrain,25,0.0003900376723264344,-404092.875,,0.0031156947886909645,,,2m12s
retrain,26,0.00023664759027791055,-411861.0,,0.0031156947886909645,,,2m17s
retrain,27,0.00021173736672062659,-421639.21875,,0.0031156947886909645,,,2m23s
retrain,28,0.00024185853797437933,-433855.0625,,0.0031156947886909645,,,2m28s
retrain,29,0.0003118012940743938,-448780.21875,,0.0031156947886909645,,,2m33s
retrain,30,0.008506251850413779,-441981.25,,0.0031156947886909645,,,2m39s
retrain,31,0.004972309910257658,-442265.25,,0.0031156947886909645,,,2m44s
retrain,32,0.0016939773726432274,-446719.03125,,0.0031156947886909645,,,2m49s
retrain,33,0.00046932864133656646,-454429.125,,0.0031156947886909645,,,2m55s
retrain,34,0.00031140256584621966,-464581.875,,0.0031156947886909645,,,3m00s
retrain,35,0.00028537353716480234,-477079.1875,,0.0031156947886909645,,,3m05s
retrain,36,0.0015601711413745457,-486775.4375,,0.0031156947886909645,,,3m11s
retrain,37,0.01051279555723692,-472090.125,,0.0031156947886909645,,,3m16s
retrain,38,0.0018764164240953202,-477598.125,,0.0031156947886909645,,,3m21s
retrain,39,0.0006584582035662606,-486272.625,,0.0031156947886909645,,,3m27s
retrain,40,0.0003120025759912096,-497932.84375,,0.0031156947886909645,0.9829,80.13,3m32s
