phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.002056568756980899,-226402.265625,,0.00405014771338119,,,5s
retrain,2,0.0008171490754272479,-285688.84375,,0.00405014771338119,,,10s
retrain,3,0.0021372071377302442,-301719.0,,0.00405014771338119,,,16s
retrain,4,0.002504810534537925,-306202.96875,,0.00405014771338119,,,21s
retrain,5,0.0017213969588483452,-310862.34375,,0.00405014771338119,,,26s
retrain,6,0.00043655376301224654,-317523.84375,,0.00405014771338119,,,31s
retrain,7,0.00018775576530703498,-326100.25,,0.00405014771338119,,,37s
retrain,8,0.00014361368688502505,-336752.84375,,0.00405014771338119,,,42s
retrain,9,0.0001996659397361024,-349332.59375,,0.00405014771338119,,,47s
retrain,10,0.010930961166679238,-347297.46875,,0.00405014771338119,,,52s
retrain,11,0.002069665513804648,-350497.0,,0.00405014771338119,,,57s
retrain,12,0.00043123519929358736,-356470.65625,,0.00405014771338119,,,1m02s
retrain,13,0.0002315702735601614,-364244.84375,,0.00405014771338119,,,1m08s
retrain,14,0.00020697788141939478,-373907.25,,0.00405014771338119,,,1m13s
retrain,15,0.00024427903840260116,-385821.46875,,0.00405014771338119,,,1m18s
retrain,16,0.0005216700566311678,-400389.78125,,0.00405014771338119,,,1m23s
retrain,17,0.01058330256777505,-391180.0625,,0.00405014771338119,,,1m28s
retrain,18,0.0017277503815867627,-395559.0625,,0.00405014771338119,,,1m34s
retrain,19,0.0006447641872490445,-402135.6875,,0.00405014771338119,,,1m39s
retrain,20,0.0003244077872601338,-411551.875,,0.00405014771338119,0.9824,105.99,1m44s
retrain,21,0.00027072545177846526,-423839.21875,,0.00405014771338119,,,1m49s
retrain,22,0.00034595987823558973,-439345.78125,,0.00405014771338119,,,1m55s
retrain,23,0.006745438679982908,-440794.3125,,0.00405014771338119,,,2m00s
retrain,24,0.006047155575985865,-440640.625,,0.00405014771338119,,,2m05s
retrain,25,0.0021149448096286507,-446494.71875,,0.00405014771338119,,,2m10s
retrain,26,0.0006044182550084467,-456960.84375,,0.00405014771338119,,,2m16s
retrain,27,0.0003845573143878331,-470945.09375,,0.00405014771338119,,,2m21s
retrain,28,0.00045596021589202186,-488992.96875,,0.00405014771338119,,,2m26s
retrain,29,0.006087466747608657,-488983.25,,0.00405014771338119,,,2m31s
retrain,30,0.005947408934201424,-489618.21875,,0.00405014771338119,,,2m37s
retrain,31,0.0011547622602277746,-502059.0,,0.00405014771338119,,,2m42s
retrain,32,0.0006426099309542526,-519124.40625,,0.00405014771338119,,,2m47s
retrain,33,0.0005175998593098484,-543355.25,,0.00405014771338119,,,2m52s
retrain,34,0.0009721568271207312,-574069.875,,0.00405014771338119,,,2m57s
retrain,35,0.01016106295902282,-557696.25,,0.00405014771338119,,,3m03s
retrain,36,0.002916225504836378,-575428.25,,0.00405014771338119,,,3m08s
retrain,37,0.0013985552449245005,-604712.25,,0.00405014771338119,,,3m13s
retrain,38,0.002932548812730238,-630105.125,,0.00405014771338119,,,3m18s
retrain,39,0.0031449326632078736,-668545.375,,0.00405014771338119,,,3m23s
retrain,40,0.006290893526328728,-688606.6875,,0.00405014771338119,0.9818,54.22,3m29s
