phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0020324604552045154,-228659.359375,,0.004252321877997224,,,5s
retrain,2,0.0009650508831487969,-287084.1875,,0.004252321877997224,,,10s
retrain,3,0.0010931741180810301,-302656.03125,,0.004252321877997224,,,16s
retrain,4,0.004265177570112671,-306054.75,,0.004252321877997224,,,21s
retrain,5,0.0013363267704437022,-310907.125,,0.004252321877997224,,,26s
retrain,6,0.00031932513195982514,-318094.5625,,0.004252321877997224,,,32s
retrain,7,0.0001539375796574556,-327174.15625,,0.004252321877997224,,,37s
retrain,8,0.0001442068095037636,-338327.875,,0.004252321877997224,,,42s
retrain,9,0.00016302055419946556,-352272.75,,0.004252321877997224,,,48s
retrain,10,0.006578759270984059,-355636.84375,,0.004252321877997224,,,53s
retrain,11,0.004188570926710963,-357129.03125,,0.004252321877997224,,,58s
retrain,12,0.0009218658119207248,-362355.53125,,0.004252321877997224,,,1m03s
retrain,13,0.0015837588291421221,-366939.6875,,0.004252321877997224,,,1m09s
retrain,14,0.0004825365757783099,-374346.625,,0.004252321877997224,,,1m14s
retrain,15,0.0002286358342137343,-384535.40625,,0.004252321877997224,,,1m19s
retrain,16,0.00021928807892060529,-397557.625,,0.004252321877997224,,,1m25s
retrain,17,0.008055914921697695,-397285.0625,,0.004252321877997224,,,1m30s
retrain,18,0.003785339353373274,-399574.65625,,0.004252321877997224,,,1m35s
retrain,19,0.0007525871508871205,-406383.9375,,0.004252321877997224,,,1m41s
retrain,20,0.00036956424057716503,-415666.96875,,0.004252321877997224,0.9829,103.30,1m46s
retrain,21,0.0002975109278418434,-427855.9375,,0.004252321877997224,,,1m52s
retrain,22,0.000347772060171701,-443327.125,,0.004252321877997224,,,1m57s
retrain,23,0.005781038750413184,-444509.59375,,0.004252321877997224,,,2m02s
retrain,24,0.005511573110381141,-445276.59375,,0.004252321877997224,,,2m07s
retrain,25,0.001397539968548032,-452989.8125,,0.004252321877997224,,,2m13s
retrain,26,0.0004871937581493209,-465222.9375,,0.004252321877997224,,,2m18s
retrain,27,0.0003854603668752437,-481394.8125,,0.004252321877997224,,,2m23s
retrain,28,0.0006152492197812535,-500826.15625,,0.004252321877997224,,,2m28s
retrain,29,0.00971671536724704,-492763.0625,,0.004252321877997224,,,2m33s
retrain,30,0.0029995693206166228,-500759.875,,0.004252321877997224,,,2m39s
retrain,31,0.0013741813734328995,-513889.375,,0.004252321877997224,,,2m44s
retrain,32,0.0005849296937463805,-533589.0,,0.004252321877997224,,,2m49s
retrain,33,0.000607199471257627,-559969.125,,0.004252321877997224,,,2m54s
retrain,34,0.007631255807370568,-559764.0,,0.004252321877997224,,,3m00s
retrain,35,0.004064544334479918,-572046.5,,0.004252321877997224,,,3m05s
retrain,36,0.002065912442545717,-594277.75,,0.004252321877997224,,,3m10s
retrain,37,0.0014836822636580716,-623876.6875,,0.004252321877997224,,,3m15s
retrain,38,0.0038225972757209093,-638228.5,,0.004252321877997224,,,3m20s
retrain,39,0.0051931018031823135,-650227.75,,0.004252321877997224,,,3m25s
retrain,40,0.0043652428982934605,-671574.6875,,0.004252321877997224,0.9827,59.33,3m31s
