phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0029498127766535618,-213234.671875,,0.008566224946993906,,,5s
retrain,2,0.0009738033425431543,-283937.0625,,0.008566224946993906,,,10s
retrain,3,0.0016531478335654053,-311080.59375,,0.008566224946993906,,,15s
retrain,4,0.00422144875258673,-323351.0625,,0.008566224946993906,,,21s
retrain,5,0.0018096676798479165,-333009.0,,0.008566224946993906,,,26s
retrain,6,0.00034011486317807186,-346394.125,,0.008566224946993906,,,31s
retrain,7,0.00029913241138759377,-363368.75,,0.008566224946993906,,,36s
retrain,8,0.005095992909104097,-374457.78125,,0.008566224946993906,,,42s
retrain,9,0.005214546339400113,-380948.59375,,0.008566224946993906,,,47s
retrain,10,0.0018204453979929287,-392051.5625,,0.008566224946993906,,,52s
retrain,11,0.0007246040673460812,-407759.125,,0.008566224946993906,,,57s
retrain,12,0.000681545175674061,-428319.5625,,0.008566224946993906,,,1m03s
retrain,13,0.006728912273421883,-434286.65625,,0.008566224946993906,,,1m08s
retrain,14,0.003651610597517962,-445452.0625,,0.008566224946993906,,,1m13s
retrain,15,0.0015613645018427633,-463750.0,,0.008566224946993906,,,1m18s
retrain,16,0.0026374391839529077,-481391.25,,0.008566224946993906,,,1m24s
retrain,17,0.004131721830321476,-496496.875,,0.008566224946993906,,,1m29s
retrain,18,0.003930340334322924,-514476.4375,,0.008566224946993906,,,1m34s
retrain,19,0.004678753743848453,-532046.5,,0.008566224946993906,,,1m39s
retrain,20,0.004260406580381095,-551480.9375,,0.008566224946993906,0.9819,78.55,1m44s
retrain,21,0.004985696166101843,-571881.25,,0.008566224946993906,,,1m50s
retrain,22,0.004297937118634581,-600623.625,,0.008566224946993906,,,1m55s
retrain,23,0.004841743942412238,-636391.75,,0.008566224946993906,,,2m00s
retrain,24,0.00666549725557367,-671994.0625,,0.008566224946993906,,,2m05s
retrain,25,0.006155509556271136,-722786.875,,0.008566224946993906,,,2m11s
retrain,26,0.008321803608474633,-766751.25,,0.008566224946993906,,,2m16s
retrain,27,0.008222387864006062,-813890.5625,,0.008566224946993906,,,2m21s
retrain,28,0.006530477264523506,-841700.8125,,0.008566224946993906,,,2m26s
retrain,29,0.008736696333438158,-839263.625,,0.008566224946993906,,,2m31s
retrain,30,0.006360040064776937,-864636.4375,,0.008566224946993906,,,2m37s
retrain,31,0.005419224616962795,-857307.875,,0.008566224946993906,,,2m42s
retrain,32,0.004975230960610012,-877297.125,,0.008566224946993906,,,2m47s
retrain,33,0.005725896705935399,-854957.875,,0.008566224946993906,,,2m52s
retrain,34,0.00626643483992666,-861532.625,,0.008566224946993906,,,2m58s
retrain,35,0.002761195141201218,-882676.3125,,0.008566224946993906,,,3m03s
retrain,36,0.0033827569694879155,-871762.0625,,0.008566224946993906,,,3m09s
retrain,37,0.002161254543252289,-884163.1875,,0.008566224946993906,,,3m14s
retrain,38,0.0075540498079111175,-849590.625,,0.008566224946993906,,,3m19s
retrain,39,0.003690103285484171,-885601.125,,0.008566224946993906,,,3m24s
retrain,40,0.0012545389791096871,-888968.3125,,0.008566224946993906,0.9815,59.77,3m30s
