phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.002279427897751642,-230450.25,,0.004958800043160365,,,5s
retrain,2,0.0023692225647042506,-288917.875,,0.004958800043160365,,,10s
retrain,3,0.000647107731407353,-305061.21875,,0.004958800043160365,,,15s
retrain,4,0.00022441950151696802,-317576.5625,,0.004958800043160365,,,20s
retrain,5,0.002000213209746289,-327202.375,,0.004958800043160365,,,26s
retrain,6,0.005027125763245082,-328931.4375,,0.004958800043160365,,,31s
retrain,7,0.0006491385159587178,-335263.59375,,0.004958800043160365,,,36s
retrain,8,0.00027319456880892784,-343692.0625,,0.004958800043160365,,,42s
retrain,9,0.00019289293756786114,-354467.75,,0.004958800043160365,,,47s
retrain,10,0.0002074294476013165,-367936.125,,0.004958800043160365,,,52s
retrain,11,0.008812145018788093,-365623.59375,,0.004958800043160365,,,57s
retrain,12,0.0022739836839105313,-369927.40625,,0.004958800043160365,,,1m02s
retrain,13,0.0006295636885256196,-377131.40625,,0.004958800043160365,,,1m07s
retrain,14,0.00029789515823843733,-386622.9375,,0.004958800043160365,,,1m13s
retrain,15,0.0003082215318068241,-398367.71875,,0.004958800043160365,,,1m18s
retrain,16,0.0012838757900055498,-409264.71875,,0.004958800043160365,,,1m23s
retrain,17,0.007352832618999916,-405965.0625,,0.004958800043160365,,,1m29s
retrain,18,0.0021493957605795005,-411328.34375,,0.004958800043160365,,,1m34s
retrain,19,0.0008111579423653893,-420211.90625,,0.004958800043160365,,,1m39s
retrain,20,0.0003814866005675867,-432701.15625,,0.004958800043160365,0.9830,94.58,1m45s
retrain,21,0.0004995611696193616,-448125.21875,,0.004958800043160365,,,1m50s
retrain,22,0.008726823720910276,-441072.25,,0.004958800043160365,,,1m55s
retrain,23,0.0029804844928672538,-446178.09375,,0.004958800043160365,,,2m01s
retrain,24,0.0007792423222757255,-456557.6875,,0.004958800043160365,,,2m06s
retrain,25,0.0004761640719914188,-470660.8125,,0.004958800043160365,,,2m11s
retrain,26,0.0004899481887618701,-488428.09375,,0.004958800043160365,,,2m16s
retrain,27,0.007374285359315885,-485076.0625,,0.004958800043160365,,,2m22s
retrain,28,0.003512346814510723,-491828.8125,,0.004958800043160365,,,2m27s
retrain,29,0.001101603201419736,-505625.0625,,0.004958800043160365,,,2m32s
retrain,30,0.0007748287687466169,-523471.875,,0.004958800043160365,,,2m37s
retrain,31,0.0015928815546755988,-539370.4375,,0.004958800043160365,,,2m43s
retrain,32,0.009363473345711828,-531915.25,,0.004958800043160365,,,2m48s
retrain,33,0.0024975675613774606,-545115.75,,0.004958800043160365,,,2m53s
retrain,34,0.0012247565592483928,-565368.125,,0.004958800043160365,,,2m58s
retrain,35,0.003520668899423132,-575726.6875,,0.004958800043160365,,,3m04s
retrain,36,0.0029700773207160334,-590768.6875,,0.004958800043160365,,,3m09s
retrain,37,0.0032300578989243756,-604875.5,,0.004958800043160365,,,3m14s
retrain,38,0.004432207773874203,-617420.6875,,0.004958800043160365,,,3m20s
retrain,39,0.0025035110916321475,-642656.1875,,0.004958800043160365,,,3m25s
retrain,40,0.0046023524107721946,-651880.375,,0.004958800043160365,0.9783,69.76,3m31s
