phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0026355204299441538,-228166.125,,0.004427078249463775,,,5s
retrain,2,0.0006589167425894024,-288065.0,,0.004427078249463775,,,10s
retrain,3,0.00141697881030074,-304360.46875,,0.004427078249463775,,,15s
retrain,4,0.00202301116984648,-312260.71875,,0.004427078249463775,,,21s
retrain,5,0.0033894688379912017,-316370.03125,,0.004427078249463775,,,26s
retrain,6,0.0004506829442407858,-323262.5625,,0.004427078249463775,,,31s
retrain,7,0.0002756747400989601,-331842.0625,,0.004427078249463775,,,37s
retrain,8,0.0001826362039738645,-342605.4375,,0.004427078249463775,,,42s
retrain,9,0.00017403398636185253,-356074.375,,0.004427078249463775,,,47s
retrain,10,0.006505792623548769,-357785.9375,,0.004427078249463775,,,53s
retrain,11,0.004634603587188758,-359235.25,,0.004427078249463775,,,58s
retrain,12,0.0007734074390202295,-364479.875,,0.004427078249463775,,,1m04s
retrain,13,0.000315843819262227,-371901.96875,,0.004427078249463775,,,1m09s
retrain,14,0.0002422012584322753,-381114.8125,,0.004427078249463775,,,1m14s
retrain,15,0.0002314196391904261,-392783.09375,,0.004427078249463775,,,1m20s
retrain,16,0.005562819493979138,-395948.4375,,0.004427078249463775,,,1m25s
retrain,17,0.00562664072602832,-395677.0,,0.004427078249463775,,,1m30s
retrain,18,0.0010579445081180894,-401943.5625,,0.004427078249463775,,,1m35s
retrain,19,0.0003694751830267099,-410878.53125,,0.004427078249463775,,,1m41s
retrain,20,0.0002980876850197092,-422263.78125,,0.004427078249463775,0.9828,98.53,1m46s
retrain,21,0.0014080880155301807,-432140.59375,,0.004427078249463775,,,1m52s
retrain,22,0.007638930837841083,-427720.8125,,0.004427078249463775,,,1m57s
retrain,23,0.0025671042438130827,-432604.90625,,0.004427078249463775,,,2m02s
retrain,24,0.0008309664491020764,-441229.0625,,0.004427078249463775,,,2m07s
retrain,25,0.00039602500337641687,-453533.3125,,0.004427078249463775,,,2m13s
retrain,26,0.00036632342550437896,-469427.46875,,0.004427078249463775,,,2m18s
retrain,27,0.0005927308520554409,-489600.71875,,0.004427078249463775,,,2m23s
retrain,28,0.009593561910806845,-478428.9375,,0.004427078249463775,,,2m29s
retrain,29,0.0024338130016655973,-486819.71875,,0.004427078249463775,,,2m34s
retrain,30,0.0009634171321134394,-499998.0625,,0.004427078249463775,,,2m39s
retrain,31,0.0011275294853878828,-515221.78125,,0.004427078249463775,,,2m45s
retrain,32,0.0006477821027083944,-537169.5625,,0.004427078249463775,,,2m50s
retrain,33,0.010317451533713998,-526887.75,,0.004427078249463775,,,2m55s
retrain,34,0.00303689998605599,-538865.0,,0.004427078249463775,,,3m01s
retrain,35,0.001050935578548039,-556736.1875,,0.004427078249463775,,,3m06s
retrain,36,0.0008007880251699438,-580262.3125,,0.004427078249463775,,,3m12s
retrain,37,0.0017804913756127158,-600377.0625,,0.004427078249463775,,,3m17s
retrain,38,0.009120053310661267,-590743.75,,0.004427078249463775,,,3m22s
retrain,39,0.0025173190242455653,-611106.8125,,0.004427078249463775,,,3m28s
retrain,40,0.0011269760546740145,-641022.6875,,0.004427078249463775,0.9818,64.75,3m33s
