phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0032053776702765996,-233453.984375,,0.009557944154867212,,,5s
retrain,2,0.0017124210138378354,-297378.0625,,0.009557944154867212,,,10s
retrain,3,0.0014959226062395221,-318367.28125,,0.009557944154867212,,,15s
retrain,4,0.000906478490998658,-333692.5,,0.009557944154867212,,,20s
retrain,5,0.0016859897881862707,-349229.875,,0.009557944154867212,,,26s
retrain,6,0.004968611583408589,-358567.03125,,0.009557944154867212,,,31s
retrain,7,0.0028463004637587193,-368094.09375,,0.009557944154867212,,,36s
retrain,8,0.0005931862892117352,-383155.46875,,0.009557944154867212,,,41s
retrain,9,0.0005026820868253707,-403161.75,,0.009557944154867212,,,47s
retrain,10,0.00403290856089443,-420789.875,,0.009557944154867212,,,52s
retrain,11,0.006843604421336203,-428074.71875,,0.009557944154867212,,,57s
retrain,12,0.0019123503336217255,-443372.96875,,0.009557944154867212,,,1m02s
retrain,13,0.0012234518205281348,-464566.3125,,0.009557944154867212,,,1m08s
retrain,14,0.005752466729655862,-475793.0,,0.009557944154867212,,,1m13s
retrain,15,0.0036218457382172346,-494146.625,,0.009557944154867212,,,1m18s
retrain,16,0.0037127255977131425,-516749.71875,,0.009557944154867212,,,1m24s
retrain,17,0.0035103801362216473,-546559.625,,0.009557944154867212,,,1m29s
retrain,18,0.0054591192576413355,-576536.875,,0.009557944154867212,,,1m34s
retrain,19,0.006060375181771814,-615658.125,,0.009557944154867212,,,1m40s
retrain,20,0.006214114530384541,-668021.4375,,0.009557944154867212,0.9808,63.45,1m45s
retrain,21,0.007415790713516375,-743687.1875,,0.009557944154867212,,,1m51s
retrain,22,0.00940438280167679,-823135.5,,0.009557944154867212,,,1m56s
retrain,23,0.008064515863296887,-867850.4375,,0.009557944154867212,,,2m02s
retrain,24,0.006601361669786274,-886044.75,,0.009557944154867212,,,2m07s
retrain,25,0.005910374575822303,-881347.375,,0.009557944154867212,,,2m12s
retrain,26,0.003925128632442405,-898953.9375,,0.009557944154867212,,,2m17s
retrain,27,0.003146203515368203,-901547.5625,,0.009557944154867212,,,2m22s
retrain,28,0.00451224513828444,-891667.25,,0.009557944154867212,,,2m28s
retrain,29,0.0033286968116027615,-897007.625,,0.009557944154867212,,,2m33s
retrain,30,0.0031002549779446174,-878881.9375,,0.009557944154867212,,,2m39s
retrain,31,0.006585709376322727,-897504.125,,0.009557944154867212,,,2m44s
retrain,32,0.0016740940854030972,-909833.6875,,0.009557944154867212,,,2m50s
retrain,33,0.0008118814720616986,-910639.5,,0.009557944154867212,,,2m55s
retrain,34,0.0007814535208744928,-911608.9375,,0.009557944154867212,,,3m00s
retrain,35,0.001143007018865319,-897744.0625,,0.009557944154867212,,,3m06s
retrain,36,0.011909483812594166,-873528.25,,0.009557944154867212,,,3m11s
retrain,37,0.0009916431604496513,-910599.8125,,0.009557944154867212,,,3m16s
retrain,38,0.0005172974807908759,-911904.875,,0.009557944154867212,,,3m22s
retrain,39,0.0004789654486114159,-912384.4375,,0.009557944154867212,,,3m27s
retrain,40,0.00046416683932766316,-912784.5,,0.009557944154867212,0.9827,56.31,3m33s
