phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0028327716567281944,-223301.859375,,0.0031362354209219586,,,5s
retrain,2,0.0008111264075492121,-281119.03125,,0.0031362354209219586,,,10s
retrain,3,0.00024622861529157184,-299440.8125,,0.0031362354209219586,,,15s
retrain,4,0.003933966265698352,-304224.09375,,0.0031362354209219586,,,21s
retrain,5,0.00286415881565578,-306863.0625,,0.0031362354209219586,,,26s
retrain,6,0.00043080013764847536,-311661.25,,0.0031362354209219586,,,31s
retrain,7,0.00015029643588447168,-318076.21875,,0.0031362354209219586,,,36s
retrain,8,0.00012243929127726005,-325916.96875,,0.0031362354209219586,,,42s
retrain,9,0.0001281059744738741,-335375.0,,0.0031362354209219586,,,47s
retrain,10,0.0001418753960771331,-346781.90625,,0.0031362354209219586,,,52s
retrain,11,0.0028623732979603423,-354230.96875,,0.0031362354209219586,,,57s
retrain,12,0.006515636971344551,-350767.1875,,0.0031362354209219586,,,1m03s
retrain,13,0.0009029487028213529,-354178.25,,0.0031362354209219586,,,1m08s
retrain,14,0.00038732440806246206,-359338.0,,0.0031362354209219586,,,1m14s
retrain,15,0.00021233011217652043,-365892.71875,,0.0031362354209219586,,,1m19s
retrain,16,0.00015373760601117587,-374178.5625,,0.0031362354209219586,,,1m24s
retrain,17,0.00020380983691623746,-384176.125,,0.0031362354209219586,,,1m30s
retrain,18,0.006865111035281249,-384177.03125,,0.0031362354209219586,,,1m35s
retrain,19,0.006128032487848153,-382755.1875,,0.0031362354209219586,,,1m40s
retrain,20,0.0009653927097989556,-386329.46875,,0.0031362354209219586,0.9833,105.52,1m46s
retrain,21,0.0004197575776682546,-391618.625,,0.0031362354209219586,,,1m51s
retrain,22,0.0002425383459815445,-398619.6875,,0.0031362354209219586,,,1m56s
retrain,23,0.00021646577951032667,-407502.5625,,0.0031362354209219586,,,2m01s
retrain,24,0.00023205196832035046,-418635.71875,,0.0031362354209219586,,,2m07s
retrain,25,0.006357605017822546,-417681.3125,,0.0031362354209219586,,,2m12s
retrain,26,0.0061154719537279256,-415000.75,,0.0031362354209219586,,,2m17s
retrain,27,0.0012759764674973363,-419508.375,,0.0031362354209219586,,,2m23s
retrain,28,0.00030384439923412476,-426742.75,,0.0031362354209219586,,,2m28s
retrain,29,0.00024121137220451297,-435843.59375,,0.0031362354209219586,,,2m33s
retrain,30,0.00023888830663636328,-447359.28125,,0.0031362354209219586,,,2m38s
retrain,31,0.0002893567769419557,-462018.46875,,0.0031362354209219586,,,2m44s
retrain,32,0.009703932431836922,-449442.34375,,0.0031362354209219586,,,2m49s
retrain,33,0.0028374308193451726,-452779.65625,,0.0031362354209219586,,,2m55s
retrain,34,0.0013965250576419446,-458201.65625,,0.0031362354209219586,,,3m00s
retrain,35,0.000689455747200797,-466679.59375,,0.0031362354209219586,,,3m05s
retrain,36,0.00038052169549434136,-478520.03125,,0.0031362354209219586,,,3m10s
retrain,37,0.0002816366355963207,-494410.8125,,0.0031362354209219586,,,3m16s
retrain,38,0.0003602325761069854,-514789.09375,,0.0031362354209219586,,,3m21s
retrain,39,0.009314957353162269,-503021.03125,,0.0031362354209219586,,,3m27s
retrain,40,0.00422979365218586,-507597.71875,,0.0031362354209219586,0.9820,77.42,3m32s
