phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0024413452540446696,-217522.453125,,0.0030752784807119146,,,5s
retrain,2,0.0011858710443057741,-277821.03125,,0.0030752784807119146,,,10s
retrain,3,0.0012676105724919277,-294722.3125,,0.0030752784807119146,,,16s
retrain,4,0.0024881404314481188,-300121.125,,0.0030752784807119146,,,21s
retrain,5,0.0018834142118420761,-303314.875,,0.0030752784807119146,,,26s
retrain,6,0.0003251459879218601,-308656.375,,0.0030752784807119146,,,32s
retrain,7,0.0001128330948529765,-315814.5,,0.0030752784807119146,,,37s
retrain,8,0.00010033577129846284,-324510.3125,,0.0030752784807119146,,,42s
retrain,9,0.00011088273914841314,-335064.78125,,0.0030752784807119146,,,48s
retrain,10,0.00013419093420476808,-348059.34375,,0.0030752784807119146,,,53s
retrain,11,0.008361548874042153,-346897.03125,,0.0030752784807119146,,,59s
retrain,12,0.0029687116385631574,-348104.90625,,0.0030752784807119146,,,1m04s
retrain,13,0.0007074205339614613,-351807.28125,,0.0030752784807119146,,,1m10s
retrain,14,0.00023532170848338863,-357392.53125,,0.0030752784807119146,,,1m15s
retrain,15,0.00016476621984426554,-364302.9375,,0.0030752784807119146,,,1m20s
retrain,16,0.00015463657551445067,-372931.96875,,0.0030752784807119146,,,1m26s
retrain,17,0.00019964754349008823,-383401.0,,0.0030752784807119146,,,1m31s
retrain,18,0.009510974858538248,-374517.6875,,0.0030752784807119146,,,1m36s
retrain,19,0.0015888543425826357,-377355.1875,,0.0030752784807119146,,,1m42s
retrain,20,0.0021061523695573366,-379771.25,,0.0030752784807119146,0.9840,108.66,1m48s
retrain,21,0.00025622953686785574,-385653.1875,,0.0030752784807119146,,,1m53s
retrain,22,0.00018562518660425364,-393169.15625,,0.0030752784807119146,,,1m58s
retrain,23,0.00017957537648229238,-402646.75,,0.0030752784807119146,,,2m04s
retrain,24,0.00021411785885575227,-414511.1875,,0.0030752784807119146,,,2m09s
retrain,25,0.008777614659373649,-406376.28125,,0.0030752784807119146,,,2m14s
retrain,26,0.00277186328835863,-408327.53125,,0.0030752784807119146,,,2m20s
retrain,27,0.0006122592329590892,-413943.875,,0.0030752784807119146,,,2m25s
retrain,28,0.0002665671506159318,-421804.25,,0.0030752784807119146,,,2m30s
retrain,29,0.00022496017602970824,-431750.125,,0.0030752784807119146,,,2m36s
retrain,30,0.00024216052065991487,-444484.625,,0.0030752784807119146,,,2m41s
retrain,31,0.003977046656538732,-450421.375,,0.0030752784807119146,,,2m46s
retrain,32,0.008170095071320733,-443359.21875,,0.0030752784807119146,,,2m51s
retrain,33,0.0010800786489077534,-449750.40625,,0.0030752784807119146,,,2m56s
retrain,34,0.0006345689151203259,-457699.46875,,0.0030752784807119146,,,3m02s
retrain,35,0.0002847708083980251,-468950.125,,0.0030752784807119146,,,3m07s
retrain,36,0.0002872917640799036,-483322.09375,,0.0030752784807119146,,,3m12s
retrain,37,0.00035355729030367607,-501779.5625,,0.0030752784807119146,,,3m17s
retrain,38,0.010110081647258873,-488704.875,,0.0030752784807119146,,,3m22s
retrain,39,0.004080886016537746,-492303.71875,,0.0030752784807119146,,,3m28s
retrain,40,0.0014963086638677245,-500410.5,,0.0030752784807119146,0.9827,76.33,3m33s
