phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0030767490250679353,-231682.890625,,0.008954352388471814,,,5s
retrain,2,0.0010779541003129755,-295968.125,,0.008954352388471814,,,10s
retrain,3,0.0023185344721462268,-317434.0,,0.008954352388471814,,,15s
retrain,4,0.0024763960441186402,-328248.96875,,0.008954352388471814,,,20s
retrain,5,0.0006869079986625972,-341133.5,,0.008954352388471814,,,26s
retrain,6,0.000517229181182726,-356629.28125,,0.008954352388471814,,,31s
retrain,7,0.0005436702673439868,-376804.5,,0.008954352388471814,,,36s
retrain,8,0.007868714636812607,-380142.90625,,0.008954352388471814,,,42s
retrain,9,0.0018148483662982471,-391242.09375,,0.008954352388471814,,,47s
retrain,10,0.0012957773744439085,-404924.53125,,0.008954352388471814,,,52s
retrain,11,0.0010904100560427954,-422015.40625,,0.008954352388471814,,,58s
retrain,12,0.0062406469853284454,-429005.875,,0.008954352388471814,,,1m03s
retrain,13,0.0033215618030633777,-440576.0625,,0.008954352388471814,,,1m08s
retrain,14,0.0010333695569230866,-459649.90625,,0.008954352388471814,,,1m14s
retrain,15,0.0019980621471535416,-481210.71875,,0.008954352388471814,,,1m19s
retrain,16,0.00784810521422575,-487519.59375,,0.008954352388471814,,,1m24s
retrain,17,0.003381569301088651,-504968.59375,,0.008954352388471814,,,1m30s
retrain,18,0.002461964194073031,-528217.8125,,0.008954352388471814,,,1m35s
retrain,19,0.0058397709810175,-544485.8125,,0.008954352388471814,,,1m40s
retrain,20,0.003418082763440907,-571622.9375,,0.008954352388471814,0.9825,73.25,1m46s
retrain,21,0.006097967686286817,-593704.375,,0.008954352388471814,,,1m51s
retrain,22,0.006643577640969307,-620310.9375,,0.008954352388471814,,,1m57s
retrain,23,0.004698178600395719,-657971.0625,,0.008954352388471814,,,2m02s
retrain,24,0.006667057623341679,-691173.6875,,0.008954352388471814,,,2m08s
retrain,25,0.00680855095119526,-725083.375,,0.008954352388471814,,,2m13s
retrain,26,0.007282330877520144,-754491.0625,,0.008954352388471814,,,2m18s
retrain,27,0.006190454410140713,-781898.625,,0.008954352388471814,,,2m23s
retrain,28,0.007488729432101051,-790962.25,,0.008954352388471814,,,2m29s
retrain,29,0.007237560127085696,-801013.25,,0.008954352388471814,,,2m34s
retrain,30,0.005914560961599151,-805546.1875,,0.008954352388471814,,,2m39s
retrain,31,0.005787089511069159,-814603.9375,,0.008954352388471814,,,2m45s
retrain,32,0.005861710946758588,-812220.3125,,0.008954352388471814,,,2m50s
retrain,33,0.006294953302914898,-813466.9375,,0.008954352388471814,,,2m55s
retrain,34,0.003985737383986513,-828473.125,,0.008954352388471814,,,3m00s
retrain,35,0.004562984237944086,-822503.3125,,0.008954352388471814,,,3m06s
retrain,36,0.005270433305203915,-820528.6875,,0.008954352388471814,,,3m11s
retrain,37,0.006097584202559665,-820498.25,,0.008954352388471814,,,3m16s
retrain,38,0.0029672585158608852,-829141.875,,0.008954352388471814,,,3m21s
retrain,39,0.0026869638110200563,-835701.25,,0.008954352388471814,,,3m26s
retrain,40,0.005067205692913072,-828632.875,,0.008954352388471814,0.9796,64.50,3m32s
