phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0021379430735692343,-226721.234375,,0.004015011664848485,,,5s
retrain,2,0.000826749760696354,-288248.6875,,0.004015011664848485,,,10s
retrain,3,0.003696874121244764,-301478.03125,,0.004015011664848485,,,15s
retrain,4,0.0008667308612086345,-308085.96875,,0.004015011664848485,,,21s
retrain,5,0.00019691465176874772,-316085.5625,,0.004015011664848485,,,26s
retrain,6,0.0001374454766996981,-325905.21875,,0.004015011664848485,,,31s
retrain,7,0.0001440287893502197,-337915.03125,,0.004015011664848485,,,36s
retrain,8,0.002163908691239582,-348521.15625,,0.004015011664848485,,,42s
retrain,9,0.006680796487877766,-345654.21875,,0.004015011664848485,,,47s
retrain,10,0.0009720163675568377,-350191.875,,0.004015011664848485,,,52s
retrain,11,0.00028404503089065356,-357004.5,,0.004015011664848485,,,57s
retrain,12,0.00019736288663504335,-365564.3125,,0.004015011664848485,,,1m03s
retrain,13,0.00018773509520494068,-376345.40625,,0.004015011664848485,,,1m08s
retrain,14,0.00024338034514609415,-389555.65625,,0.004015011664848485,,,1m13s
retrain,15,0.010419952737082107,-381704.4375,,0.004015011664848485,,,1m18s
retrain,16,0.003255274880506719,-384179.75,,0.004015011664848485,,,1m23s
retrain,17,0.0006687657212993751,-389626.1875,,0.004015011664848485,,,1m28s
retrain,18,0.0002910961376929966,-397157.375,,0.004015011664848485,,,1m34s
retrain,19,0.0002413573513040319,-406966.03125,,0.004015011664848485,,,1m39s
retrain,20,0.00027917473106839076,-419117.65625,,0.004015011664848485,0.9839,99.51,1m44s
retrain,21,0.001058282514094996,-430798.625,,0.004015011664848485,,,1m50s
retrain,22,0.010725782110340273,-422309.0,,0.004015011664848485,,,1m55s
retrain,23,0.0024490218188846485,-426369.03125,,0.004015011664848485,,,2m00s
retrain,24,0.0004991732984160384,-434614.46875,,0.004015011664848485,,,2m05s
retrain,25,0.0003432147556294998,-445154.71875,,0.004015011664848485,,,2m11s
retrain,26,0.00035502717901254074,-458602.8125,,0.004015011664848485,,,2m16s
retrain,27,0.0004861814303517652,-475555.84375,,0.004015011664848485,,,2m21s
retrain,28,0.007225700938678347,-473072.8125,,0.004015011664848485,,,2m26s
retrain,29,0.005111714026657864,-474749.8125,,0.004015011664848485,,,2m31s
retrain,30,0.0011222798343670244,-484709.3125,,0.004015011664848485,,,2m36s
retrain,31,0.0005572164595292027,-498792.78125,,0.004015011664848485,,,2m42s
retrain,32,0.00042164679815759885,-517565.9375,,0.004015011664848485,,,2m47s
retrain,33,0.003107712374914748,-528776.3125,,0.004015011664848485,,,2m52s
retrain,34,0.008472983913837622,-523015.5,,0.004015011664848485,,,2m57s
retrain,35,0.0016393644684304794,-535904.625,,0.004015011664848485,,,3m02s
retrain,36,0.0009737035737605765,-552961.125,,0.004015011664848485,,,3m08s
retrain,37,0.0006243571722336735,-577612.3125,,0.004015011664848485,,,3m13s
retrain,38,0.002880576476563389,-591887.0,,0.004015011664848485,,,3m19s
retrain,39,0.008278743428537079,-584898.5625,,0.004015011664848485,,,3m24s
retrain,40,0.0025185656070243565,-604479.0625,,0.004015011664848485,0.9828,65.40,3m30s
