phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0029494868722278623,-232398.984375,,0.008201309008748856,,,5s
retrain,2,0.0012052668978266108,-294154.8125,,0.008201309008748856,,,10s
retrain,3,0.0018406770179145192,-313745.125,,0.008201309008748856,,,15s
retrain,4,0.0010925980599480682,-327222.21875,,0.008201309008748856,,,21s
retrain,5,0.0030439696702446476,-336460.84375,,0.008201309008748856,,,26s
retrain,6,0.0009486373736988753,-348138.15625,,0.008201309008748856,,,31s
retrain,7,0.0005863628640382861,-362874.6875,,0.008201309008748856,,,36s
retrain,8,0.0009545179806145219,-380151.65625,,0.008201309008748856,,,42s
retrain,9,0.006869867561819652,-382328.78125,,0.008201309008748856,,,47s
retrain,10,0.0014200882766007756,-392791.65625,,0.008201309008748856,,,52s
retrain,11,0.0008011750084425633,-406610.3125,,0.008201309008748856,,,58s
retrain,12,0.0007625186283607035,-424184.71875,,0.008201309008748856,,,1m03s
retrain,13,0.00756491836605904,-429369.21875,,0.008201309008748856,,,1m08s
retrain,14,0.0028915714340129245,-440313.28125,,0.008201309008748856,,,1m14s
retrain,15,0.0012236281142492468,-457090.09375,,0.008201309008748856,,,1m19s
retrain,16,0.004032242246996612,-469900.03125,,0.008201309008748856,,,1m24s
retrain,17,0.004015566842413197,-482402.3125,,0.008201309008748856,,,1m29s
retrain,18,0.0020398244535860914,-501933.34375,,0.008201309008748856,,,1m34s
retrain,19,0.00459339366486917,-515687.0,,0.008201309008748856,,,1m40s
retrain,20,0.004220998171996325,-532268.5625,,0.008201309008748856,0.9823,81.84,1m45s
retrain,21,0.0027624111437238755,-557751.25,,0.008201309008748856,,,1m50s
retrain,22,0.005261850173895558,-576373.25,,0.008201309008748856,,,1m55s
retrain,23,0.006120142613972227,-597302.8125,,0.008201309008748856,,,2m01s
retrain,24,0.004635469417149822,-629892.25,,0.008201309008748856,,,2m06s
retrain,25,0.003926178965810686,-672687.5625,,0.008201309008748856,,,2m11s
retrain,26,0.008218619259819388,-702910.125,,0.008201309008748856,,,2m16s
retrain,27,0.007449342744176586,-743891.1875,,0.008201309008748856,,,2m22s
retrain,28,0.006011745950765908,-789067.4375,,0.008201309008748856,,,2m27s
retrain,29,0.008232773898169399,-808917.3125,,0.008201309008748856,,,2m32s
retrain,30,0.006106724364527812,-828673.6875,,0.008201309008748856,,,2m38s
retrain,31,0.00557111527385811,-845806.4375,,0.008201309008748856,,,2m43s
retrain,32,0.006709148240275681,-849775.6875,,0.008201309008748856,,,2m48s
retrain,33,0.005188939284595351,-853760.8125,,0.008201309008748856,,,2m53s
retrain,34,0.0051294398797055085,-857093.6875,,0.008201309008748856,,,2m58s
retrain,35,0.003531143891873459,-860461.3125,,0.008201309008748856,,,3m03s
retrain,36,0.0035975872294045984,-850872.5,,0.008201309008748856,,,3m09s
retrain,37,0.007321267237452169,-850375.9375,,0.008201309008748856,,,3m14s
retrain,38,0.0028937131655712924,-868708.0625,,0.008201309008748856,,,3m19s
retrain,39,0.0016515682404084752,-875006.5625,,0.008201309008748856,,,3m25s
retrain,40,0.0012296502135771637,-877873.375,,0.008201309008748856,0.9811,61.87,3m30s
