phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.002233805037701192,-236731.875,,0.006782741379604787,,,5s
retrain,2,0.001420342630710608,-294764.3125,,0.006782741379604787,,,10s
retrain,3,0.0023279619839595396,-310502.03125,,0.006782741379604787,,,15s
retrain,4,0.002437627980252728,-317837.84375,,0.006782741379604787,,,21s
retrain,5,0.0006156404784764163,-327338.1875,,0.006782741379604787,,,26s
retrain,6,0.0002998957858382103,-339574.65625,,0.006782741379604787,,,31s
retrain,7,0.00025548323623321873,-354982.71875,,0.006782741379604787,,,37s
retrain,8,0.003790703925373964,-366945.96875,,0.006782741379604787,,,42s
retrain,9,0.005942371474943745,-369486.53125,,0.006782741379604787,,,47s
retrain,10,0.001396426330328298,-377560.71875,,0.006782741379604787,,,53s
retrain,11,0.0009622845960276512,-387651.84375,,0.006782741379604787,,,58s
retrain,12,0.0014751111747852215,-397737.6875,,0.006782741379604787,,,1m04s
retrain,13,0.0025528576203466703,-407132.375,,0.006782741379604787,,,1m09s
retrain,14,0.0024665010088744262,-416298.75,,0.006782741379604787,,,1m14s
retrain,15,0.004107150998401145,-421094.0625,,0.006782741379604787,,,1m19s
retrain,16,0.0019482627575014098,-431227.34375,,0.006782741379604787,,,1m24s
retrain,17,0.0007311899789609015,-446756.8125,,0.006782741379604787,,,1m29s
retrain,18,0.001163913556591918,-465175.21875,,0.006782741379604787,,,1m35s
retrain,19,0.007885015242484708,-466054.71875,,0.006782741379604787,,,1m40s
retrain,20,0.0033464987829793244,-476178.46875,,0.006782741379604787,0.9830,95.51,1m45s
retrain,21,0.0012504415718372912,-493038.375,,0.006782741379604787,,,1m51s
retrain,22,0.0008500172282258669,-517279.53125,,0.006782741379604787,,,1m56s
retrain,23,0.0017824466161740322,-545377.5625,,0.006782741379604787,,,2m01s
retrain,24,0.01061449594758451,-542728.6875,,0.006782741379604787,,,2m06s
retrain,25,0.002638327471842058,-566696.5625,,0.006782741379604787,,,2m12s
retrain,26,0.0018723688749751697,-599573.0,,0.006782741379604787,,,2m17s
retrain,27,0.007655689985025674,-613969.0,,0.006782741379604787,,,2m22s
retrain,28,0.005702711974829435,-641736.5,,0.006782741379604787,,,2m27s
retrain,29,0.003943546059044699,-682590.0625,,0.006782741379604787,,,2m32s
retrain,30,0.004703843857596318,-721770.5,,0.006782741379604787,,,2m38s
retrain,31,0.005886182978190482,-753393.25,,0.006782741379604787,,,2m43s
retrain,32,0.00487922661198924,-789119.25,,0.006782741379604787,,,2m48s
retrain,33,0.004774448330824574,-808177.6875,,0.006782741379604787,,,2m53s
retrain,34,0.006897561337985098,-803170.625,,0.006782741379604787,,,2m59s
retrain,35,0.003745636050713559,-833303.3125,,0.006782741379604787,,,3m04s
retrain,36,0.004570075590939571,-832092.5,,0.006782741379604787,,,3m09s
retrain,37,0.003029862548682528,-846673.75,,0.006782741379604787,,,3m14s
retrain,38,0.0022731708460332206,-853234.6875,,0.006782741379604787,,,3m20s
retrain,39,0.0071165920869757735,-796905.8125,,0.006782741379604787,,,3m25s
retrain,40,0.0033554754009780786,-846876.5,,0.006782741379604787,0.9829,61.08,3m31s
