phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.002270427841700924,-211187.640625,,0.003700784140931015,,,5s
retrain,2,0.0017054923737072386,-272788.21875,,0.003700784140931015,,,10s
retrain,3,0.0007066956206671117,-290972.34375,,0.003700784140931015,,,15s
retrain,4,0.002426277998489483,-296976.875,,0.003700784140931015,,,20s
retrain,5,0.0019387439244620813,-301435.1875,,0.003700784140931015,,,26s
retrain,6,0.0004783324133255519,-307950.1875,,0.003700784140931015,,,31s
retrain,7,0.0001951746238997051,-316389.96875,,0.003700784140931015,,,36s
retrain,8,0.00011967722167998242,-326980.15625,,0.003700784140931015,,,41s
retrain,9,0.0001282840449382396,-340001.96875,,0.003700784140931015,,,46s
retrain,10,0.00018333681539370447,-355891.9375,,0.003700784140931015,,,52s
retrain,11,0.008931038091277392,-349777.875,,0.003700784140931015,,,57s
retrain,12,0.0013136332267002823,-353559.59375,,0.003700784140931015,,,1m02s
retrain,13,0.0004197350963154652,-359872.125,,0.003700784140931015,,,1m07s
retrain,14,0.00022317962291805695,-368039.75,,0.003700784140931015,,,1m13s
retrain,15,0.00019356862884014844,-378073.125,,0.003700784140931015,,,1m18s
retrain,16,0.00022456546263225998,-390592.65625,,0.003700784140931015,,,1m23s
retrain,17,0.0015228455700659349,-400608.34375,,0.003700784140931015,,,1m28s
retrain,18,0.009440393759558598,-393819.25,,0.003700784140931015,,,1m34s
retrain,19,0.00114644180375617,-399143.53125,,0.003700784140931015,,,1m39s
retrain,20,0.00036149746312294154,-407349.21875,,0.003700784140931015,0.9828,94.90,1m45s
retrain,21,0.0002641099866120688,-417880.15625,,0.003700784140931015,,,1m50s
retrain,22,0.00028426164465490726,-431289.5625,,0.003700784140931015,,,1m55s
retrain,23,0.0013358060912112705,-443135.34375,,0.003700784140931015,,,2m00s
retrain,24,0.00938241714889494,-432551.09375,,0.003700784140931015,,,2m06s
retrain,25,0.0023977571761313204,-438269.625,,0.003700784140931015,,,2m11s
retrain,26,0.000923615278416158,-446736.34375,,0.003700784140931015,,,2m16s
retrain,27,0.00035157251313794406,-459057.1875,,0.003700784140931015,,,2m21s
retrain,28,0.00035781794008410845,-474540.8125,,0.003700784140931015,,,2m26s
retrain,29,0.00047115257606686404,-494464.46875,,0.003700784140931015,,,2m31s
retrain,30,0.010020754300950405,-482228.59375,,0.003700784140931015,,,2m37s
retrain,31,0.002884929174821203,-488863.0,,0.003700784140931015,,,2m42s
retrain,32,0.0008232058818684891,-502212.59375,,0.003700784140931015,,,2m47s
retrain,33,0.0004614958759630099,-520020.3125,,0.003700784140931015,,,2m53s
retrain,34,0.0005160836474698348,-543506.5625,,0.003700784140931015,,,2m58s
retrain,35,0.005842746638755004,-542740.0,,0.003700784140931015,,,3m03s
retrain,36,0.006560157199731718,-546966.0,,0.003700784140931015,,,3m08s
retrain,37,0.0016215844309500729,-566304.9375,,0.003700784140931015,,,3m13s
retrain,38,0.0007294842994927119,-594922.9375,,0.003700784140931015,,,3m19s
retrain,39,0.0008670463331509382,-636869.9375,,0.003700784140931015,,,3m24s
retrain,40,0.009616443965878959,-620118.1875,,0.003700784140931015,0.9817,62.69,3m30s
