phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.002200434004247654,-219435.421875,,0.006640685070153612,,,10s
retrain,2,0.0013754759912146255,-286531.03125,,0.006640685070153612,,,21s
retrain,3,0.0014314822297892534,-308317.125,,0.006640685070153612,,,31s
retrain,4,0.0023060343141221287,-318017.65625,,0.006640685070153612,,,42s
retrain,5,0.0005824586127894388,-329041.78125,,0.006640685070153612,,,54s
retrain,6,0.0006225633062034224,-342479.75,,0.006640685070153612,,,1m04s
retrain,7,0.006066674753076707,-346563.34375,,0.006640685070153612,,,1m15s
retrain,8,0.0018384835240198298,-353441.125,,0.006640685070153612,,,1m26s
retrain,9,0.0006308420507004485,-363559.1875,,0.006640685070153612,,,1m37s
retrain,10,0.0003254362409740376,-376969.1875,,0.006640685070153612,,,1m47s
retrain,11,0.0003857224206168515,-393597.84375,,0.006640685070153612,,,1m58s
retrain,12,0.008265590238509079,-393378.65625,,0.006640685070153612,,,2m08s
retrain,13,0.0017900587714665258,-402054.75,,0.006640685070153612,,,2m19s
retrain,14,0.0010565883602791776,-413218.5625,,0.006640685070153612,,,2m29s
retrain,15,0.0006721761371047857,-428659.8125,,0.006640685070153612,,,2m40s
retrain,16,0.0007808952172053977,-448587.375,,0.006640685070153612,,,2m51s
retrain,17,0.008277643231442198,-448372.875,,0.006640685070153612,,,3m01s
retrain,18,0.0025980503720076133,-459793.28125,,0.006640685070153612,,,3m13s
retrain,19,0.0015193915620834255,-475752.21875,,0.006640685070153612,,,3m24s
retrain,20,0.0020603983537604413,-491763.34375,,0.006640685070153612,0.9813,82.38,3m35s
retrain,21,0.004620612517806391,-503398.15625,,0.006640685070153612,,,3m45s
retrain,22,0.003950259398296475,-516733.65625,,0.006640685070153612,,,3m56s
retrain,23,0.002006444375899931,-539674.1875,,0.006640685070153612,,,4m07s
retrain,24,0.003455578625916193,-560458.5,,0.006640685070153612,,,4m18s
retrain,25,0.005302491511342426,-577692.0,,0.006640685070153612,,,4m28s
retrain,26,0.0034176099264683823,-607480.6875,,0.006640685070153612,,,4m39s
retrain,27,0.004610696310084313,-640419.625,,0.006640685070153612,,,4m50s
retrain,28,0.004978970372801025,-677310.1875,,0.006640685070153612,,,4m58s
retrain,29,0.006191091362262766,-731923.125,,0.006640685070153612,,,5m03s
retrain,30,0.004763374397313843,-806457.0625,,0.006640685070153612,,,5m14s
retrain,31,0.006329348934845378,-845221.9375,,0.006640685070153612,,,5m25s
retrain,32,0.005122950553459426,-882662.0,,0.006640685070153612,,,5m35s
retrain,33,0.004325195885635912,-895467.9375,,0.006640685070153612,,,5m46s
retrain,34,0.004856079287206133,-894481.8125,,0.006640685070153612,,,5m57s
retrain,35,0.0020681132344917085,-907815.625,,0.006640685070153612,,,6m08s
retrain,36,0.002050183431431651,-915374.625,,0.006640685070153612,,,6m19s
retrain,37,0.004560439694688345,-856873.5,,0.006640685070153612,,,6m29s
retrain,38,0.006416105812989796,-899541.375,,0.006640685070153612,,,6m40s
retrain,39,0.0009449920400899525,-918619.125,,0.006640685070153612,,,6m50s
retrain,40,0.0006449862331462403,-920459.375,,0.006640685070153612,0.9827,56.66,7m01s
