phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0018042522114041883,-216173.78125,,0.003355851334200886,,,10s
retrain,2,0.0012566947865765541,-278977.8125,,0.003355851334200886,,,20s
retrain,3,0.0018671687275966784,-294019.15625,,0.003355851334200886,,,31s
retrain,4,0.0031041740328810797,-297464.71875,,0.003355851334200886,,,41s
retrain,5,0.0007195040287275333,-302299.34375,,0.003355851334200886,,,52s
retrain,6,0.00015645545024696428,-308991.09375,,0.003355851334200886,,,1m03s
retrain,7,0.00011100644658727106,-317146.71875,,0.003355851334200886,,,1m13s
retrain,8,0.00010818841608706862,-327125.0625,,0.003355851334200886,,,1m23s
retrain,9,0.00018515775619841102,-339358.125,,0.003355851334200886,,,1m34s
retrain,10,0.009631414183568754,-333937.1875,,0.003355851334200886,,,1m45s
retrain,11,0.0009923945936374367,-337768.09375,,0.003355851334200886,,,1m55s
retrain,12,0.00029598554913924695,-343434.96875,,0.003355851334200886,,,2m06s
retrain,13,0.00019638219788418307,-350572.9375,,0.003355851334200886,,,2m17s
retrain,14,0.00018981070459218852,-359238.75,,0.003355851334200886,,,2m27s
retrain,15,0.00016938680560172847,-370135.53125,,0.003355851334200886,,,2m37s
retrain,16,0.002376480543956859,-377767.125,,0.003355851334200886,,,2m47s
retrain,17,0.008462641134407992,-370962.65625,,0.003355851334200886,,,2m58s
retrain,18,0.001285946539832124,-374689.65625,,0.003355851334200886,,,3m09s
retrain,19,0.0007841491823045848,-379741.6875,,0.003355851334200886,,,3m20s
retrain,20,0.00024699707526985246,-386932.28125,,0.003355851334200886,0.9827,103.51,3m31s
retrain,21,0.0002077594977202049,-395965.75,,0.003355851334200886,,,3m42s
retrain,22,0.000202129121782491,-407654.59375,,0.003355851334200886,,,3m52s
retrain,23,0.0003196282669979458,-421892.46875,,0.003355851334200886,,,4m02s
retrain,24,0.011184067736170254,-411146.5625,,0.003355851334200886,,,4m13s
retrain,25,0.0013928951785860894,-415811.4375,,0.003355851334200886,,,4m24s
retrain,26,0.00044541234149364755,-423107.03125,,0.003355851334200886,,,4m34s
retrain,27,0.00030120553352171555,-432517.40625,,0.003355851334200886,,,4m45s
retrain,28,0.00027884420417249205,-444618.0625,,0.003355851334200886,,,4m55s
retrain,29,0.0003418780852497245,-459826.4375,,0.003355851334200886,,,5m06s
retrain,30,0.01027936474350281,-448045.75,,0.003355851334200886,,,5m17s
retrain,31,0.0020715586888215816,-453245.71875,,0.003355851334200886,,,5m27s
retrain,32,0.0005647913736950916,-462705.71875,,0.003355851334200886,,,5m38s
retrain,33,0.0003212556501753473,-475335.6875,,0.003355851334200886,,,5m49s
retrain,34,0.0003217298587008069,-491487.34375,,0.003355851334200886,,,5m59s
retrain,35,0.0004301573724641154,-512471.90625,,0.003355851334200886,,,6m10s
retrain,36,0.006813858779729344,-510894.65625,,0.003355851334200886,,,6m20s
retrain,37,0.0071678332164107515,-508352.03125,,0.003355851334200886,,,6m31s
retrain,38,0.0013438687028440957,-520917.53125,,0.003355851334200886,,,6m42s
retrain,39,0.0006542507797246799,-537432.1875,,0.003355851334200886,,,6m52s
retrain,40,0.0004467009548951561,-560369.3125,,0.003355851334200886,0.9839,66.69,7m03s
