phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0024059740399369426,-226567.953125,,0.0037412745072790666,,,5s
retrain,2,0.0009020337878901046,-283906.03125,,0.0037412745072790666,,,10s
retrain,3,0.0011643203412667693,-299441.15625,,0.0037412745072790666,,,16s
retrain,4,0.003445807562880994,-303376.6875,,0.0037412745072790666,,,21s
retrain,5,0.0018459345698802888,-307455.34375,,0.0037412745072790666,,,27s
retrain,6,0.0005227992767797939,-313090.09375,,0.0037412745072790666,,,32s
retrain,7,0.00014828888721434244,-320713.15625,,0.0037412745072790666,,,37s
retrain,8,0.0001226925875467714,-330091.03125,,0.0037412745072790666,,,42s
retrain,9,0.00013181059277849271,-341666.40625,,0.0037412745072790666,,,48s
retrain,10,0.003056254712470885,-351306.84375,,0.0037412745072790666,,,53s
retrain,11,0.0070295140891180686,-347949.53125,,0.0037412745072790666,,,58s
retrain,12,0.0010665189267795843,-352059.75,,0.0037412745072790666,,,1m03s
retrain,13,0.00026466984378057534,-358383.6875,,0.0037412745072790666,,,1m08s
retrain,14,0.00019594438482793824,-366219.0625,,0.0037412745072790666,,,1m14s
retrain,15,0.00020088284299320852,-375878.375,,0.0037412745072790666,,,1m19s
retrain,16,0.0004587584162926457,-387307.84375,,0.0037412745072790666,,,1m24s
retrain,17,0.010393598151315625,-379921.40625,,0.0037412745072790666,,,1m29s
retrain,18,0.0019031993278457472,-383029.46875,,0.0037412745072790666,,,1m34s
retrain,19,0.00037733221437083556,-389351.9375,,0.0037412745072790666,,,1m40s
retrain,20,0.0002476228117690577,-397440.15625,,0.0037412745072790666,0.9819,106.45,1m45s
retrain,21,0.0002404781188078535,-407630.34375,,0.0037412745072790666,,,1m50s
retrain,22,0.00029740197859161224,-420166.3125,,0.0037412745072790666,,,1m56s
retrain,23,0.008942949752261242,-411440.0,,0.0037412745072790666,,,2m01s
retrain,24,0.0018499618133995682,-416101.8125,,0.0037412745072790666,,,2m06s
retrain,25,0.0003970023341709748,-424313.8125,,0.0037412745072790666,,,2m11s
retrain,26,0.00029387872487228987,-434606.0625,,0.0037412745072790666,,,2m17s
retrain,27,0.0003084218839028229,-447817.875,,0.0037412745072790666,,,2m22s
retrain,28,0.003977572137292009,-451840.84375,,0.0037412745072790666,,,2m27s
retrain,29,0.006132198735233396,-449171.625,,0.0037412745072790666,,,2m33s
retrain,30,0.00188331516480539,-455070.0,,0.0037412745072790666,,,2m38s
retrain,31,0.0005127570195589215,-465629.5,,0.0037412745072790666,,,2m43s
retrain,32,0.0004400810068900076,-479207.34375,,0.0037412745072790666,,,2m49s
retrain,33,0.0003649261731809626,-497934.6875,,0.0037412745072790666,,,2m54s
retrain,34,0.008222006837961574,-493753.71875,,0.0037412745072790666,,,2m59s
retrain,35,0.004300926488203307,-497944.125,,0.0037412745072790666,,,3m05s
retrain,36,0.0013678314972668886,-509820.4375,,0.0037412745072790666,,,3m10s
retrain,37,0.0008087066449496584,-525942.375,,0.0037412745072790666,,,3m16s
retrain,38,0.0005251027488537754,-548090.1875,,0.0037412745072790666,,,3m21s
retrain,39,0.004580817115788037,-554237.8125,,0.0037412745072790666,,,3m26s
retrain,40,0.005872652300664534,-556947.1875,,0.0037412745072790666,0.9817,66.57,3m32s
