phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.002310498435686653,-232712.21875,,0.0030334035977945786,,,10s
retrain,2,0.0006558477094979026,-287145.78125,,0.0030334035977945786,,,21s
retrain,3,0.0002335349562015229,-303102.09375,,0.0030334035977945786,,,32s
retrain,4,0.003774370256207961,-308477.3125,,0.0030334035977945786,,,43s
retrain,5,0.0033474626123905183,-309782.96875,,0.0030334035977945786,,,54s
retrain,6,0.0005290705706089891,-313778.84375,,0.0030334035977945786,,,1m05s
retrain,7,0.000202159957740029,-319122.5625,,0.0030334035977945786,,,1m16s
retrain,8,0.00012273478059990643,-325764.09375,,0.0030334035977945786,,,1m27s
retrain,9,0.00012116745507034163,-333847.9375,,0.0030334035977945786,,,1m38s
retrain,10,0.0001560472995741293,-343560.875,,0.0030334035977945786,,,1m49s
retrain,11,0.008494441332289717,-341101.78125,,0.0030334035977945786,,,2m01s
retrain,12,0.0032714033973946545,-341935.46875,,0.0030334035977945786,,,2m11s
retrain,13,0.0007386940780289782,-345294.90625,,0.0030334035977945786,,,2m22s
retrain,14,0.00039646641769892693,-349724.28125,,0.0030334035977945786,,,2m33s
retrain,15,0.00017314674248918892,-355732.5,,0.0030334035977945786,,,2m45s
retrain,16,0.00014858118737271677,-363188.25,,0.0030334035977945786,,,2m55s
retrain,17,0.00015523197638976852,-372419.0625,,0.0030334035977945786,,,3m06s
retrain,18,0.0012950512402361103,-381677.6875,,0.0030334035977945786,,,3m17s
retrain,19,0.008487546079807604,-373860.125,,0.0030334035977945786,,,3m29s
retrain,20,0.0013878970722745482,-376672.0625,,0.0030334035977945786,0.9818,113.45,3m40s
retrain,21,0.0005362187186411272,-381216.6875,,0.0030334035977945786,,,3m50s
retrain,22,0.0003220344107481651,-387463.03125,,0.0030334035977945786,,,4m01s
retrain,23,0.00025713922659439655,-395212.5,,0.0030334035977945786,,,4m12s
retrain,24,0.006379423227231018,-390364.34375,,0.0030334035977945786,,,4m22s
retrain,25,0.001139785647019744,-393510.84375,,0.0030334035977945786,,,4m33s
retrain,26,0.000303095041847943,-399604.46875,,0.0030334035977945786,,,4m44s
retrain,27,0.0001813959075642439,-407714.03125,,0.0030334035977945786,,,4m55s
retrain,28,0.00017957483173231594,-417935.34375,,0.0030334035977945786,,,5m05s
retrain,29,0.00019446740736020729,-431009.15625,,0.0030334035977945786,,,5m15s
retrain,30,0.0002796457555300246,-447392.9375,,0.0030334035977945786,,,5m21s
retrain,31,0.011391205815435387,-433792.65625,,0.0030334035977945786,,,5m28s
retrain,32,0.002177251356906102,-437104.21875,,0.0030334035977945786,,,5m39s
retrain,33,0.0009695312984908621,-442989.9375,,0.0030334035977945786,,,5m49s
retrain,34,0.00038047651664431515,-451130.15625,,0.0030334035977945786,,,5m59s
retrain,35,0.0002530438035125068,-461738.875,,0.0030334035977945786,,,6m09s
retrain,36,0.00026659180676797404,-475332.0625,,0.0030334035977945786,,,6m20s
retrain,37,0.00046037986845864605,-491603.46875,,0.0030334035977945786,,,6m31s
retrain,38,0.011787510698661208,-473680.625,,0.0030334035977945786,,,6m41s
retrain,39,0.0015925106255259985,-479351.96875,,0.0030334035977945786,,,6m51s
retrain,40,0.0004579443127887013,-489063.3125,,0.0030334035977945786,0.9827,85.51,7m02s
