phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.0023734237093536647,-232248.84375,,0.006266804240273479,,,5s
retrain,2,0.0011882359690925416,-292588.28125,,0.006266804240273479,,,10s
retrain,3,0.001815546774311224,-309583.59375,,0.006266804240273479,,,15s
retrain,4,0.0026446246559537635,-316129.09375,,0.006266804240273479,,,21s
retrain,5,0.0004049555624699375,-325631.53125,,0.006266804240273479,,,26s
retrain,6,0.00020713790806476027,-338112.40625,,0.006266804240273479,,,31s
retrain,7,0.0002097649127904636,-354037.59375,,0.006266804240273479,,,37s
retrain,8,0.0004337483047856949,-372961.8125,,0.006266804240273479,,,42s
retrain,9,0.010596698075750222,-371446.375,,0.006266804240273479,,,47s
retrain,10,0.0014981319946081688,-378636.875,,0.006266804240273479,,,53s
retrain,11,0.0005414606511515255,-388804.15625,,0.006266804240273479,,,58s
retrain,12,0.00039589957505231725,-401833.21875,,0.006266804240273479,,,1m03s
retrain,13,0.0004383558180144367,-418492.4375,,0.006266804240273479,,,1m09s
retrain,14,0.0008832770655940597,-438778.1875,,0.006266804240273479,,,1m14s
retrain,15,0.011795524935300152,-432075.46875,,0.006266804240273479,,,1m19s
retrain,16,0.001552165275020525,-442746.09375,,0.006266804240273479,,,1m25s
retrain,17,0.0009372460280389835,-457097.09375,,0.006266804240273479,,,1m30s
retrain,18,0.0007926476317147413,-476045.59375,,0.006266804240273479,,,1m35s
retrain,19,0.00476871203025803,-486700.65625,,0.006266804240273479,,,1m41s
retrain,20,0.006503213837898026,-492019.625,,0.006266804240273479,0.9807,82.74,1m47s
retrain,21,0.0031700035207361606,-504973.5,,0.006266804240273479,,,1m52s
retrain,22,0.0026899565116114293,-520338.65625,,0.006266804240273479,,,1m57s
retrain,23,0.0013154701012807587,-546327.0625,,0.006266804240273479,,,2m03s
retrain,24,0.003990152198914438,-566557.5,,0.006266804240273479,,,2m08s
retrain,25,0.007487341155235966,-576459.0,,0.006266804240273479,,,2m14s
retrain,26,0.0028414474989287555,-605264.375,,0.006266804240273479,,,2m19s
retrain,27,0.004969143828190863,-631019.625,,0.006266804240273479,,,2m25s
retrain,28,0.003373930520284921,-672615.5,,0.006266804240273479,,,2m30s
retrain,29,0.005159086056426168,-709708.625,,0.006266804240273479,,,2m35s
retrain,30,0.006543538768558453,-746335.3125,,0.006266804240273479,,,2m41s
retrain,31,0.0048990182893040276,-789019.75,,0.006266804240273479,,,2m46s
retrain,32,0.003923648189070324,-831124.8125,,0.006266804240273479,,,2m51s
retrain,33,0.005222703850269318,-826097.125,,0.006266804240273479,,,2m56s
retrain,34,0.004751842597126961,-831031.125,,0.006266804240273479,,,3m01s
retrain,35,0.0036072579344036057,-854889.4375,,0.006266804240273479,,,3m07s
retrain,36,0.0019251708421856165,-872281.8125,,0.006266804240273479,,,3m12s
retrain,37,0.001873096431295077,-849548.5,,0.006266804240273479,,,3m17s
retrain,38,0.007757137726123135,-825935.0625,,0.006266804240273479,,,3m23s
retrain,39,0.0033647276419370123,-862765.5625,,0.006266804240273479,,,3m28s
retrain,40,0.0008447550932876766,-877300.8125,,0.006266804240273479,0.9823,58.82,3m33s
