phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.002697264422264804,-227033.984375,,0.007720991533689489,,,5s
retrain,2,0.0013665286607516464,-289578.53125,,0.007720991533689489,,,10s
retrain,3,0.0007041740256769117,-310530.625,,0.007720991533689489,,,15s
retrain,4,0.003550522845207403,-319022.4375,,0.007720991533689489,,,21s
retrain,5,0.0014770070307267209,-328692.46875,,0.007720991533689489,,,26s
retrain,6,0.0009280697568746594,-340803.1875,,0.007720991533689489,,,32s
retrain,7,0.0033147615984586687,-349633.375,,0.007720991533689489,,,37s
retrain,8,0.0023710086565309515,-357925.84375,,0.007720991533689489,,,43s
retrain,9,0.001125606514311706,-369016.0625,,0.007720991533689489,,,48s
retrain,10,0.0005590643887058832,-384213.03125,,0.007720991533689489,,,53s
retrain,11,0.000715324763590858,-403497.875,,0.007720991533689489,,,59s
retrain,12,0.008460850397280107,-403941.34375,,0.007720991533689489,,,1m05s
retrain,13,0.002313384628823648,-414607.46875,,0.007720991533689489,,,1m10s
retrain,14,0.0008422806721025456,-429779.65625,,0.007720991533689489,,,1m15s
retrain,15,0.0007921882546739653,-449630.0625,,0.007720991533689489,,,1m21s
retrain,16,0.005369685445850094,-461322.65625,,0.007720991533689489,,,1m26s
retrain,17,0.0050205020761583,-472017.28125,,0.007720991533689489,,,1m31s
retrain,18,0.001902734885457903,-491030.625,,0.007720991533689489,,,1m37s
retrain,19,0.0023144051625548553,-513642.03125,,0.007720991533689489,,,1m42s
retrain,20,0.005006222947717955,-529743.5,,0.007720991533689489,0.9827,75.88,1m47s
retrain,21,0.00339659163740774,-557012.0625,,0.007720991533689489,,,1m53s
retrain,22,0.00468925742553547,-587175.8125,,0.007720991533689489,,,1m58s
retrain,23,0.006230650061058501,-622379.8125,,0.007720991533689489,,,2m03s
retrain,24,0.0056649983638897535,-681523.1875,,0.007720991533689489,,,2m08s
retrain,25,0.005901916918189576,-792156.5625,,0.007720991533689489,,,2m14s
retrain,26,0.006704987848301728,-901713.3125,,0.007720991533689489,,,2m19s
retrain,27,0.005068302506891389,-914644.625,,0.007720991533689489,,,2m25s
retrain,28,0.003322998327234139,-932148.125,,0.007720991533689489,,,2m30s
retrain,29,0.002276274840502689,-938714.8125,,0.007720991533689489,,,2m36s
retrain,30,0.0014052524774490545,-943148.8125,,0.007720991533689489,,,2m42s
retrain,31,0.003275652745552361,-865078.8125,,0.007720991533689489,,,2m47s
retrain,32,0.005461406701725597,-942687.9375,,0.007720991533689489,,,2m52s
retrain,33,0.0009350641944212839,-946333.4375,,0.007720991533689489,,,2m58s
retrain,34,0.0006779501528634379,-946929.375,,0.007720991533689489,,,3m03s
retrain,35,0.0005762226545795177,-948163.4375,,0.007720991533689489,,,3m09s
retrain,36,0.0006041412909592812,-947574.5,,0.007720991533689489,,,3m14s
retrain,37,0.0016181665195462605,-874487.5625,,0.007720991533689489,,,3m19s
retrain,38,0.012058396188891493,-894547.6875,,0.007720991533689489,,,3m25s
retrain,39,0.0006279769209213555,-944401.3125,,0.007720991533689489,,,3m30s
retrain,40,0.0003805002778496904,-945676.5,,0.007720991533689489,0.9830,50.46,3m36s
