phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.002326970077608712,-227058.5,,0.006661009844027112,,,5s
retrain,2,0.0015142104180917765,-289789.3125,,0.006661009844027112,,,10s
retrain,3,0.002317197619188422,-305153.625,,0.006661009844027112,,,15s
retrain,4,0.00046621942893834787,-316811.5,,0.006661009844027112,,,21s
retrain,5,0.00029293170259722196,-330720.125,,0.006661009844027112,,,26s
retrain,6,0.00026466237272834405,-348327.03125,,0.006661009844027112,,,31s
retrain,7,0.008581805832952765,-352391.03125,,0.006661009844027112,,,36s
retrain,8,0.002980625933237995,-358099.8125,,0.006661009844027112,,,42s
retrain,9,0.0005770298714322659,-367578.90625,,0.006661009844027112,,,47s
retrain,10,0.0003682355610653758,-379827.0625,,0.006661009844027112,,,52s
retrain,11,0.002686888531366518,-389075.96875,,0.006661009844027112,,,58s
retrain,12,0.004563566948395843,-392718.625,,0.006661009844027112,,,1m03s
retrain,13,0.0012385117137028525,-402437.0625,,0.006661009844027112,,,1m08s
retrain,14,0.0004927654253629347,-416856.34375,,0.006661009844027112,,,1m14s
retrain,15,0.0005620081019354984,-435427.96875,,0.006661009844027112,,,1m19s
retrain,16,0.007446660821838305,-439816.15625,,0.006661009844027112,,,1m25s
retrain,17,0.004419863641929502,-447236.5,,0.006661009844027112,,,1m30s
retrain,18,0.0028950227343477308,-457471.78125,,0.006661009844027112,,,1m35s
retrain,19,0.0014228585900350785,-472984.0,,0.006661009844027112,,,1m40s
retrain,20,0.0007793082221100728,-496148.90625,,0.006661009844027112,0.9828,81.10,1m46s
retrain,21,0.004915267572769274,-509025.3125,,0.006661009844027112,,,1m51s
retrain,22,0.006641244804176191,-518017.6875,,0.006661009844027112,,,1m57s
retrain,23,0.0028893242170723774,-537859.9375,,0.006661009844027112,,,2m02s
retrain,24,0.001576845024805516,-569466.75,,0.006661009844027112,,,2m08s
retrain,25,0.005373220702943702,-589729.625,,0.006661009844027112,,,2m13s
retrain,26,0.005783307051844895,-619926.375,,0.006661009844027112,,,2m18s
retrain,27,0.003537984440103173,-673319.875,,0.006661009844027112,,,2m24s
retrain,28,0.004427229114311437,-750737.1875,,0.006661009844027112,,,2m29s
retrain,29,0.007544448220046858,-802264.0625,,0.006661009844027112,,,2m35s
retrain,30,0.005334442812887331,-873521.75,,0.006661009844027112,,,2m40s
retrain,31,0.004308850677280376,-887229.75,,0.006661009844027112,,,2m45s
retrain,32,0.002883827735716477,-897970.625,,0.006661009844027112,,,2m51s
retrain,33,0.005178118287771941,-868835.9375,,0.006661009844027112,,,2m56s
retrain,34,0.002843594523798674,-901874.1875,,0.006661009844027112,,,3m02s
retrain,35,0.0034597099694112935,-886108.4375,,0.006661009844027112,,,3m07s
retrain,36,0.0010569074913859367,-915264.0,,0.006661009844027112,,,3m12s
retrain,37,0.0024822521284144994,-844248.5625,,0.006661009844027112,,,3m18s
retrain,38,0.006848198031137387,-888306.9375,,0.006661009844027112,,,3m23s
retrain,39,0.0007321772273552293,-916513.25,,0.006661009844027112,,,3m28s
retrain,40,0.0004915916559441636,-917574.0,,0.006661009844027112,0.9832,52.79,3m34s
