phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.28992470366954803,-469025.59375,,0.00964043095008709,,,14s
retrain,2,0.06878643544316292,-743585.875,,0.00964043095008709,,,29s
retrain,3,0.04627744651536147,-911799.3125,,0.00964043095008709,,,43s
retrain,4,0.03591360997855663,-965369.1875,,0.00964043095008709,,,52s
retrain,5,0.030942684350411098,-994263.25,,0.00964043095008709,,,1m00s
retrain,6,0.027068655850489936,-1026627.1875,,0.00964043095008709,,,1m08s
retrain,7,0.02539057928696275,-1061507.5,,0.00964043095008709,,,1m16s
retrain,8,0.023840895346800485,-1103017.5,,0.00964043095008709,,,1m24s
retrain,9,0.022935002283751966,-1146750.25,,0.00964043095008709,,,1m32s
retrain,10,0.023661080369601645,-1193092.5,,0.00964043095008709,,,1m40s
retrain,11,0.022439485599597294,-1255040.875,,0.00964043095008709,,,1m48s
retrain,12,0.023363451303790014,-1323685.875,,0.00964043095008709,,,1m56s
retrain,13,0.025064221686621507,-1394433.375,,0.00964043095008709,,,2m04s
retrain,14,0.02586704080229004,-1473994.25,,0.00964043095008709,,,2m12s
retrain,15,0.025502400619784992,-1546554.5,,0.00964043095008709,,,2m20s
retrain,16,0.02400724354982376,-1592751.25,,0.00964043095008709,,,2m28s
retrain,17,0.021999336225291093,-1608874.125,,0.00964043095008709,,,2m36s
retrain,18,0.0207873990436395,-1623058.5,,0.00964043095008709,,,2m44s
retrain,19,0.01925044095230599,-1624398.875,,0.00964043095008709,,,2m52s
retrain,20,0.01737310466853281,-1630274.125,,0.00964043095008709,0.9889,60.00,3m01s
retrain,21,0.016756318399434287,-1638543.0,,0.00964043095008709,,,3m09s
retrain,22,0.015599158350005747,-1630780.125,,0.00964043095008709,,,3m17s
retrain,23,0.01626315083441635,-1630441.75,,0.00964043095008709,,,3m25s
retrain,24,0.013931109853337209,-1639974.375,,0.00964043095008709,,,3m33s
retrain,25,0.013090943220257759,-1642425.875,,0.00964043095008709,,,3m41s
retrain,26,0.012782901647003988,-1641175.0,,0.00964043095008709,,,3m49s
retrain,27,0.012267065564511966,-1645204.625,,0.00964043095008709,,,3m57s
retrain,28,0.012749564678935956,-1637136.625,,0.00964043095008709,,,4m06s
retrain,29,0.01222400544307505,-1649669.125,,0.00964043095008709,,,4m14s
retrain,30,0.010523858085119476,-1635510.875,,0.00964043095008709,,,4m22s
retrain,31,0.010725126148325702,-1641276.375,,0.00964043095008709,,,4m30s
retrain,32,0.010695675058352451,-1641163.125,,0.00964043095008709,,,4m38s
retrain,33,0.010470531615801155,-1649437.625,,0.00964043095008709,,,4m46s
retrain,34,0.009512302992322171,-1657339.375,,0.00964043095008709,,,4m54s
retrain,35,0.009282665053351472,-1648944.75,,0.00964043095008709,,,5m02s
retrain,36,0.010121807157061994,-1651742.25,,0.00964043095008709,,,5m10s
retrain,37,0.009075034018124765,-1636585.125,,0.00964043095008709,,,5m19s
retrain,38,0.008496345172492632,-1650637.375,,0.00964043095008709,,,5m27s
retrain,39,0.008619203489087523,-1652415.5,,0.00964043095008709,,,5m35s
retrain,40,0.008323796324695772,-1638273.75,,0.00964043095008709,0.9910,59.18,5m43s
