phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.28543522447745007,-483571.78125,,0.00910226966940628,,,7s
retrain,2,0.07088367500305176,-754169.1875,,0.00910226966940628,,,15s
retrain,3,0.051024777645866076,-926736.375,,0.00910226966940628,,,23s
retrain,4,0.039403755842645966,-980981.625,,0.00910226966940628,,,31s
retrain,5,0.03324190234442552,-1003534.0625,,0.00910226966940628,,,39s
retrain,6,0.02976739571293195,-1026197.75,,0.00910226966940628,,,47s
retrain,7,0.025811321695397297,-1054365.75,,0.00910226966940628,,,55s
retrain,8,0.024302241316934425,-1084654.625,,0.00910226966940628,,,1m03s
retrain,9,0.022581148218611877,-1121075.625,,0.00910226966940628,,,1m10s
retrain,10,0.02336701669494311,-1160433.0,,0.00910226966940628,,,1m18s
retrain,11,0.024536908031006655,-1199139.5,,0.00910226966940628,,,1m26s
retrain,12,0.021983282106121382,-1262052.25,,0.00910226966940628,,,1m34s
retrain,13,0.023233704645435015,-1333187.75,,0.00910226966940628,,,1m42s
retrain,14,0.02419109881867965,-1434245.0,,0.00910226966940628,,,1m50s
retrain,15,0.023848639776806037,-1552784.25,,0.00910226966940628,,,1m58s
retrain,16,0.024570314775407314,-1629360.0,,0.00910226966940628,,,2m06s
retrain,17,0.022439683113247157,-1664642.0,,0.00910226966940628,,,2m15s
retrain,18,0.02111818680924674,-1683636.0,,0.00910226966940628,,,2m23s
retrain,19,0.018880795253068208,-1686171.5,,0.00910226966940628,,,2m31s
retrain,20,0.016944481061771512,-1686566.375,,0.00910226966940628,0.9921,57.50,2m40s
retrain,21,0.01625922489662965,-1692160.875,,0.00910226966940628,,,2m48s
retrain,22,0.015187891534840067,-1689792.0,,0.00910226966940628,,,2m56s
retrain,23,0.014156274559907615,-1699125.375,,0.00910226966940628,,,3m04s
retrain,24,0.013601960748868684,-1699944.0,,0.00910226966940628,,,3m12s
retrain,25,0.012638693730346859,-1696357.125,,0.00910226966940628,,,3m20s
retrain,26,0.012183201756359388,-1703438.125,,0.00910226966940628,,,3m28s
retrain,27,0.012171520474677285,-1704669.25,,0.00910226966940628,,,3m36s
retrain,28,0.010858013068387906,-1706465.125,,0.00910226966940628,,,3m44s
retrain,29,0.011120701332576572,-1705765.375,,0.00910226966940628,,,3m52s
retrain,30,0.010092020297423005,-1697330.125,,0.00910226966940628,,,4m00s
retrain,31,0.009517309644337123,-1702603.0,,0.00910226966940628,,,4m08s
retrain,32,0.009065403053940584,-1711195.5,,0.00910226966940628,,,4m17s
retrain,33,0.008924693704427531,-1713937.625,,0.00910226966940628,,,4m25s
retrain,34,0.0094713796099027,-1710851.625,,0.00910226966940628,,,4m33s
retrain,35,0.007921806948701851,-1715124.375,,0.00910226966940628,,,4m41s
retrain,36,0.008147150001845634,-1695540.375,,0.00910226966940628,,,4m49s
retrain,37,0.007227943903875227,-1715339.0,,0.00910226966940628,,,4m57s
retrain,38,0.007537621476322723,-1702737.5,,0.00910226966940628,,,5m05s
retrain,39,0.006610361885108674,-1697642.5,,0.00910226966940628,,,5m13s
retrain,40,0.007579779855969052,-1713139.5,,0.00910226966940628,0.9912,57.08,5m21s
