phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.2697809471845627,-479076.53125,,0.004790185681676498,,,7s
retrain,2,0.06469028536677361,-746845.3125,,0.004790185681676498,,,15s
retrain,3,0.044126716941595076,-907243.375,,0.004790185681676498,,,24s
retrain,4,0.035966497988005476,-943934.6875,,0.004790185681676498,,,32s
retrain,5,0.029596347835908334,-950763.9375,,0.004790185681676498,,,40s
retrain,6,0.025048533772677184,-956443.125,,0.004790185681676498,,,48s
retrain,7,0.021298781282206376,-961985.8125,,0.004790185681676498,,,56s
retrain,8,0.0190927251594762,-970073.75,,0.004790185681676498,,,1m04s
retrain,9,0.01737244565958778,-978775.9375,,0.004790185681676498,,,1m12s
retrain,10,0.015272041967387,-987280.3125,,0.004790185681676498,,,1m20s
retrain,11,0.013650599624030292,-1000294.1875,,0.004790185681676498,,,1m28s
retrain,12,0.012403997675826152,-1015430.1875,,0.004790185681676498,,,1m36s
retrain,13,0.011557626260258257,-1029232.125,,0.004790185681676498,,,1m44s
retrain,14,0.011532018090660373,-1045666.9375,,0.004790185681676498,,,1m52s
retrain,15,0.012264285792255154,-1056095.875,,0.004790185681676498,,,2m00s
retrain,16,0.010545942065430185,-1075566.375,,0.004790185681676498,,,2m08s
retrain,17,0.010265446803718806,-1099675.125,,0.004790185681676498,,,2m16s
retrain,18,0.010139599198785921,-1121194.625,,0.004790185681676498,,,2m24s
retrain,19,0.009794296715346476,-1153764.375,,0.004790185681676498,,,2m32s
retrain,20,0.010697359732414286,-1186783.375,,0.004790185681676498,0.9915,62.17,2m40s
retrain,21,0.010606399671236675,-1223238.0,,0.004790185681676498,,,2m48s
retrain,22,0.010512272820373376,-1278343.75,,0.004790185681676498,,,2m56s
retrain,23,0.010119337899393092,-1364130.25,,0.004790185681676498,,,3m04s
retrain,24,0.01057663149368018,-1460692.25,,0.004790185681676498,,,3m12s
retrain,25,0.01038496082269897,-1576988.375,,0.004790185681676498,,,3m20s
retrain,26,0.010516606902889908,-1610065.375,,0.004790185681676498,,,3m28s
retrain,27,0.009619876832546045,-1630180.25,,0.004790185681676498,,,3m36s
retrain,28,0.008248501726239919,-1651930.875,,0.004790185681676498,,,3m44s
retrain,29,0.007173767062928528,-1654405.0,,0.004790185681676498,,,3m51s
retrain,30,0.007154571254706631,-1649237.75,,0.004790185681676498,,,3m59s
retrain,31,0.006337183360864098,-1648616.625,,0.004790185681676498,,,4m08s
retrain,32,0.005615560494596139,-1666585.125,,0.004790185681676498,,,4m16s
retrain,33,0.005257829797298958,-1665883.125,,0.004790185681676498,,,4m23s
retrain,34,0.003881643054044495,-1650565.875,,0.004790185681676498,,,4m31s
retrain,35,0.004750362767729287,-1647848.25,,0.004790185681676498,,,4m39s
retrain,36,0.003849650546807485,-1687425.75,,0.004790185681676498,,,4m47s
retrain,37,0.002678210618820352,-1684756.75,,0.004790185681676498,,,4m56s
retrain,38,0.005099556023495582,-1663384.25,,0.004790185681676498,,,5m04s
retrain,39,0.0039258452044916336,-1663292.75,,0.004790185681676498,,,5m12s
retrain,40,0.003945333011663752,-1665722.125,,0.004790185681676498,0.9936,52.45,5m20s
