phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.27793948070605595,-473508.96875,,0.008480465487938637,,,8s
retrain,2,0.07013933414419492,-746387.3125,,0.008480465487938637,,,16s
retrain,3,0.04768259174923102,-916414.5,,0.008480465487938637,,,24s
retrain,4,0.03823475839694341,-964061.9375,,0.008480465487938637,,,32s
retrain,5,0.03105967697153489,-984409.5625,,0.008480465487938637,,,40s
retrain,6,0.0272120688619713,-1005272.0625,,0.008480465487938637,,,48s
retrain,7,0.024745172676319878,-1028367.8125,,0.008480465487938637,,,56s
retrain,8,0.022312073821946977,-1052614.125,,0.008480465487938637,,,1m04s
retrain,9,0.020322355363518,-1080069.75,,0.008480465487938637,,,1m12s
retrain,10,0.019331676595658064,-1112414.25,,0.008480465487938637,,,1m21s
retrain,11,0.019829969958464304,-1143543.0,,0.008480465487938637,,,1m29s
retrain,12,0.01856198285991947,-1187736.5,,0.008480465487938637,,,1m37s
retrain,13,0.01890730760792891,-1238102.375,,0.008480465487938637,,,1m45s
retrain,14,0.021145964359492064,-1292863.25,,0.008480465487938637,,,1m53s
retrain,15,0.020377245116978884,-1372064.25,,0.008480465487938637,,,2m01s
retrain,16,0.020791855789224305,-1472592.875,,0.008480465487938637,,,2m09s
retrain,17,0.023049948462595542,-1574897.875,,0.008480465487938637,,,2m17s
retrain,18,0.021925482969979444,-1643497.0,,0.008480465487938637,,,2m26s
retrain,19,0.018626205998597045,-1670398.375,,0.008480465487938637,,,2m34s
retrain,20,0.017235758197990555,-1677266.75,,0.008480465487938637,0.9908,56.68,2m43s
retrain,21,0.015550445758675535,-1691945.125,,0.008480465487938637,,,2m51s
retrain,22,0.014149772354091207,-1687708.0,,0.008480465487938637,,,2m59s
retrain,23,0.013643996428822478,-1692798.25,,0.008480465487938637,,,3m07s
retrain,24,0.0123904451324294,-1697988.875,,0.008480465487938637,,,3m15s
retrain,25,0.01204658357721443,-1695322.0,,0.008480465487938637,,,3m24s
retrain,26,0.011257895249376695,-1702139.375,,0.008480465487938637,,,3m32s
retrain,27,0.011238571963272988,-1696400.75,,0.008480465487938637,,,3m40s
retrain,28,0.009524477004042516,-1703669.25,,0.008480465487938637,,,3m48s
retrain,29,0.009231479786351944,-1704238.625,,0.008480465487938637,,,3m56s
retrain,30,0.0092739232506603,-1698483.75,,0.008480465487938637,,,4m04s
retrain,31,0.008400843495115017,-1694486.375,,0.008480465487938637,,,4m13s
retrain,32,0.008452872749557718,-1698859.0,,0.008480465487938637,,,4m21s
retrain,33,0.008531565979107593,-1700080.625,,0.008480465487938637,,,4m29s
retrain,34,0.008350866533846904,-1697071.125,,0.008480465487938637,,,4m37s
retrain,35,0.008007069484237581,-1704990.75,,0.008480465487938637,,,4m45s
retrain,36,0.006213343452995954,-1714731.25,,0.008480465487938637,,,4m53s
retrain,37,0.008065623343565191,-1700273.375,,0.008480465487938637,,,5m01s
retrain,38,0.0076418283655075355,-1707724.125,,0.008480465487938637,,,5m10s
retrain,39,0.005764889508233561,-1704261.75,,0.008480465487938637,,,5m18s
retrain,40,0.006092541449912824,-1717460.25,,0.008480465487938637,0.9916,56.18,5m26s
