phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.2735096265017986,-466703.71875,,0.0044376464843244035,,,7s
retrain,2,0.06884908706744512,-739608.125,,0.0044376464843244035,,,15s
retrain,3,0.047773576442400614,-900657.5,,0.0044376464843244035,,,23s
retrain,4,0.036095559057593346,-932982.125,,0.0044376464843244035,,,31s
retrain,5,0.02904159703453382,-935780.9375,,0.0044376464843244035,,,39s
retrain,6,0.025819032799452545,-935700.3125,,0.0044376464843244035,,,47s
retrain,7,0.021580057613675794,-938967.3125,,0.0044376464843244035,,,55s
retrain,8,0.01845489470412334,-943389.375,,0.0044376464843244035,,,1m03s
retrain,9,0.015198802309607466,-949500.8125,,0.0044376464843244035,,,1m11s
retrain,10,0.014472628581461807,-956895.75,,0.0044376464843244035,,,1m19s
retrain,11,0.01252691036388278,-964077.125,,0.0044376464843244035,,,1m28s
retrain,12,0.012801801902428269,-969574.9375,,0.0044376464843244035,,,1m36s
retrain,13,0.010985474113188684,-977911.9375,,0.0044376464843244035,,,1m44s
retrain,14,0.010775580006775757,-986399.875,,0.0044376464843244035,,,1m52s
retrain,15,0.010047643285865585,-997139.875,,0.0044376464843244035,,,2m00s
retrain,16,0.01001359442404161,-1007363.1875,,0.0044376464843244035,,,2m09s
retrain,17,0.008315575886704028,-1024089.0,,0.0044376464843244035,,,2m17s
retrain,18,0.008703437990384798,-1037702.5,,0.0044376464843244035,,,2m25s
retrain,19,0.00851112353646507,-1051712.0,,0.0044376464843244035,,,2m33s
retrain,20,0.007918448816767584,-1069874.5,,0.0044376464843244035,0.9908,66.70,2m42s
retrain,21,0.007853867547741781,-1089592.625,,0.0044376464843244035,,,2m50s
retrain,22,0.00797296747661506,-1111185.375,,0.0044376464843244035,,,2m58s
retrain,23,0.008994579057022929,-1130474.875,,0.0044376464843244035,,,3m07s
retrain,24,0.007882098063919693,-1163553.875,,0.0044376464843244035,,,3m15s
retrain,25,0.007675037066328029,-1201352.75,,0.0044376464843244035,,,3m23s
retrain,26,0.007999489886996647,-1240694.875,,0.0044376464843244035,,,3m31s
retrain,27,0.007958513190379986,-1295793.75,,0.0044376464843244035,,,3m39s
retrain,28,0.009183344511749843,-1363386.375,,0.0044376464843244035,,,3m47s
retrain,29,0.008460553523657533,-1438506.875,,0.0044376464843244035,,,3m55s
retrain,30,0.00856301807841907,-1505095.125,,0.0044376464843244035,,,4m03s
retrain,31,0.008479914713744074,-1538921.0,,0.0044376464843244035,,,4m11s
retrain,32,0.007738225870827834,-1570911.5,,0.0044376464843244035,,,4m19s
retrain,33,0.005588724800990894,-1599172.75,,0.0044376464843244035,,,4m27s
retrain,34,0.005838724937336519,-1591580.25,,0.0044376464843244035,,,4m35s
retrain,35,0.005522213828299816,-1592997.125,,0.0044376464843244035,,,4m43s
retrain,36,0.005821965803237011,-1596248.0,,0.0044376464843244035,,,4m51s
retrain,37,0.003528939542376126,-1620334.125,,0.0044376464843244035,,,4m59s
retrain,38,0.0045756939437473195,-1604737.75,,0.0044376464843244035,,,5m07s
retrain,39,0.003765971148138245,-1598042.875,,0.0044376464843244035,,,5m15s
retrain,40,0.0047047348191573595,-1616086.25,,0.0044376464843244035,0.9937,52.31,5m24s
