phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.2690829074660937,-471383.78125,,0.0031156947886909645,,,7s
retrain,2,0.0675029148409764,-743123.625,,0.0031156947886909645,,,15s
retrain,3,0.04678867875536283,-905594.875,,0.0031156947886909645,,,23s
retrain,4,0.036185942340890564,-937832.3125,,0.0031156947886909645,,,31s
retrain,5,0.02864699527323246,-935669.8125,,0.0031156947886909645,,,39s
retrain,6,0.024413320102294286,-932156.75,,0.0031156947886909645,,,47s
retrain,7,0.020449017667025327,-928981.375,,0.0031156947886909645,,,55s
retrain,8,0.01835999947981909,-925857.25,,0.0031156947886909645,,,1m03s
retrain,9,0.014612521299595635,-925494.4375,,0.0031156947886909645,,,1m11s
retrain,10,0.013002078496323278,-925115.9375,,0.0031156947886909645,,,1m19s
retrain,11,0.012403246490408977,-924125.8125,,0.0031156947886909645,,,1m27s
retrain,12,0.010089971464624007,-924093.75,,0.0031156947886909645,,,1m35s
retrain,13,0.010243305927980692,-924212.4375,,0.0031156947886909645,,,1m43s
retrain,14,0.009152628554124385,-925943.0,,0.0031156947886909645,,,1m51s
retrain,15,0.008012188320358594,-928646.1875,,0.0031156947886909645,,,2m00s
retrain,16,0.006924549100237588,-935467.625,,0.0031156947886909645,,,2m08s
retrain,17,0.0065092230911677085,-942240.5,,0.0031156947886909645,,,2m16s
retrain,18,0.006474369092502942,-944509.9375,,0.0031156947886909645,,,2m25s
retrain,19,0.0073586374963944155,-947666.9375,,0.0031156947886909645,,,2m33s
retrain,20,0.005760053124294306,-953828.1875,,0.0031156947886909645,0.9917,70.02,2m41s
retrain,21,0.005059346138259086,-964273.6875,,0.0031156947886909645,,,2m49s
retrain,22,0.006009985924093053,-968402.1875,,0.0031156947886909645,,,2m58s
retrain,23,0.004980273301666603,-979147.0,,0.0031156947886909645,,,3m06s
retrain,24,0.005228487829507018,-993804.0,,0.0031156947886909645,,,3m14s
retrain,25,0.004999882069509476,-1001841.75,,0.0031156947886909645,,,3m22s
retrain,26,0.004048420385348921,-1017752.9375,,0.0031156947886909645,,,3m30s
retrain,27,0.004851544319465756,-1029248.4375,,0.0031156947886909645,,,3m38s
retrain,28,0.005798393704478318,-1037688.9375,,0.0031156947886909645,,,3m47s
retrain,29,0.004341660896347215,-1056912.75,,0.0031156947886909645,,,3m55s
retrain,30,0.003397954427342241,-1085663.125,,0.0031156947886909645,,,4m03s
retrain,31,0.005822826461486208,-1100535.25,,0.0031156947886909645,,,4m11s
retrain,32,0.004395002165467789,-1129282.25,,0.0031156947886909645,,,4m19s
retrain,33,0.004377895279508084,-1158235.625,,0.0031156947886909645,,,4m27s
retrain,34,0.004333274307008833,-1193661.75,,0.0031156947886909645,,,4m36s
retrain,35,0.005692634029143179,-1223651.25,,0.0031156947886909645,,,4m44s
retrain,36,0.003947396236044976,-1279459.75,,0.0031156947886909645,,,4m52s
retrain,37,0.0045904137393692505,-1322383.875,,0.0031156947886909645,,,5m00s
retrain,38,0.004246760518173688,-1376014.875,,0.0031156947886909645,,,5m08s
retrain,39,0.004825792030113128,-1402327.625,,0.0031156947886909645,,,5m16s
retrain,40,0.004437630116473883,-1433572.375,,0.0031156947886909645,0.9914,50.48,5m24s
