phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.27693635006745654,-466578.40625,,0.007930755296776639,,,7s
retrain,2,0.06828653487563133,-742502.8125,,0.007930755296776639,,,15s
retrain,3,0.04716609860459964,-917297.875,,0.007930755296776639,,,23s
retrain,4,0.03709955041309198,-967818.4375,,0.007930755296776639,,,31s
retrain,5,0.031112195952236653,-988680.5,,0.007930755296776639,,,39s
retrain,6,0.026421107889711856,-1009619.25,,0.007930755296776639,,,48s
retrain,7,0.025050119199603794,-1031873.625,,0.007930755296776639,,,56s
retrain,8,0.02129504540761312,-1058579.125,,0.007930755296776639,,,1m04s
retrain,9,0.020454129792501528,-1087529.0,,0.007930755296776639,,,1m12s
retrain,10,0.02090946908990542,-1115328.125,,0.007930755296776639,,,1m20s
retrain,11,0.01902550969372193,-1153411.875,,0.007930755296776639,,,1m28s
retrain,12,0.019248161901161076,-1191080.0,,0.007930755296776639,,,1m37s
retrain,13,0.018344875167558592,-1247297.75,,0.007930755296776639,,,1m44s
retrain,14,0.020161994766195616,-1309062.625,,0.007930755296776639,,,1m53s
retrain,15,0.020934842806557816,-1399610.75,,0.007930755296776639,,,2m01s
retrain,16,0.021420700140545767,-1518363.0,,0.007930755296776639,,,2m09s
retrain,17,0.021950779970983665,-1633432.5,,0.007930755296776639,,,2m17s
retrain,18,0.020994756974776586,-1680871.625,,0.007930755296776639,,,2m25s
retrain,19,0.018015155845632156,-1701749.5,,0.007930755296776639,,,2m33s
retrain,20,0.016367779369900623,-1708992.125,,0.007930755296776639,0.9896,55.54,2m41s
retrain,21,0.014775680534169078,-1710942.25,,0.007930755296776639,,,2m49s
retrain,22,0.013341526171813408,-1713205.25,,0.007930755296776639,,,2m57s
retrain,23,0.013465780226203303,-1706999.125,,0.007930755296776639,,,3m06s
retrain,24,0.012362830363586545,-1711599.75,,0.007930755296776639,,,3m14s
retrain,25,0.01161770712894698,-1713041.875,,0.007930755296776639,,,3m22s
retrain,26,0.010606276668701321,-1715628.625,,0.007930755296776639,,,3m30s
retrain,27,0.010858160266683747,-1712713.375,,0.007930755296776639,,,3m38s
retrain,28,0.009141707378036032,-1718529.375,,0.007930755296776639,,,3m46s
retrain,29,0.009135650788076842,-1722350.0,,0.007930755296776639,,,3m54s
retrain,30,0.008291436839014447,-1721600.875,,0.007930755296776639,,,4m02s
retrain,31,0.008890686299062023,-1719370.25,,0.007930755296776639,,,4m10s
retrain,32,0.006935974908977126,-1711184.875,,0.007930755296776639,,,4m18s
retrain,33,0.0075510019317269325,-1717090.75,,0.007930755296776639,,,4m27s
retrain,34,0.007921407624931695,-1716397.125,,0.007930755296776639,,,4m34s
retrain,35,0.006744145566675191,-1703590.0,,0.007930755296776639,,,4m42s
retrain,36,0.007644440451202293,-1715808.875,,0.007930755296776639,,,4m50s
retrain,37,0.006030940499234323,-1712186.375,,0.007930755296776639,,,4m58s
retrain,38,0.005707929214028021,-1733272.25,,0.007930755296776639,,,5m06s
retrain,39,0.006815564861528886,-1715682.5,,0.007930755296776639,,,5m14s
retrain,40,0.0048268281420537585,-1709430.625,,0.007930755296776639,0.9873,54.96,5m23s
