phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.28978942589561146,-478996.59375,,0.009557944154867212,,,8s
retrain,2,0.0682993316133817,-747978.625,,0.009557944154867212,,,16s
retrain,3,0.04669037424623966,-913980.0625,,0.009557944154867212,,,24s
retrain,4,0.03758052173455556,-965551.0625,,0.009557944154867212,,,31s
retrain,5,0.03165940821928283,-992493.8125,,0.009557944154867212,,,39s
retrain,6,0.02758422031439841,-1022556.0625,,0.009557944154867212,,,47s
retrain,7,0.02602221312522888,-1056640.125,,0.009557944154867212,,,55s
retrain,8,0.024957715785255036,-1094548.75,,0.009557944154867212,,,1m03s
retrain,9,0.022732085202634335,-1140163.25,,0.009557944154867212,,,1m11s
retrain,10,0.023446814888964097,-1195454.5,,0.009557944154867212,,,1m19s
retrain,11,0.02426067189499736,-1264698.375,,0.009557944154867212,,,1m27s
retrain,12,0.0249993015969793,-1361315.75,,0.009557944154867212,,,1m35s
retrain,13,0.025021734449267388,-1503031.75,,0.009557944154867212,,,1m43s
retrain,14,0.02682862469777465,-1630118.875,,0.009557944154867212,,,1m51s
retrain,15,0.026190773884952067,-1678849.25,,0.009557944154867212,,,1m59s
retrain,16,0.023112324135750532,-1697425.625,,0.009557944154867212,,,2m07s
retrain,17,0.020596750094244876,-1700706.75,,0.009557944154867212,,,2m15s
retrain,18,0.019307724694907664,-1700123.0,,0.009557944154867212,,,2m23s
retrain,19,0.01696226799637079,-1709403.125,,0.009557944154867212,,,2m31s
retrain,20,0.017259439936218163,-1707709.375,,0.009557944154867212,0.9897,57.09,2m40s
retrain,21,0.015267803040643534,-1702259.625,,0.009557944154867212,,,2m48s
retrain,22,0.014947528779072065,-1703841.25,,0.009557944154867212,,,2m56s
retrain,23,0.013741731600587566,-1702848.0,,0.009557944154867212,,,3m04s
retrain,24,0.012824034186111142,-1719570.5,,0.009557944154867212,,,3m12s
retrain,25,0.012693767903186381,-1713022.75,,0.009557944154867212,,,3m20s
retrain,26,0.011973858281193923,-1706641.875,,0.009557944154867212,,,3m28s
retrain,27,0.0111276224270463,-1719910.0,,0.009557944154867212,,,3m36s
retrain,28,0.010646621595881879,-1714816.25,,0.009557944154867212,,,3m44s
retrain,29,0.010673386820964515,-1713757.875,,0.009557944154867212,,,3m52s
retrain,30,0.010361436573415995,-1715574.0,,0.009557944154867212,,,4m00s
retrain,31,0.009321833593926082,-1725260.75,,0.009557944154867212,,,4m08s
retrain,32,0.009222993380359064,-1709759.125,,0.009557944154867212,,,4m16s
retrain,33,0.008272835437410201,-1724079.75,,0.009557944154867212,,,4m24s
retrain,34,0.008748293744326414,-1720813.25,,0.009557944154867212,,,4m32s
retrain,35,0.0075039278952404856,-1723051.25,,0.009557944154867212,,,4m40s
retrain,36,0.008707237971015275,-1725110.625,,0.009557944154867212,,,4m48s
retrain,37,0.008156224038327733,-1711672.875,,0.009557944154867212,,,4m56s
retrain,38,0.006458414502084876,-1716370.25,,0.009557944154867212,,,5m04s
retrain,39,0.007417830207998244,-1716682.375,,0.009557944154867212,,,5m12s
retrain,40,0.007145121205485581,-1725388.75,,0.009557944154867212,0.9907,56.51,5m21s
