phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.27664299834569295,-478338.3125,,0.008954352388471814,,,7s
retrain,2,0.06643630499988794,-748502.375,,0.008954352388471814,,,15s
retrain,3,0.04574612613121669,-915443.4375,,0.008954352388471814,,,23s
retrain,4,0.03687168913880984,-963910.25,,0.008954352388471814,,,31s
retrain,5,0.030780248794953027,-988391.625,,0.008954352388471814,,,39s
retrain,6,0.026182366553197306,-1015269.1875,,0.008954352388471814,,,47s
retrain,7,0.02402344299778342,-1042197.0,,0.008954352388471814,,,55s
retrain,8,0.023281189224496485,-1071246.875,,0.008954352388471814,,,1m03s
retrain,9,0.0199225857257843,-1111734.125,,0.008954352388471814,,,1m11s
retrain,10,0.02060116136247913,-1147639.75,,0.008954352388471814,,,1m19s
retrain,11,0.02019669958477219,-1192302.875,,0.008954352388471814,,,1m27s
retrain,12,0.022592664977908135,-1230276.5,,0.008954352388471814,,,1m35s
retrain,13,0.019970345053076745,-1285992.625,,0.008954352388471814,,,1m43s
retrain,14,0.021755473366007208,-1339599.125,,0.008954352388471814,,,1m51s
retrain,15,0.021023105745017527,-1399978.0,,0.008954352388471814,,,1m59s
retrain,16,0.021345596795032423,-1453196.5,,0.008954352388471814,,,2m07s
retrain,17,0.020720727041860423,-1482326.25,,0.008954352388471814,,,2m15s
retrain,18,0.020197157467653354,-1512913.625,,0.008954352388471814,,,2m23s
retrain,19,0.018883935530483724,-1530028.25,,0.008954352388471814,,,2m32s
retrain,20,0.017384993142882985,-1538059.375,,0.008954352388471814,0.9902,60.94,2m40s
retrain,21,0.01606824859753251,-1544027.625,,0.008954352388471814,,,2m49s
retrain,22,0.015622641292586923,-1544646.375,,0.008954352388471814,,,2m57s
retrain,23,0.014297273522863786,-1552739.875,,0.008954352388471814,,,3m05s
retrain,24,0.013469782219889263,-1555942.875,,0.008954352388471814,,,3m13s
retrain,25,0.012931708362015584,-1555944.375,,0.008954352388471814,,,3m21s
retrain,26,0.012218892617647846,-1565350.25,,0.008954352388471814,,,3m29s
retrain,27,0.012787351982668043,-1556863.375,,0.008954352388471814,,,3m38s
retrain,28,0.01207950088934352,-1561693.875,,0.008954352388471814,,,3m46s
retrain,29,0.011166933448736866,-1565725.25,,0.008954352388471814,,,3m54s
retrain,30,0.011406350276308755,-1555714.875,,0.008954352388471814,,,4m02s
retrain,31,0.010323957949286948,-1565699.75,,0.008954352388471814,,,4m10s
retrain,32,0.01007902171270301,-1561407.375,,0.008954352388471814,,,4m18s
retrain,33,0.00987308722056138,-1567722.125,,0.008954352388471814,,,4m26s
retrain,34,0.009973581834564297,-1566801.75,,0.008954352388471814,,,4m35s
retrain,35,0.009014908655608694,-1561111.0,,0.008954352388471814,,,4m43s
retrain,36,0.00937197484128798,-1563146.875,,0.008954352388471814,,,4m51s
retrain,37,0.008121012602560223,-1562029.0,,0.008954352388471814,,,4m59s
retrain,38,0.008248129390583683,-1573800.5,,0.008954352388471814,,,5m07s
retrain,39,0.008750704517774283,-1566502.125,,0.008954352388471814,,,5m15s
retrain,40,0.007179458856287723,-1570322.625,,0.008954352388471814,0.9901,60.42,5m24s
