phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.27951076126098634,-476399.5,,0.004015011664848485,,,8s
retrain,2,0.0684788534283638,-747989.875,,0.004015011664848485,,,16s
retrain,3,0.04735132261713346,-911456.875,,0.004015011664848485,,,24s
retrain,4,0.036988963524500526,-945255.6875,,0.004015011664848485,,,32s
retrain,5,0.029084833896160126,-947179.125,,0.004015011664848485,,,40s
retrain,6,0.025076287407428025,-947913.5625,,0.004015011664848485,,,48s
retrain,7,0.021543993312244613,-949341.75,,0.004015011664848485,,,56s
retrain,8,0.017932867695515355,-952923.625,,0.004015011664848485,,,1m04s
retrain,9,0.016060477107266585,-956676.0625,,0.004015011664848485,,,1m12s
retrain,10,0.013636480204140147,-962274.625,,0.004015011664848485,,,1m20s
retrain,11,0.012862553204223514,-966707.9375,,0.004015011664848485,,,1m28s
retrain,12,0.011734941135036448,-973909.8125,,0.004015011664848485,,,1m36s
retrain,13,0.00947525412372003,-983632.25,,0.004015011664848485,,,1m44s
retrain,14,0.010720262208798279,-990015.875,,0.004015011664848485,,,1m52s
retrain,15,0.00918021327915291,-1000347.6875,,0.004015011664848485,,,2m00s
retrain,16,0.008011011771547298,-1013929.0625,,0.004015011664848485,,,2m09s
retrain,17,0.008937123958890637,-1023946.3125,,0.004015011664848485,,,2m17s
retrain,18,0.007833419450838118,-1039636.1875,,0.004015011664848485,,,2m25s
retrain,19,0.008024723162905624,-1053538.0,,0.004015011664848485,,,2m33s
retrain,20,0.0069745751504786315,-1070594.0,,0.004015011664848485,0.9917,64.69,2m42s
retrain,21,0.008134068705203633,-1085313.875,,0.004015011664848485,,,2m50s
retrain,22,0.006879606850383182,-1109856.375,,0.004015011664848485,,,2m58s
retrain,23,0.007138579439527045,-1139805.375,,0.004015011664848485,,,3m06s
retrain,24,0.00678515362739563,-1174956.125,,0.004015011664848485,,,3m14s
retrain,25,0.00727655199165456,-1216473.5,,0.004015011664848485,,,3m23s
retrain,26,0.0068644568933174015,-1263602.125,,0.004015011664848485,,,3m31s
retrain,27,0.008089540693070739,-1313663.5,,0.004015011664848485,,,3m39s
retrain,28,0.006877604779942582,-1377135.0,,0.004015011664848485,,,3m47s
retrain,29,0.0065665977208875115,-1437019.125,,0.004015011664848485,,,3m55s
retrain,30,0.007514338201656937,-1467914.375,,0.004015011664848485,,,4m03s
retrain,31,0.0070850994945659,-1488090.25,,0.004015011664848485,,,4m11s
retrain,32,0.005436376296170056,-1527150.0,,0.004015011664848485,,,4m20s
retrain,33,0.003867104322478796,-1544640.5,,0.004015011664848485,,,4m28s
retrain,34,0.005583860181225464,-1518142.75,,0.004015011664848485,,,4m36s
retrain,35,0.004483454670081846,-1529839.75,,0.004015011664848485,,,4m44s
retrain,36,0.004913610948839535,-1527504.875,,0.004015011664848485,,,4m52s
retrain,37,0.005275153812960101,-1533899.0,,0.004015011664848485,,,5m00s
retrain,38,0.00263290303578057,-1551624.375,,0.004015011664848485,,,5m08s
retrain,39,0.004935983600283119,-1535473.375,,0.004015011664848485,,,5m16s
retrain,40,0.002842821243199675,-1534284.375,,0.004015011664848485,0.9881,52.21,5m24s
