phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.2717965141157309,-468990.09375,,0.004671186828938137,,,8s
retrain,2,0.06414555266499519,-742362.8125,,0.004671186828938137,,,16s
retrain,3,0.044768441168467205,-908557.875,,0.004671186828938137,,,24s
retrain,4,0.03502850755006075,-947229.8125,,0.004671186828938137,,,32s
retrain,5,0.029453462043404578,-950533.6875,,0.004671186828938137,,,40s
retrain,6,0.02616392230888208,-954143.9375,,0.004671186828938137,,,47s
retrain,7,0.021434756186107795,-959780.5625,,0.004671186828938137,,,55s
retrain,8,0.019791153503457705,-964903.0,,0.004671186828938137,,,1m04s
retrain,9,0.016849716508885226,-972046.75,,0.004671186828938137,,,1m11s
retrain,10,0.014288533989029626,-982787.125,,0.004671186828938137,,,1m19s
retrain,11,0.01405513312742114,-992221.125,,0.004671186828938137,,,1m27s
retrain,12,0.013168483576116462,-1002534.375,,0.004671186828938137,,,1m36s
retrain,13,0.01234542264736568,-1013625.6875,,0.004671186828938137,,,1m44s
retrain,14,0.011541290598921478,-1026190.0625,,0.004671186828938137,,,1m52s
retrain,15,0.012140352228532235,-1034138.625,,0.004671186828938137,,,2m00s
retrain,16,0.00981280275322497,-1055176.25,,0.004671186828938137,,,2m08s
retrain,17,0.009896737955107043,-1072808.125,,0.004671186828938137,,,2m16s
retrain,18,0.009517856124726434,-1096991.5,,0.004671186828938137,,,2m24s
retrain,19,0.009081442621846994,-1125807.125,,0.004671186828938137,,,2m32s
retrain,20,0.01009679286563769,-1152395.625,,0.004671186828938137,0.9924,62.08,2m41s
retrain,21,0.00944350840660433,-1195458.0,,0.004671186828938137,,,2m49s
retrain,22,0.01087826510189722,-1233374.75,,0.004671186828938137,,,2m57s
retrain,23,0.009209582772105932,-1315572.0,,0.004671186828938137,,,3m05s
retrain,24,0.010704111126065254,-1431623.625,,0.004671186828938137,,,3m12s
retrain,25,0.009737582626007497,-1604464.75,,0.004671186828938137,,,3m20s
retrain,26,0.01025371930381904,-1671197.75,,0.004671186828938137,,,3m28s
retrain,27,0.009399478928061823,-1705086.375,,0.004671186828938137,,,3m36s
retrain,28,0.005758303498174064,-1727642.625,,0.004671186828938137,,,3m44s
retrain,29,0.006042490638544162,-1729256.375,,0.004671186828938137,,,3m52s
retrain,30,0.005049792744521983,-1715722.625,,0.004671186828938137,,,4m00s
retrain,31,0.005035005854954943,-1716725.5,,0.004671186828938137,,,4m09s
retrain,32,0.004987492185900919,-1705510.625,,0.004671186828938137,,,4m17s
retrain,33,0.00460810105651229,-1705491.25,,0.004671186828938137,,,4m25s
retrain,34,0.0032645259203971364,-1692846.0,,0.004671186828938137,,,4m33s
retrain,35,0.004081107799505116,-1731756.875,,0.004671186828938137,,,4m41s
retrain,36,0.004179506925617655,-1727582.0,,0.004671186828938137,,,4m49s
retrain,37,0.00269836637416156,-1743232.625,,0.004671186828938137,,,4m57s
retrain,38,0.001796987684733176,-1703998.0,,0.004671186828938137,,,5m05s
retrain,39,0.004941027969440135,-1694996.375,,0.004671186828938137,,,5m13s
retrain,40,0.0029358267658778155,-1737201.75,,0.004671186828938137,0.9924,47.80,5m22s
